Date,ARC-B.CR,C5559A.CR,C5963A.CR,C5964A.CR,C5965A.CR,C5966A.CR,C5967A.CR,C5968A.CR,C5972A.CR,C5973A.CR,C5974A.CR,C5975A.CR,C5976A.CR,C5977A.CR,C5978A.CR,C5979A.CR,C5980A.CR,C5981A.CR,C5982A.CR,C5983A.CR,C5984A.CR,C5985A.CR,C5986A.CR,C5987A.CR,C5988A.CR,C5989A.CR,C5990A.CR,C5991A.CR,C5992A.CR,C5993A.CR,C5994A.CR,C5995A.CR,C5996A.CR,C5997A.CR,C5998A.CR,C5999A.CR,C6000A.CR,C6001A.CR,C6002A.CR,C6003A.CR,C6004A.CR,C6005A.CR,C6006A.CR,C6007A.CR,C6008A.CR,C6009A.CR,C6010A.CR,C6011A.CR,C6012A.CR,C6013A.CR,C6014A.CR,C6015A.CR,C6016A.CR,C6017A.CR,C6018A.CR,C6019A.CR,C6020A.CR,C6021A.CR,C6022A.CR,C6023A.CR,C6024A.CR,C6025A.CR,C6026A.CR,C6027A.CR,C6028A.CR,C6029A.CR,C6030A.CR,C6031A.CR,C6032A.CR,C6033A.CR,C6034A.CR,C6035A.CR,C6036A.CR,C6037A.CR,C6038A.CR,C6039A.CR,C6040A.CR,C6041A.CR,C6042A.CR,C6043A.CR,C6044A.CR,C6045A.CR,C6046A.CR,C6047A.CR,C6048A.CR,C6049A.CR,C6050A.CR,C6051A.CR,C6052A.CR,C6053A.CR,C6054A.CR,C6055A.CR,C6056A.CR,C6057A.CR,C6058A.CR,C6059A.CR,C6060A.CR,C6061A.CR,C6062A.CR,C6063A.CR,C6064A.CR,CCP-B.CR,CCR.CR,FE611.CR,FO531.CR,FX261P.CR,GC514.CR,GE266.CR,GE610P.CR,GMC-B.CR,GN631.CR,GN651P.CR,GQ513P.CR,IBC.CR,IVC-A.CR,IVC-B.CR,MS534.CR,MS634P.CR,PCP-B.CR,PGR.CR,PI522.CR,PI527.CR,PI611.CR,PI612P.CR,PIV-B.CR,VT552P.CR,ZI266P.CR
2024-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,,,,,,,,,,3.400000095367432,,,,,,,
2025-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780.0,,,,,,,,,,,,,,,,,5.5,,,,,,,
2025-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.0,,,,,,,,,,,,,,,,,7.130000114440918,,,,,,,
2025-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470.0,,,,,,,,,,,,,,,,,11.59000015258789,,,,,,,
2025-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.0,,,,,,,,,,,,85.2250747680664,41.889556884765625,,,,10.789999961853027,,,,,,,
2025-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.0,,,,,,,,,,,,84.33214569091797,54.93712615966797,,,,11.0,,,,,,,
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,,,,,,,,,,,84.33214569091797,56.37922668457031,,,,13.449999809265137,,,,,,,
2025-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,686.0,,,,,,,,,,,,115.98149871826172,58.841583251953125,,,,14.800000190734863,,,,,,,
2025-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,272.829345703125,106.93119049072266,,,,39.97999954223633,,,,,,,
2025-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198.0,,,,,,,,,,,,272.829345703125,107.9122085571289,,,,40.5,,,,,,,
2025-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4439.0,,,,,,,,,,,,362.1321411132813,166.7145538330078,,,95.0,46.45000076293945,,,,,,,
2025-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.95000076293945,9000.0,,,,,,,,,,,,436.5329284667969,146.15237426757812,,,99.0,48.5,,,,,,,
2025-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,3000.0,,,,,,,,,,,,398.989990234375,200.0,,,139.89999389648438,70.0,,,,,,,
2026-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.5,6790.0,,,,,,,,,,,,863.0,344.5,,,265.0,112.0,,,,,,,
2026-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.0,7100.0,,,,,,,,,,,,1029.0,500.0,,,295.0,120.0,,,,,,,
2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680.0,6101.0,,,,,,,,,,,,845.0,479.0,,,420.0,108.0,,,,,,,
2026-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.0,6000.009765625,,,,,,,,,,,,865.010009765625,530.0,,,380.010009765625,101.5,,,,,,,
2026-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.0,6000.009765625,,,,,,,,,,,,865.010009765625,510.0,,,305.0,99.0,,,,,,,
2026-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.0,6000.009765625,,,,,,,,,,,,865.010009765625,510.0,,,310.0,98.0,,,,,,,
2026-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,7199.0,,,,,,,,,,,,791.6199951171875,474.0499877929688,,,323.79998779296875,97.0,,,,,,,
2026-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.0,7199.0,,,,,,,,,,,,875.0,474.0499877929688,,,240.0,96.0,,,,,,,
