Date,ADID.BD,AKKO.BD,ALLZ.BD,AMIXA.BD,ANY.BD,APPEN.BD,AUTOW.BD,BASF.BD,BAYER.BD,CHOME.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHGS.BD,DMKER.BD,DTEL.BD,EON.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FORRB.BD,FUTUR.BD,GLSTR.BD,GRNT.BD,GSP.BD,GWPH.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MTEL.BD,MULTI.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,O3PNR.BD,OPUS.BD,ORM.BD,OTP.BD,PERGY.BD,PLYDR.BD,RICHT.BD,SAP.BD,SIEME.BD,SPPC.BD,SUND.BD,THYSS.BD,UBM.BD,VERTI.BD,VIG.BD,VVT.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2023-09-29,,225.0,,364.3921508789063,1457.5936279296875,,,16519.25390625,17851.46875,150.0,,,,,37.70000076293945,,33.5,,,,,,,,,,,,,,,,,,,,,,,927.9366455078124,,,,,330.54107666015625,,12096.82421875,,,,48560.0546875,,,,,1370.0,,10577.052734375,129.10345458984375,,,,15526.6923828125,
2023-10-31,,222.0,,367.0980529785156,1532.1298828125,,,16559.236328125,15547.537109375,120.0,,,,,37.5,,33.70000076293945,,,,,,,,,,,,,,,,,,,,,,,909.1143188476562,,,,,342.68341064453125,,12233.25390625,,,,48995.01171875,,,,,1460.0,,10577.052734375,130.0965576171875,,,,15657.169921875,
2023-11-30,,237.0,,386.9411926269531,1755.7379150390625,,,16193.38671875,11925.6455078125,102.0,,,,,36.59999847412109,,30.5,,4528.7578125,,,,,,,,,,,,,,,,,,,,,922.2899169921876,,,,,346.7308349609375,,13201.9091796875,,,,54394.4609375,,,,,1450.0,,10577.052734375,197.6275787353516,,,,15613.67578125,
2023-12-29,,240.0,,351.76470947265625,2062.163818359375,,,18652.3828125,12949.61328125,150.0,,,,,35.099998474121094,,30.5,,4650.72412109375,,,,,,,,,,,,,,,,,,,,,909.1143188476562,,,,,343.58282470703125,,14370.6640625,,,,52744.6328125,,,,,1470.0,,10996.935546875,197.6275787353516,,,,15874.6279296875,
2024-01-31,,264.0,,528.5490112304688,2136.69970703125,,,17530.83984375,11137.66796875,80.0,,,,,38.29999923706055,,30.700000762939453,,4998.62890625,,,,,,,,,,,,,,,,,,,,,1105.8067626953125,,,,,378.2109680175781,,14961.861328125,,,,61993.6875,,,,,1480.0,,11096.9072265625,178.7586212158203,,,,16744.47265625,
2024-02-29,,250.0,,405.8823547363281,2327.180908203125,,,18442.46875,11105.66796875,100.0,,,,,35.29999923706055,,29.200000762939453,,4580.74365234375,,,,,,,,,,,,,,,,,,,,,964.6399536132812,,,,,380.4595336914063,,15839.564453125,,,,65293.3515625,,,,,1480.0,,9897.2412109375,178.7586212158203,,,,17744.791015625,
2024-03-28,,255.0,,421.2156982421875,2815.80615234375,,,20821.494140625,11263.6650390625,100.0,,,,,38.20000076293945,,29.0,,4992.63037109375,,,,,,,,,,,,,,,,,,,,,964.6399536132812,,,,,362.4709167480469,,15280.1982421875,,,,70972.7734375,,,,,1450.0,,11476.8017578125,178.7586212158203,,,,18440.666015625,
2024-04-30,,245.0,,423.9215698242188,3031.13232421875,,,19175.421875,10789.7890625,100.0,,,,,37.400001525878906,,30.200000762939453,,4922.64990234375,,,,,,,,,,,,,,,,,,,,,988.167724609375,,,,,339.985107421875,,16553.548828125,,,,65993.2890625,,,,,1430.0,,11556.779296875,178.7586212158203,,,,20876.2265625,
2024-05-31,,275.0,,396.8627624511719,3519.7578125,,,18917.482421875,10907.787109375,100.0,,,,,72.19999694824219,,31.799999237060547,,4763.181640625,,,,,,,,,,,,,,,,,,,,,1251.67919921875,,,,,342.2336730957031,,16230.2099609375,,,,64805.5625,,,,,1480.0,,11798.11328125,173.79310607910156,,,,20441.302734375,
2024-06-28,,280.0,,420.313720703125,3577.72998046875,,,17995.701171875,10439.7958984375,98.0,,,,,80.19999694824219,,34.599998474121094,,4801.17529296875,,,,,,,,,,,,,,,,,,,,,1270.50146484375,,,,,400.5506896972656,,17181.896484375,,,,64805.5625,,,,,1500.0,,11658.1357421875,158.89654541015625,,,,21485.115234375,
