Date,AKO1L.VS,AMG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,NTU1L.VS,PZV1L.VS,ROE1L.VS,RSU1L.VS,UTR1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2023-09-29,1.115410566329956,0.9887489080429076,0.3350000083446502,0.8008334040641785,16.42849349975586,1.909999966621399,7.0384392738342285,1.887607216835022,9.248088836669922,0.1738576292991638,0.8958863615989685,,0.9097741842269896,0.5190661549568176,2.505998373031616,0.5699999928474426,5.854108333587647,4.099108695983887,1.5979139804840088,
2023-10-31,1.110876441001892,0.9557905793190002,0.3240000009536743,0.7957541346549988,16.425315856933594,1.940000057220459,6.802249431610107,1.869629979133606,8.978726387023926,0.172217458486557,0.9155761003494264,,0.9250644445419312,0.5033368468284607,2.471432685852051,0.574999988079071,5.550561904907227,4.081440448760986,1.67355477809906,
2023-11-30,1.098200440406799,0.9475510120391846,0.3190000057220459,0.8296160101890564,15.745363235473633,1.8200000524520876,6.802249431610107,1.8156983852386477,8.933833122253418,0.1697572171688079,0.9057312607765198,,0.9556450843811036,0.589434027671814,2.4368669986724854,0.4979999959468841,5.420470237731934,4.169783115386963,1.6073689460754397,
2023-12-29,1.0518629550933838,0.9063531756401062,0.3100000023841858,0.9269689321517944,15.434062004089355,1.899999976158142,6.802249431610107,1.887607216835022,10.684683799743652,0.1656568199396133,0.8958863615989685,,1.0244516134262085,0.573704719543457,2.5232808589935303,0.4799999892711639,6.504564762115479,4.629166126251221,1.5979139804840088,
2024-01-31,1.0333279371261597,0.9475510120391846,0.3009999990463257,0.9058052897453308,15.515986442565918,1.8600000143051147,6.6132988929748535,1.869629979133606,10.954046249389648,0.180418312549591,0.920498549938202,,1.1161935329437256,0.5902618765830994,2.505998373031616,0.5,6.504564762115479,4.6821722984313965,1.5884586572647097,
2024-02-29,0.9777228236198424,0.9063531756401062,0.296999990940094,0.9481325149536132,15.25383472442627,1.8600000143051147,6.518823146820068,1.869629979133606,11.223407745361328,0.181238368153572,0.9352658987045288,,1.1391290426254272,0.5811554789543152,2.609694480895996,0.550000011920929,6.6780195236206055,4.947200775146484,1.6357343196868896,
2024-03-28,0.9267514944076538,0.9475510120391846,0.2980000078678131,0.9523652791976928,15.237451553344728,1.840000033378601,6.046444416046143,1.869629979133606,10.684683799743652,0.1877990663051605,0.9352658987045288,,1.0703225135803225,0.5852947235107422,2.505998373031616,0.5400000214576721,7.545294761657715,4.558492183685303,1.6924649477005005,
2024-04-30,0.9406527876853944,0.9557905793190002,0.2899999916553497,0.9438997507095336,15.59987735748291,2.2799999713897705,5.776001930236816,1.8156983852386477,10.954046249389648,0.1861588805913925,0.920498549938202,,1.1085484027862549,0.5993860363960266,2.5232808589935303,0.4600000083446502,7.848841667175293,4.770514965057373,1.65464448928833,
2024-05-31,1.037961721420288,1.0288565158843994,0.2879999876022339,0.98876690864563,15.413357734680176,2.5199999809265137,6.257335662841797,1.956814765930176,11.133621215820312,0.1913654059171676,0.9352658987045288,,1.0703225135803225,0.6171720027923584,2.817864894866944,0.4300000071525574,7.632022857666016,5.157124042510986,1.7133333683013916,
2024-06-28,1.0935667753219604,1.0379613637924194,0.2939999997615814,0.9300728440284728,15.59987735748291,2.5999999046325684,6.161068916320801,1.956814765930176,12.58189582824707,0.1974543035030365,0.9648006558418274,,1.095806360244751,0.6127254962921143,2.8905842304229736,0.4300000071525574,7.805477619171143,5.5321879386901855,1.7620075941085815,
2024-07-31,1.088932991027832,1.0379613637924194,0.2619999945163727,0.9120132327079772,15.854223251342772,2.680000066757202,5.968535423278809,1.937999367713928,13.215517044067385,0.204413041472435,0.9352658987045288,,1.146774172782898,0.6429615616798401,2.908763885498047,0.3000000119209289,6.938202381134033,5.813485145568848,1.7814773321151731,
2024-08-30,1.070397973060608,1.0288565158843994,0.1930000036954879,0.9165281057357788,15.66770362854004,2.819999933242798,6.016668796539307,1.994446039199829,13.215517044067385,0.2009336948394775,0.9352658987045288,,1.1552687883377075,0.6340686082839966,2.92694354057312,0.2560000121593475,7.155020713806152,6.713637828826904,1.7912122011184692,
2024-09-30,1.061130404472351,1.0197515487670898,0.1354999989271164,0.9165281057357788,16.497106552124023,3.400000095367432,6.112935543060303,2.069708108901977,12.943964958190918,0.199193999171257,0.9352658987045288,,1.1977418661117554,0.6411829590797424,3.0723819732666016,0.25,7.545294761657715,6.601118564605713,2.1027274131774902,
