Date,ALVO.IC,ARION.IC,ASAR.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ISB.IC,ISF.IC,JBTM.IC,KALD.IC,KVIKA.IC,NOVA.IC,OCS.IC,REITIR.IC,SJOVA.IC,SKEL.IC,SYN.IC,^XIPI
2023-09-29,1285.0,114.00090789794922,8.85008716583252,68.39271545410156,10.56124210357666,440.5564270019531,174.54849243164062,62.012916564941406,136.07838439941406,22.760099411010746,1.4500000476837158,94.27046966552734,,,15.797812461853027,9.546228408813477,3.8529152870178223,,71.69985961914062,28.27116584777832,9.812405586242676,45.29999923706055,
2023-10-31,1225.0,105.73997497558594,8.374277114868164,63.56062316894531,10.071057319641112,422.5745239257813,177.4415740966797,63.16987609863281,124.10739135742188,21.88095474243164,1.3700000047683716,87.08393859863281,,,15.316171646118164,8.905542373657227,3.757071733474731,,70.10652923583984,29.318246841430664,8.755685806274414,44.20000076293945,
2023-11-30,1350.0,111.52263641357422,8.469438552856445,72.29557037353516,10.249306678771973,406.3908386230469,171.65542602539062,61.55013275146485,122.15294647216795,22.271684646606445,1.2699999809265137,90.04309844970703,,,15.759282112121582,9.28995418548584,3.737902879714966,,73.29319763183594,30.103553771972656,9.133085250854492,42.59999847412109,
2023-12-29,1585.0,125.56621551513672,9.468642234802246,77.68521118164062,10.427556037902832,435.161865234375,197.69305419921875,74.04527282714844,136.81129455566406,23.44388008117676,1.3350000381469729,93.84774017333984,151.4885711669922,,16.895954132080078,11.115912437438965,3.843331098556519,,76.93508911132812,34.90267562866211,11.774887084960938,47.5,
2024-01-31,2180.0,127.63145446777344,10.182357788085938,77.68521118164062,11.318799018859863,415.38177490234375,195.7643280029297,76.82197570800781,147.56076049804688,26.374366760253903,1.4800000190734863,98.4978485107422,148.64816284179688,,17.791805267333984,11.179980278015137,4.15961503982544,,82.85316467285156,38.916481018066406,13.812847137451172,48.0,
2024-02-29,2170.0,126.80535888671876,9.99203395843506,73.96820831298828,9.803685188293455,346.1514587402344,190.9425506591797,70.34300994873047,141.6974334716797,24.61607551574707,1.1699999570846558,90.04309844970703,146.18646240234375,,16.62623405456543,9.930641174316406,3.987096309661865,,74.65890502929688,38.3056869506836,13.133526802062988,44.0,
2024-03-28,1750.0,123.5623779296875,9.799844741821287,73.40105438232422,9.625435829162598,343.9459533691406,184.5494079589844,67.7977066040039,139.84146118164062,22.4670524597168,1.065000057220459,91.54466247558594,147.7013702392578,,16.0867977142334,9.32199001312256,3.8337464332580566,,75.14928436279297,36.12778854370117,12.51145839691162,41.59999847412109,
2024-04-30,2080.0,125.31503295898438,9.654301643371582,73.97301483154297,8.64506721496582,314.4104309082031,186.99700927734372,68.95466613769531,138.85665893554688,21.88095474243164,1.0099999904632568,92.89090728759766,147.85238647460938,,14.545547485351562,8.969611167907715,3.8337464332580566,,70.0148696899414,34.66066360473633,12.974843978881836,45.59999847412109,
2024-05-31,1885.0,116.5517578125,9.169160842895508,66.15628051757812,8.600504875183105,310.5993957519531,188.95509338378903,73.95477294921875,121.1302719116211,22.66241836547852,0.9459999799728394,87.05717468261719,145.7346954345703,,15.508829116821287,9.802504539489746,3.6995651721954346,1610.0,73.74899291992188,33.560325622558594,12.048069953918455,35.599998474121094,
2024-06-28,1630.0,110.8556137084961,9.04787540435791,67.30018615722656,9.090688705444336,316.3159484863281,199.72454833984372,77.77178955078125,118.1758804321289,24.127660751342773,0.9340000152587892,86.15967559814453,150.35508728027344,,15.990469932556152,9.129782676696776,3.5270469188690186,1670.0,77.94988250732422,33.92710876464844,11.97083854675293,32.599998474121094,
