Date,AAAK.AT,ADPS.AT,AEGN.AT,AEM.AT,AIA.AT,AKTR.AT,ALMY.AT,ALPHA.AT,ALWN.AT,ANDRO.AT,ASCO.AT,ATEK.AT,ATTICA.AT,AVAX.AT,BELA.AT,BIOKA.AT,BIOSK.AT,BLEKEDROS.AT,BOCHGR.AT,BRIQ.AT,CAIROMEZ.AT,CREDIA.AT,DAIOS.AT,DIMAND.AT,DOPPLER.AT,DOTSOFT.AT,EEE.AT,EIS.AT,ELHA.AT,ELIN.AT,ELLAKTOR.AT,ELSTR.AT,ETE.AT,EUROB.AT,EVR.AT,EVROF.AT,EXAE.AT,EYAPS.AT,FOODL.AT,FOYRK.AT,FRIGO.AT,GCMEZZ.AT,GD.AT,GEBKA.AT,HTO.AT,IKTIN.AT,ILYDA.AT,INLIF.AT,INTET.AT,KEKR.AT,KORDE.AT,KYLO.AT,LAMDA.AT,LAMPS.AT,LANAC.AT,LEBEK.AT,LOGISMOS.AT,MASTIHA.AT,MATHIO.AT,MEDIC.AT,MERKO.AT,MEVA.AT,MIN.AT,MODA.AT,MOYZK.AT,NAKAS.AT,NAYP.AT,OLTH.AT,ONYX.AT,OPTIMA.AT,OPTRON.AT,ORILINA.AT,OTOEL.AT,PAP.AT,PETRO.AT,PLAKR.AT,PPA.AT,PPC.AT,PREMIA.AT,PROF.AT,PROFK.AT,QUEST.AT,SAR.AT,SB.AT,SBLK.AT,SOFTWEB.AT,SPACE.AT,SUNMEZZ.AT,TELL.AT,TITC.AT,TPEIR.AT,TRASTOR.AT,TREK.AT,TRESTATES.AT,VIDAVO.AT,VOSYS.AT
2023-09-29,7.949999809265137,,8.620081901550293,,,3.0,2.397271156311035,,11.962326049804688,5.387734889984131,1.9350279569625852,0.3338461518287658,2.4861690998077397,1.243589162826538,21.19051742553711,2.128859758377075,1.0404545068740845,2.460584878921509,,1.6139246225357056,0.1084999963641166,1033.5699462890625,3.299999952316284,11.699999809265137,0.6700000166893005,4.239999771118164,24.21885108947754,0.916059911251068,1.6885911226272583,1.9770487546920776,0.7323243021965027,2.2631161212921143,4.710651874542236,1.2959939241409302,1.065000057220459,0.8942949771881104,4.252212524414063,3.119560480117798,0.3379999995231628,3.926405191421509,0.3000000119209289,0.2861975431442261,1209.3399658203125,1.3656028509140017,11.924558639526367,0.4894999861717224,0.8166771531105042,3.6513030529022217,1.3700000047683716,1.100000023841858,0.5339999794960022,2.432199478149414,6.119999885559082,29.200000762939453,1.0499999523162842,0.3120000064373016,1.2899999618530271,1.3642789125442505,1.0299999713897705,2.8780484199523926,28.91839027404785,3.2678098678588867,0.5400000214576721,0.875968337059021,0.6499999761581421,2.3002288341522217,1.0099999904632568,19.62615203857422,0.959999978542328,,2.059999942779541,,10.71371841430664,1.916264891624451,7.508804798126221,14.484298706054688,19.246078491210938,8.80184555053711,1.0861945152282717,3.933445930480957,1.8849999904632568,4.846269130706787,6.845034599304199,,,,6.092143058776856,0.1617875546216964,13.901759147644045,15.611475944519045,2.5152664184570312,0.9650402069091796,,,2.900000095367432,2.224001884460449
2023-10-31,7.699999809265137,,8.488727569580078,,,3.009999990463257,2.447007179260254,,12.067920684814451,5.431317329406738,1.918054223060608,0.3338461518287658,2.4861690998077397,1.2214808464050293,20.26139640808105,2.0325307846069336,1.1197272539138794,2.5947980880737305,,1.5592865943908691,0.1045000031590461,978.6116333007812,3.299999952316284,10.75,0.6600000262260437,4.239999771118164,22.66232109069824,0.8683033585548401,1.539109230041504,2.00413179397583,0.6508772969245911,2.3016374111175537,4.763580322265625,1.3697208166122437,0.9959999918937684,0.8568376302719116,4.2965989112854,2.9275877475738525,0.328000009059906,3.651421546936035,0.3219999969005584,0.2780976295471191,1193.0999755859375,1.3656028509140017,11.415478706359863,0.421999990940094,0.7913535237312317,3.4186222553253174,1.2350000143051147,1.2699999809265137,0.5,2.2807130813598637,6.079999923706055,29.200000762939453,0.9950000047683716,0.2820000052452087,1.2100000381469729,1.3642789125442505,0.9399999976158142,2.6148123741149902,30.162189483642575,3.016439914703369,0.574999988079071,1.08639657497406,0.5950000286102295,2.3002288341522217,0.9950000047683716,19.54227828979492,0.9580000042915344,2.1664998531341557,1.950000047683716,,10.41884422302246,2.025766372680664,7.475283622741699,13.669557571411133,18.41499710083008,8.92229175567627,1.0260528326034546,3.63962197303772,1.7999999523162842,4.559661388397217,7.310683727264404,,,,5.960927963256836,0.1709391772747039,11.940695762634276,15.611475944519045,2.497364282608032,1.0114364624023438,,,2.440000057220459,1.9687886238098145
2023-11-30,7.099999904632568,,9.408203125,,,3.470000028610229,2.586267471313477,,11.824028968811035,5.382533073425293,1.9010798931121824,0.3278846442699432,2.4861690998077397,1.4075586795806885,20.762460708618164,2.6586661338806152,1.1147727966308594,2.7111170291900635,,1.6307364702224731,0.1190000027418136,992.79443359375,3.299999952316284,10.800000190734863,0.7900000214576721,4.239999771118164,23.57956314086914,0.9334260821342468,1.7255001068115234,2.094407796859741,0.7620367407798767,2.8024120330810547,5.541632175445557,1.502073884010315,1.2200000286102295,0.9645275473594666,4.625057697296143,3.1675539016723637,0.4239999949932098,3.741580009460449,0.3000000119209289,0.2964574694633484,1275.1300048828125,1.5004234313964844,11.622562408447266,0.4695000052452087,0.851496160030365,3.937680244445801,1.3899999856948853,1.715000033378601,0.5419999957084656,2.263880968093872,6.599999904632568,29.0,0.9200000166893004,0.2820000052452087,1.149999976158142,1.3642789125442505,1.159999966621399,2.9745683670043945,35.759300231933594,3.4653148651123047,0.492000013589859,1.595339059829712,0.5950000286102295,2.4771695137023926,1.0299999713897705,19.374534606933597,0.959999978542328,2.395355463027954,1.8899999856948853,,9.97653579711914,2.0075159072875977,7.525565147399902,14.484298706054688,20.3396053314209,10.006308555603027,1.0661473274230957,4.170400142669678,1.8450000286102293,4.742048263549805,7.292057037353516,,,,6.2795939445495605,0.1762767881155014,12.81227970123291,17.4107666015625,2.91806697845459,0.9928780198097228,,1.4932312965393066,2.900000095367432,2.1328542232513428
2023-12-29,7.099999904632568,,9.309687614440918,,,4.570000171661377,3.0537850856781006,,12.36294651031494,5.252441883087158,2.0283846855163574,0.296089768409729,1.8693355321884155,1.7133893966674805,21.695219039916992,2.7260959148406982,1.1048636436462402,2.8811209201812744,,1.5887070894241333,0.181999996304512,1012.2957153320312,3.400000095367432,10.600000381469728,1.0,4.239999771118164,24.478273391723636,1.0549885034561155,1.707045555114746,2.2027394771575928,0.891373336315155,2.6001760959625244,5.548688888549805,1.4301235675811768,1.75,1.1237215995788574,4.704953670501709,3.263540506362915,0.4300000071525574,3.606342315673828,0.2660000026226043,0.3339705467224121,1293.1400146484375,1.574357271194458,11.130739212036133,0.4584999978542328,0.8546621799468994,4.295651435852051,1.4500000476837158,1.940000057220459,0.5860000252723694,2.3396241664886475,6.760000228881836,30.0,1.0800000429153442,0.3019999861717224,1.2400000095367432,1.3828405141830444,1.100000023841858,2.9219210147857666,36.99409103393555,3.411449909210205,0.5299999713897705,1.8693848848342896,0.7200000286102295,2.49256443977356,1.0299999713897705,19.122915267944336,1.159999966621399,2.380098819732666,1.7799999713897705,0.8687447309494019,10.46799087524414,2.11871075630188,7.994865417480469,14.122191429138184,20.29586601257324,10.339851379394531,1.0661473274230957,4.028227806091309,1.8450000286102293,4.881009578704834,7.804271221160889,,,,6.954416275024414,0.1754393577575683,12.85585880279541,18.91899299621582,2.8643605709075928,1.206300139427185,,1.4789459705352783,2.400000095367432,2.0963950157165527
2024-01-31,7.150000095367432,,10.081390380859377,,,4.945000171661377,2.884683132171631,,12.885778427124023,5.593932151794434,2.113254308700561,0.3159615397453308,1.7845797538757324,1.510730504989624,22.45524024963379,2.7260959148406982,1.26836359500885,2.979544162750244,,1.6265333890914917,0.328000009059906,979.498046875,3.5,10.199999809265137,0.8600000143051147,4.239999771118164,25.145357131958008,1.0584471225738523,2.2053184509277344,2.2117669582366943,0.8634086847305298,2.4653520584106445,6.201476097106934,1.587348222732544,1.5499999523162842,1.2548223733901978,4.8558669090271,3.1579551696777344,0.4300000071525574,3.6604373455047607,0.3860000073909759,0.5089391469955444,1367.4100341796875,1.5656591653823853,11.087596893310549,0.4490000009536743,0.8958123326301575,4.42094087600708,1.3300000429153442,1.625,0.6420000195503235,2.415367364883423,6.980000019073486,29.600000381469727,0.9449999928474426,0.2800000011920929,1.2200000286102295,1.299313187599182,1.059999942779541,2.7903032302856445,39.69685745239258,3.4653148651123047,0.7049999833106995,2.544712543487549,0.7450000047683716,2.514111995697021,1.2699999809265137,18.45193862915039,1.149999976158142,2.239733457565308,1.6799999475479126,0.8629007339477539,10.975826263427734,2.109458923339844,7.944583415985107,13.760082244873049,21.87054252624512,11.340482711791992,1.0588574409484863,3.8386638164520255,1.774999976158142,4.594401836395264,8.176789283752441,,,,7.12312126159668,0.2784419655799866,12.420066833496094,21.035802841186523,3.356672525405884,1.206300139427185,,1.415082335472107,2.4600000381469727,2.151083469390869
2024-02-29,7.599999904632568,,10.327678680419922,,7.217282295227051,5.5,2.7056338787078857,,13.569480895996094,5.675239086151123,2.1981239318847656,0.3417948782444,2.1565632820129395,1.5420504808425903,23.353450775146484,2.649033546447754,1.2287273406982422,2.9884917736053467,,1.622330665588379,0.3389999866485595,957.3374633789062,3.799999952316284,9.9399995803833,0.9850000143051147,4.239999771118164,26.942777633666992,1.0447601079940796,2.0853636264801025,2.1124629974365234,0.938563585281372,2.4846127033233643,6.390254497528076,1.6979385614395142,1.6399999856948853,1.5638457536697388,4.873621463775635,3.177152633666992,0.3840000033378601,3.840754508972168,0.3339999914169311,0.4969640970230102,1424.77001953125,1.5874046087265017,12.045357704162598,0.527999997138977,0.8483310341835022,4.49253511428833,1.2799999713897705,1.590000033378601,0.6000000238418579,2.440615177154541,6.760000228881836,29.200000762939453,1.0700000524520874,0.3199999928474426,1.25,1.3364365100860596,1.159999966621399,2.6937832832336426,39.527931213378906,3.662819862365722,0.6899999976158142,2.544712543487549,0.8500000238418579,2.514111995697021,1.1200000047683716,18.45193862915039,1.190000057220459,2.29771089553833,1.6799999475479126,0.8254627585411072,11.05773639678955,2.238986730575561,8.21275520324707,14.303244590759276,22.6141414642334,11.173711776733398,1.0533900260925293,3.96187973022461,1.7000000476837158,4.872324466705322,8.539996147155762,,,,7.010650634765625,0.2679741978645324,12.420066833496094,23.15261459350586,3.643108606338501,1.1042287349700928,,1.4251662492752075,2.4600000381469727,2.059936046600342
2024-03-28,8.100000381469727,,10.294839859008787,,7.05136775970459,5.380000114440918,2.6757922172546387,,13.416654586791992,5.593932151794434,2.266019821166992,0.375576913356781,2.2507364749908447,1.462829351425171,23.58991432189941,2.5527048110961914,1.2336817979812622,3.015334367752075,,1.622330665588379,0.2529999911785126,970.6338500976562,3.799999952316284,9.880000114440918,0.975000023841858,4.239999771118164,27.331911087036133,1.1633793115615845,1.810390949249268,2.4013471603393555,0.919338047504425,2.455721855163574,6.400840759277344,1.58290696144104,1.4900000095367432,1.7043110132217407,4.846989631652832,3.321132183074951,0.3899999856948852,3.8317387104034415,0.3039999902248382,0.4563820660114288,1422.3499755859375,1.5482630729675293,11.795132637023926,0.5,1.168038249015808,4.403042316436768,1.3799999952316284,1.565000057220459,0.5899999737739563,2.3480403423309326,6.75,32.0,1.0700000524520874,0.3759999871253967,1.3300000429153442,1.4570870399475098,1.159999966621399,2.6937832832336426,38.34547424316406,3.483270168304444,0.6449999809265137,3.2494020462036133,0.7649999856948853,2.444275379180908,1.1299999952316284,19.29066467285156,1.1649999618530271,2.5143604278564453,1.6100000143051147,0.821810245513916,10.89391803741455,2.257490873336792,7.894301891326904,14.21271800994873,25.19486618041992,10.775311470031738,1.044277548789978,4.179878234863281,1.659999966621399,5.106821537017822,10.933430671691896,,,,7.441787719726562,0.2449451684951782,13.509547233581545,23.417213439941406,3.469456434249878,1.1227872371673584,,1.4100404977798462,2.259999990463257,2.1146247386932373
2024-04-30,7.0,,10.344098091125488,,6.893749237060547,5.400000095367432,2.8448941707611084,,13.040876388549805,5.593932151794434,2.2745065689086914,0.375576913356781,2.3260750770568848,1.367026925086975,25.781036376953125,2.50454044342041,1.2931363582611084,3.024282217025757,,1.6601568460464478,0.3720000088214874,983.93017578125,3.7799999713897705,9.56999969482422,0.9649999737739564,5.099999904632568,28.128705978393555,1.2135642766952517,1.7827092409133911,2.229822158813477,0.915842354297638,2.272746324539185,6.669012546539307,1.7854337692260742,1.6349999904632568,1.5685278177261353,4.580671310424805,3.1003634929656982,0.382999986410141,3.732564210891724,0.3300000131130218,0.5262364745140076,1448.47998046875,1.4569329023361206,12.3214693069458,0.4325000047683716,1.0952333211898804,4.599925994873047,1.2799999713897705,1.524999976158142,0.550000011920929,2.3143765926361084,6.889999866485596,33.400001525878906,1.090000033378601,0.335999995470047,1.4700000286102295,1.4663678407669067,1.090000033378601,2.63236141204834,39.02116775512695,3.5550899505615234,0.6399999856948853,3.171103477478028,0.7300000190734863,2.42681622505188,1.0099999904632568,18.78742790222168,1.0700000524520874,3.2466983795166016,1.309999942779541,0.8181577324867249,11.124155044555664,2.461902618408203,7.636251926422119,13.760082244873049,21.69557762145996,10.41397190093994,1.051567554473877,4.445267200469971,1.6449999809265137,5.0373406410217285,11.082437515258787,,,,7.310572147369385,0.2868161499500274,12.820091247558594,26.23962783813477,3.3790504932403564,1.1042287349700928,,1.4453336000442505,2.1600000858306885,2.315149307250977
2024-05-31,5.900000095367432,,10.30296802520752,,7.133940696716309,5.199999809265137,2.715580940246582,,12.238876342773438,5.760138988494873,2.3339152336120605,0.3795512914657593,2.165980577468872,1.367026925086975,23.32485580444336,2.562337636947632,1.3129545450210571,3.042177438735962,,1.6601568460464478,0.4289999902248382,1010.5228881835938,3.680000066757202,8.550000190734863,1.2100000381469729,9.75,29.84856414794922,1.1360057592391968,1.7605637311935425,2.031214475631714,0.8861300349235535,2.205334424972534,7.039513111114502,1.7872103452682495,1.5149999856948853,1.4748845100402832,4.358739852905273,2.975580930709839,0.4580000042915344,3.606342315673828,0.2399999946355819,0.4523903727531433,1431.8399658203125,1.4108167886734009,11.59667682647705,0.4154999852180481,1.0382559299468994,4.411991119384766,1.2350000143051147,1.409999966621399,0.5139999985694885,2.238633155822754,6.670000076293945,36.59999847412109,0.9549999833106996,0.3100000023841858,1.3799999952316284,1.4570870399475098,0.9399999976158142,2.570939779281616,39.69685745239258,3.474292278289795,0.5,3.3766376972198486,0.699999988079071,2.4617345333099365,0.9340000152587892,19.583423614501957,0.8600000143051147,3.655587673187256,1.5099999904632568,0.8418989181518555,10.260478019714355,2.245781898498535,7.949061870574951,14.484298706054688,22.045507431030277,10.395442008972168,1.0843721628189087,4.672743320465088,1.5449999570846558,4.637827396392822,10.428326606750488,,,,6.823200702667236,0.2930967807769775,12.865714073181152,26.724729537963867,3.2295663356781006,1.0299949645996094,,1.4134019613265991,2.1600000858306885,2.187542676925659
2024-06-28,6.449999809265137,,10.172329902648926,,6.779834270477295,5.099999904632568,2.6210827827453613,,12.44419288635254,5.453385353088379,2.5291152000427246,0.4153205454349518,2.241319417953491,1.2509585618972778,23.74894523620605,2.388946533203125,1.2485454082489014,3.0869152545928955,,1.6466333866119385,0.3680000007152557,992.79443359375,3.319999933242798,8.460000038146973,0.8949999809265137,10.399999618530272,30.058496475219727,1.149692416191101,1.6642272472381592,1.9770487546920776,0.8634086847305298,1.9549472332000728,6.866612911224365,1.795204758644104,1.534999966621399,1.3952875137329102,4.5299601554870605,2.9467849731445312,0.44200000166893,3.6083297729492183,0.2360000014305114,0.4271097481250763,1404.260009765625,1.2970411777496338,11.59667682647705,0.3589999973773956,1.050917148590088,4.20615816116333,1.2300000190734863,1.2999999523162842,0.4639999866485595,2.2975449562072754,6.739999771118164,36.59999847412109,0.8999999761581421,0.2960000038146972,1.3300000429153442,1.4570870399475098,0.8240000009536743,2.4480960369110107,39.87648010253906,3.4922473430633545,0.5199999809265137,3.229827404022217,0.6899999976158142,2.30460262298584,0.8899999856948853,18.1591739654541,0.8500000238418579,3.800509452819824,1.4800000190734863,0.8382464647293091,9.776819229125977,2.2645750045776367,7.378643989562988,13.488502502441406,21.87054252624512,10.41397190093994,1.037717342376709,4.312249183654785,1.3600000143051147,4.806028842926025,10.257370948791504,,,,6.298338890075684,0.2487135529518127,12.090121269226074,26.535728454589844,3.0487537384033203,1.0578324794769287,,1.439108967781067,2.1600000858306885,2.205772399902344
