Date,ACT.JO,ADETNC.JO,ADETNQ.JO,ADR.JO,ADXOPP.JO,ADXWWE.JO,AEL.JO,AFE.JO,AFEP.JO,AFH.JO,AFT.JO,AGOGB.JO,ALETNC.JO,ALETNQ.JO,AMC001.JO,AMC002.JO,AMC004.JO,AMC005.JO,AMC006.JO,AMC007.JO,AMC009.JO,AMC011.JO,AMC012.JO,AMC018.JO,AMC021.JO,AMETNC.JO,AMETNQ.JO,AMPSTI.JO,ANG.JO,ANI.JO,AON.JO,APETNC.JO,APETNQ.JO,APF.JO,APN.JO,ARL.JO,ART.JO,ASETNC.JO,ASETNQ.JO,ASIETF.JO,ATT.JO,AVETNC.JO,AVETNQ.JO,BAMGCF.JO,BAMHUM.JO,BCETNC.JO,BCF.JO,BEL.JO,BGFMAI.JO,BHETNC.JO,BHETNQ.JO,BID.JO,BKETNC.JO,BKETNQ.JO,BLU.JO,BOX.JO,BRETNC.JO,BRETNQ.JO,BRN.JO,BRNDZ.JO,BTI.JO,BTN.JO,BYI.JO,CAA.JO,CAT.JO,CCD.JO,CCMGCZ.JO,CFR.JO,CGR.JO,CLH.JO,CLPASI.JO,CLS.JO,CMH.JO,CML.JO,CNP.JO,COETNC.JO,COETNQ.JO,COUSDI.JO,CPI.JO,CSPROP.JO,CSYSB.JO,CTOP50.JO,DCCUS2.JO,DCCUSD.JO,DIB.JO,DNKGLO.JO,DNKOPP.JO,DRD.JO,DSBP.JO,DSY.JO,DTC.JO,EASY3.JO,EASY5.JO,EASY7.JO,EGETNC.JO,EGETNQ.JO,EMH.JO,EMI.JO,ENX.JO,EPE.JO,EQU.JO,ETF500.JO,ETF5IT.JO,ETFBND.JO,ETFEMA.JO,ETFGGB.JO,ETFGLD.JO,ETFPLT.JO,ETFRHO.JO,ETFSAP.JO,ETFSWX.JO,ETFT40.JO,ETFUSD.JO,ETFWLD.JO,EXX.JO,FAETNC.JO,FAETNQ.JO,FDETNC.JO,FDETNQ.JO,FFB.JO,FGL.JO,FNBEQF.JO,FNBGEG.JO,FNBGSE.JO,FNBINF.JO,FNBLSP.JO,FNBMID.JO,FNBT40.JO,FNBWGB.JO,FSR.JO,FTB.JO,FTH.JO,GCT.JO,GFI.JO,GIMLPC.JO,GLD.JO,GLN.JO,GLOBAL.JO,GML.JO,GNDP.JO,GPL.JO,GRSP.JO,GRT.JO,GSETNC.JO,GSETNQ.JO,HAR.JO,HCI.JO,HDC.JO,HLM.JO,HYP.JO,INCOME.JO,INPP.JO,INPR.JO,IOC.JO,ISA.JO,ISO.JO,ITE.JO,IVT.JO,IVYAI.JO,J203.L,JBL.JO,JPETNC.JO,JPETNQ.JO,JSE.JO,KAL.JO,KAP.JO,KIO.JO,KP2.JO,KRO.JO,KST.JO,LBR.JO,LEW.JO,LHC.JO,LLETNC.JO,LLETNQ.JO,LVETNQ.JO,MCETNC.JO,MCETNQ.JO,MDI.JO,MERGE.JO,MKR.JO,MNP.JO,MPT.JO,MRF.JO,MRP.JO,MRPWMB.JO,MSETNC.JO,MSETNQ.JO,MSP.JO,MTA.JO,MTH.JO,MTM.JO,MTN.JO,MWETNC.JO,MWETNQ.JO,N91.JO,NED.JO,NEWEUR.JO,NEWGBP.JO,NEWPLT.JO,NEWSLV.JO,NEWUSD.JO,NFETNC.JO,NFETNQ.JO,NGPLT.JO,NNETNC.JO,NNETNQ.JO,NPH.JO,NPK.JO,NPN.JO,NTCP.JO,NVETNC.JO,NVETNQ.JO,NVS.JO,NY1.JO,OAO.JO,OCE.JO,OCT.JO,OILGAS.JO,OPA.JO,ORBIGG.JO,ORBT30.JO,OUT.JO,OYSTER.JO,PAN.JO,PANDA.JO,PBLNCD.JO,PCMCOP.JO,PIK.JO,PMR.JO,PPC.JO,PPE.JO,PPETNC.JO,PPETNQ.JO,PPH.JO,PROWWF.JO,PRX.JO,PTETNC.JO,PTETNQ.JO,PWMEXI.JO,QLT.JO,RBO.JO,RBX.JO,RCL.JO,RDF.JO,REM.JO,RES.JO,RFFI.JO,RLO.JO,RNI.JO,SAAGG.JO,SAALG.JO,SAC.JO,SAP.JO,SBCOP.JO,SBK.JO,SBOIL.JO,SBP.JO,SBPP.JO,SBTGFP.JO,SCD.JO,SDL.JO,SDO.JO,SEA.JO,SEB.JO,SEP.JO,SHP.JO,SNT.JO,SNV.JO,SOL.JO,SOLBE1.JO,SPG.JO,SQRL.JO,SRETNC.JO,SRI.JO,SSK.JO,SSS.JO,SSU.JO,SSW.JO,STX40.JO,STX500.JO,STXCHN.JO,STXEME.JO,STXEMG.JO,STXESG.JO,STXEUR.JO,STXFIN.JO,STXGLP.JO,STXGOV.JO,STXILB.JO,STXINC.JO,STXIND.JO,STXMMT.JO,STXNDA.JO,STXNDQ.JO,STXPRO.JO,STXQUA.JO,STXRAF.JO,STXRES.JO,STXWDM.JO,SUI.JO,SUR.JO,SYFANG.JO,SYG.JO,SYG4IR.JO,SYG500.JO,SYGCN.JO,SYGEMF.JO,SYGESG.JO,SYGEU.JO,SYGH.JO,SYGJP.JO,SYGT40.JO,SYGUK.JO,SYGUS.JO,SYGWD.JO,SZK.JO,TBIMAI.JO,TBS.JO,TFG.JO,TGA.JO,THA.JO,TKG.JO,TMT.JO,TPC.JO,TRL.JO,TSETNC.JO,TSETNQ.JO,TSG.JO,UA8GRO.JO,UABSPA.JO,UBFAMU.JO,UBRAND.JO,UBROBO.JO,UBSSXF.JO,UBSUKX.JO,UCIGEP.JO,UEFPCA.JO,UEFPCL.JO,UMMIEA.JO,UMMIES.JO,UNICRN.JO,UNPWGP.JO,UOMWPA.JO,UPCHPA.JO,USPACE.JO,UUQUAD.JO,VAL.JO,VKE.JO,VOD.JO,VSETNC.JO,VSETNQ.JO,VUN.JO,WBC.JO,WBO.JO,WEZ.JO,WHL.JO,WVR.JO,WWETNC.JO,WWETNQ.JO,YRK.JO,YYLBEE.JO,ZED.JO,ZZD.JO,27FGSE.JO,27FSMF.JO,91DINC.JO,91GINC.JO,AAGEET.JO,AASAET.JO,ABAM1.JO,ABAM2.JO,ABG.JO
2023-09-29,382.7239990234375,,,488.500244140625,,,798.5510864257812,11292.330078125,12.412278175354004,623.10302734375,5272.72705078125,,,,,,,,,,99249.0,,,,,,,,30470.19921875,443.6146240234375,1500.0,,,76.0,17175.087890625,13683.384765625,1547.69287109375,,,,848.4440307617188,,,,,,988.5166625976562,1765.717041015625,,,,42191.2890625,,,296.8267822265625,,,,503.7427368164063,,59227.07421875,747.5848388671875,11449.205078125,884.5448608398438,1081.875732421875,,,231916.390625,416.7790832519531,429.6251220703125,,25845.7734375,2851.961669921875,3087.15673828125,,,,,171528.046875,1007.2952270507812,,2930.233642578125,,,396.8199462890625,,,1564.660400390625,9272.458984375,13710.416015625,3590.372802734375,,,,,,324.9934997558594,804.4580078125,777.9383544921875,410.0,1255.6085205078125,42004.8359375,1975.5889892578125,9707.3076171875,2837.9208984375,8287.0234375,34294.0,16240.0,73515.0,2914.97119140625,1219.9434814453125,6689.623046875,1936.28466796875,7616.82421875,17190.423828125,,,,,1284.433837890625,39.91696166992188,7712.060546875,,,2244.08447265625,,743.6181640625,6744.56494140625,708.89111328125,6374.5869140625,319.1484069824219,527.629638671875,,20509.298828125,,32820.67578125,10812.494140625,1256.36328125,309.83453369140625,8873.978515625,339.7742004394531,950.0,1052.0035400390625,,,7098.0751953125,19939.1484375,15384.236328125,305.0,3186.749267578125,1014.2335815429688,11501.296875,8685.6884765625,155.0,123.6351318359375,,1060.6312255859375,2597.364501953125,,,176.0,,,9208.1513671875,3445.5234375,240.0,45348.54296875,15.0,42198.0234375,1308.9775390625,349.49383544921875,3913.72119140625,2012.240234375,,,,,,1304.5439453125,,17850.0,34730.94921875,2907.12060546875,121.32969665527344,13877.064453125,,,,1561.0,1490.0,9385.3076171875,1972.6260986328125,11274.1298828125,,,3947.326171875,20184.078125,2005.552001953125,2309.00390625,,,1900.1080322265625,,,16723.7578125,,,11473.1591796875,21200.0,60504.83984375,8174.3330078125,,,413.5545959472656,3896.01953125,11.928899765014648,7536.58935546875,900.8866577148438,,,,,4270.9716796875,,334.698486328125,,,,3700.0,6045.9208984375,304.4302673339844,85.0,,,1723.908447265625,,55799.7578125,,,,1982.5286865234373,,2821.28564453125,879.004638671875,353.98211669921875,14839.4716796875,3902.166748046875,,6005.85009765625,41572.0,,10452.0,204.45542907714844,4399.12158203125,,18336.572265625,,6398.8818359375,8874.45703125,,199396.515625,675.0,515.7053833007812,748.1544799804688,200.75,93.0,23964.271484375,30137.158203125,840.0,26098.287109375,15997.216796875,3288.0322265625,,,,134.0,1227.253173828125,494.6018676757813,2921.0888671875,6740.28125,8396.2001953125,3858.610107421875,4663.77001953125,5519.0,6591.02978515625,,1635.3797607421875,,776.868408203125,723.1564331054688,,9765.6728515625,1171.4361572265625,7237.6298828125,15693.0712890625,846.6439819335938,772.8989868164062,2164.880126953125,6025.78173828125,7620.58984375,4170.560546875,2693.85791015625,1017.0,1795.1551513671875,3986.43359375,8106.79248046875,2995.879638671875,1532.2833251953125,4497.6103515625,8346.11328125,2969.90673828125,1795.873779296875,6692.5068359375,17567.4921875,7650.69189453125,5410.6494140625,4148.5224609375,,15307.5966796875,9879.6357421875,17318.392578125,1727.89599609375,2321.826416015625,297.0633544921875,3094.16943359375,208.8726806640625,,,1234.6685791015625,,,,,,,,,,,,,,,,,,,70465.0390625,1307.259521484375,10558.9599609375,,,279.1736755371094,,12456.4765625,66.0,6774.85595703125,19.97016143798828,,,162.0,2794.65673828125,165.26890563964844,1156.9205322265625,,,,,,,,,17440.26171875
2023-10-31,358.74127197265625,,,442.6409912109375,,,852.4532470703125,11033.5048828125,12.412278175354004,638.0574951171875,5189.7626953125,,,,,,,,,,99339.0,,,,,,,,34447.96875,423.6768798828125,1800.0,,,75.0,16922.19140625,14587.287109375,1438.85498046875,,,,803.8038330078125,,,,,,1033.716796875,1978.562255859375,,,,39507.43359375,,,323.8110656738281,,,,498.7552185058594,,55720.34375,737.6170043945312,11487.1640625,915.5289306640624,1084.866943359375,,,221720.734375,424.7748718261719,418.63470458984375,,27443.583984375,2607.650146484375,3010.4267578125,,,,,165402.15625,958.4924926757812,,2795.222900390625,,,385.8525695800781,,,1640.595458984375,9670.2783203125,12853.796875,3520.463134765625,,,,,,353.9039611816406,825.3919677734375,837.0223388671875,430.0,1142.5386962890625,40562.82421875,1938.3070068359373,9634.0400390625,2688.60498046875,8004.97607421875,36427.0,16705.0,79298.0,2812.903564453125,1167.1224365234375,6358.33837890625,1876.837158203125,7297.0751953125,18644.3984375,,,,,1306.39013671875,28.939796447753903,7462.05029296875,,,2199.933349609375,,708.6031494140625,6412.58544921875,696.6375122070312,6134.85546875,312.16705322265625,567.450927734375,,24820.73828125,,34700.75390625,9849.5400390625,1203.302978515625,317.83026123046875,8772.275390625,339.7742004394531,950.0,966.872802734375,,,8633.0087890625,19496.279296875,15414.1865234375,290.0,2828.67626953125,1002.6189575195312,10970.4677734375,8686.6865234375,140.0,124.6321792602539,,1146.3587646484375,2698.26220703125,,,122.0,,,8830.96484375,3330.6728515625,223.0,49240.35546875,14.0,46497.8203125,1444.871337890625,307.5545959472656,3868.850341796875,1844.38818359375,,,,,,1264.5885009765625,,18400.0,33065.4921875,2798.228271484375,116.3571548461914,13453.6103515625,,,,1520.0,1476.0,9239.796875,2094.170166015625,9089.236328125,,,3633.8564453125,20008.501953125,1984.1590576171875,2267.613037109375,,,1881.155029296875,,,16866.931640625,,,11240.3388671875,17600.0,58180.6796875,8712.6435546875,,,389.63818359375,3634.55517578125,10.22480010986328,6907.70751953125,881.9521484375,,,,,4028.09375,,362.67327880859375,,,,2500.0,6015.94140625,278.47882080078125,70.0,,,1698.92431640625,,52528.7734375,,,,1813.7392578125,,2438.78955078125,819.0724487304688,348.9964599609375,14397.7861328125,3706.609375,,5859.0986328125,38725.06640625,,10199.0,190.60394287109372,3916.656494140625,,18253.734375,,6597.81591796875,8252.177734375,,199396.8125,500.0,460.7367858886719,758.1298828125,204.0,100.0,23863.3515625,27273.98828125,740.0,23614.640625,16997.04296875,3159.59619140625,,,,127.0,1197.3203125,465.625244140625,2388.4375,6408.77490234375,8176.35009765625,3674.360107421875,4488.25,5233.0,6345.64990234375,,1578.3162841796875,,757.3070068359375,713.2009887695312,,9253.359375,1143.680908203125,6981.64013671875,15290.8759765625,806.7822875976562,754.83740234375,2066.597412109375,5714.0078125,7361.97021484375,3738.847900390625,2693.85791015625,989.0,1795.1551513671875,3697.5537109375,7895.54736328125,2875.2373046875,1477.001953125,4358.2509765625,8065.291015625,2834.249755859375,1705.50830078125,6451.04443359375,16602.626953125,7431.62353515625,5226.5478515625,3998.576171875,,17196.98046875,10061.4638671875,16589.359375,1398.2972412109375,2182.956298828125,272.22528076171875,3142.078857421875,204.8751220703125,,,1203.7269287109375,,,,,,,,,,,,,,,,,,,62284.24609375,1240.3995361328125,10129.6533203125,,,279.1736755371094,,11812.021484375,75.0,6930.66845703125,22.85585021972656,,,175.0,2694.847412109375,174.22926330566406,1072.146240234375,,,,,,,,,16950.462890625
2023-11-30,329.7621765136719,,,447.625732421875,,,978.462890625,10324.9853515625,12.412278175354004,573.254638671875,5643.96435546875,,,,,,,,,,98871.0,,,,,,,,36426.8515625,398.7546997070313,1800.0,,,70.0,18505.552734375,15965.61328125,1503.75830078125,,,,863.7146606445312,,,,,,948.822265625,2348.293701171875,,,,41294.0078125,,,374.78131103515625,,,,458.8547973632813,,60010.4453125,738.61376953125,13407.6943359375,969.5010986328124,1103.8125,,,235217.28125,389.79339599609375,466.59283447265625,,29492.060546875,2673.465087890625,3145.9501953125,,,,,195968.109375,1040.07666015625,,3021.7412109375,,,390.8377685546875,,,1759.49365234375,9472.8642578125,13299.6513671875,3495.495361328125,,,,,,395.7743225097656,824.3950805664062,837.904296875,485.0,1172.4742431640625,44737.265625,2216.827880859375,10084.7568359375,2925.637939453125,8473.18359375,37436.0,16989.0,80740.0,3059.74658203125,1266.7061767578125,6930.6240234375,1906.759765625,8070.52197265625,18723.181640625,,,,,1366.270263671875,29.937721252441406,8192.08203125,,,2305.708251953125,,745.5263061523438,6992.4208984375,735.7687377929688,6732.96337890625,344.0818786621094,627.1824340820312,,28450.892578125,,35737.890625,10659.5009765625,1325.4241943359375,309.83453369140625,8963.7138671875,297.8020935058594,899.0,1057.6729736328125,,,11687.5966796875,19294.33984375,16292.7158203125,290.0,2558.083251953125,1025.4969482421875,10976.375,8382.8818359375,142.0,130.6145477294922,,1146.3587646484375,2696.26416015625,,,128.0,,,8815.99609375,3645.263916015625,243.0,59057.11328125,12.0,49994.65625,1513.958740234375,309.5516662597656,4138.07421875,1797.707275390625,,,,,,1248.6063232421875,,17100.0,36542.4296875,2850.177001953125,120.33518981933594,15331.1845703125,,,,1699.0,1669.0,9295.7236328125,2008.2860107421875,10284.0849609375,,,4083.096435546875,21328.306640625,2072.416015625,2381.666015625,,,1910.0150146484373,,,16987.021484375,,,12156.6328125,16400.0,69463.9296875,8572.802734375,,,433.4849548339844,4099.6025390625,6.816500186920166,6785.92431640625,887.6506958007812,,,,,4145.9794921875,,409.804931640625,,,,2380.0,6269.77001953125,364.3182067871094,59.0,,,1860.82177734375,,62699.8125,,,,2257.186279296875,,2629.155029296875,859.0272216796875,346.2308044433594,14512.361328125,3991.96337890625,,6164.58203125,44247.93359375,,10835.0,207.56869506835935,3946.623291015625,,19983.388671875,,7097.65087890625,8376.8330078125,,199396.8125,500.0,499.7145080566406,767.48974609375,200.0,88.0,25693.84765625,28936.853515625,745.0,20947.01953125,15097.3740234375,2890.165283203125,,,,130.0,1227.8282470703125,514.5858154296875,2078.64013671875,6988.673828125,9015.4296875,3806.6201171875,4877.9501953125,5716.0,7049.4501953125,,1713.8995361328125,,793.4835815429688,750.3530883789062,,10182.19140625,1239.6270751953125,7523.0,17119.296875,872.7260131835938,811.9638671875,2206.16650390625,6047.77392578125,8138.81982421875,3978.13427734375,2793.63037109375,1128.0,1846.017822265625,4215.955078125,8703.013671875,2998.432373046875,1618.875732421875,4805.3779296875,9087.03515625,3025.974853515625,1868.975341796875,6912.2001953125,17907.443359375,8209.51953125,5773.7353515625,3698.68310546875,,18250.408203125,10926.64453125,14397.2548828125,1498.175537109375,2526.634765625,224.53619384765625,3094.16943359375,234.8568420410156,,,1218.6986083984375,,,,,,,,,,,,,,,,,,,79615.046875,1323.2259521484375,9687.2060546875,,,279.2640991210937,,12589.3642578125,48.0,6741.8955078125,21.95719146728516,,,174.0,2994.275146484375,182.297607421875,1301.53564453125,,,,,,,,,17333.5234375
2023-12-29,329.7621765136719,,,316.0296936035156,,,1023.392333984375,10961.5537109375,12.938912391662598,657.9967651367188,6297.7294921875,,,,,,,,,,110634.0,,,,,,,,35338.9140625,493.7120056152344,1800.0,,,68.0,20341.814453125,14639.2255859375,1499.3143310546875,,,,920.6300048828124,,,,,,948.822265625,2298.330078125,,,,42630.9375,,,387.7737426757813,,,,468.8298950195313,,54052.50390625,797.9168090820312,14305.736328125,1029.4703369140625,1067.4908447265625,,,256752.578125,458.7568359375,488.57366943359375,,32546.787109375,2693.841064453125,3106.700927734375,,,,,202529.65625,1138.711181640625,,3093.702392578125,,,394.0824890136719,,,1575.6510009765625,9691.21484375,14363.3037109375,4044.787353515625,,,,,,313.17254638671875,852.8919677734375,936.4812622070312,480.0,1392.0013427734375,45290.58984375,2227.843017578125,10226.025390625,2926.68701171875,8556.8642578125,37467.0,17885.0,77661.0,3351.906494140625,1300.4744873046875,7024.4248046875,1856.1302490234373,8204.0263671875,20391.564453125,,,,,1378.2464599609375,39.91696166992188,8272.291015625,,,2354.96875,,803.7281494140625,7088.11962890625,738.9072265625,7340.05908203125,343.2772827148437,647.3536376953125,,27748.640625,,35522.69921875,11164.4775390625,1342.572998046875,313.8323974609375,9229.9326171875,314.8993835449219,900.0,1165.435791015625,,,11953.4736328125,20254.056640625,16036.1455078125,290.0,3106.244140625,1037.6246337890625,10976.375,8730.08984375,143.0,124.70548248291016,,1116.453857421875,2837.12109375,,,161.0,,,9224.1162109375,4044.744873046875,262.0,61301.66015625,16.0,47496.77734375,1533.945068359375,349.49383544921875,4287.642578125,1824.8021240234373,,,,,,1358.483642578125,,17200.0,39852.4921875,2975.05322265625,129.28575134277344,15663.638671875,,,,1731.0,1775.0,10136.6142578125,2186.045654296875,11538.8740234375,,,4306.119140625,21570.716796875,2043.2740478515625,2331.8291015625,,,1867.7950439453125,,,17646.986328125,,,14032.1884765625,18699.0,62555.23046875,8178.82275390625,,,450.42572021484375,4289.61474609375,16.189300537109375,7057.4775390625,952.4791870117188,,,,,4215.9111328125,,408.805419921875,,,,2327.0,6294.75341796875,398.2546691894531,71.0,,,1961.7579345703125,,56038.83203125,,,,2424.97705078125,,2769.00390625,850.0374145507812,384.1466064453125,16238.333984375,4418.99609375,,5983.8876953125,46619.875,,10941.0,231.51893615722656,4415.103515625,,20769.869140625,,7697.451171875,8764.7607421875,,199397.125,574.0,521.7019653320312,817.3915405273438,200.0,119.0,27482.373046875,28620.263671875,722.0,18526.36328125,14497.478515625,2957.771728515625,,,,127.0,1303.6942138671875,524.5777587890625,2488.3720703125,7084.671875,9092.0302734375,3583.52001953125,4878.52978515625,5834.0,7152.06982421875,,1807.16455078125,,804.7315673828125,765.8512573242188,,10278.662109375,1263.3326416015625,7830.22021484375,17429.6640625,956.6051635742188,848.1653442382812,2276.28564453125,5982.8203125,8238.830078125,4087.806884765625,3192.720458984375,1155.0,1811.2998046875,4575.11474609375,8774.2080078125,2814.887939453125,1602.9739990234375,4847.2783203125,9156.013671875,3051.36328125,1881.387939453125,7006.880859375,18268.392578125,8286.927734375,5842.5234375,3998.576171875,,20079.935546875,11085.4951171875,15338.720703125,1547.1160888671875,2971.218505859375,243.75672912597656,3444.50927734375,203.875732421875,,,1222.98046875,,,,,,,,,,,,,,,,,,,96221.1796875,1409.5579833984375,10586.0185546875,,,278.2666931152344,,12995.0224609375,46.0,7211.33056640625,21.368072509765625,,,172.0,3194.873291015625,175.32449340820312,1271.615234375,,,,,,,,,16330.9794921875
2024-01-31,309.7765808105469,,,375.9977722167969,,,994.437744140625,10121.1259765625,12.104143142700195,635.2587280273438,6510.65283203125,,,,,,,,,,111475.0,,,,,,,,33801.00390625,473.7640075683594,1800.0,,,52.0,19400.193359375,15780.837890625,1582.2210693359375,,,,994.52001953125,,,,,,1043.70458984375,2397.258056640625,,,,45376.74609375,,,349.7958984375,,,,478.8049926757813,,55673.55078125,857.7605590820312,15678.271484375,1099.434326171875,1058.511962890625,,,281570.75,444.7642517089844,475.5849914550781,,30076.529296875,2685.859375,3106.700927734375,,,,,199695.140625,1151.506591796875,,2966.317626953125,,,429.9988098144531,,,1483.7298583984375,9792.9130859375,13848.4716796875,4092.725341796875,,,,,,310.18048095703125,869.8500366210938,868.463134765625,496.0,1435.90673828125,47213.9296875,2375.381103515625,10055.28515625,2843.6220703125,8634.23828125,37027.0,16892.0,79233.0,3389.551025390625,1248.186279296875,6750.560546875,1910.5440673828125,8514.6142578125,18675.3125,,,,,1536.929443359375,28.939796447753903,8491.51171875,,,2343.9765625,,774.5830078125,6809.7255859375,739.8267211914062,6781.890625,366.22894287109375,746.9465942382812,,27749.640625,,35534.17578125,10079.5283203125,1364.1715087890625,294.842529296875,9073.3916015625,287.90802001953125,900.0,1182.3985595703125,,,11734.5751953125,17708.8046875,15873.4169921875,315.0,3207.08984375,1017.557373046875,10799.337890625,8685.1923828125,132.0,123.70783996582033,,1196.2005615234375,2667.293701171875,,,132.0,,,8663.3251953125,4164.5888671875,223.0,55142.375,13.0,49220.69140625,1574.9169921875,333.5169982910156,4248.73681640625,1836.72265625,,,,,,1233.623046875,,13587.0,33647.3203125,2937.0908203125,133.2637481689453,17115.03125,,,,1860.0,1460.0,10464.1806640625,2094.170166015625,9544.796875,,,4170.30419921875,21697.408203125,2053.73095703125,2373.52001953125,,,1909.47802734375,,,16510.20703125,,,12603.2890625,18850.0,62740.015625,8229.69140625,,,473.34564208984375,4142.86767578125,15.337200164794922,7239.232421875,981.402587890625,,,,,4180.9453125,,434.79302978515625,,,,2340.0,7050.244140625,360.32562255859375,62.0,,,1929.2667236328125,,56078.83203125,,,,2467.923583984375,,2996.75732421875,881.0023803710938,416.07568359375,15760.619140625,4704.3505859375,,6008.3125,46922.87109375,,10603.0,254.47122192382807,4453.755859375,,19935.482421875,,7247.60009765625,8546.365234375,,199397.125,575.0,492.7185363769531,848.3306884765625,251.0,105.0,27126.66796875,28983.79296875,793.0,16418.6640625,13497.65234375,2783.78515625,,,,130.0,1397.5281982421875,544.5616455078125,2286.504150390625,6806.3515625,9399.330078125,3256.8701171875,4695.64013671875,5668.0,7337.22998046875,,1734.3802490234375,,805.3531494140625,762.8440551757812,,10100.8359375,1227.7911376953125,8150.259765625,18054.271484375,973.5584106445312,797.6344604492188,2194.219970703125,5623.0712890625,8478.98046875,4227.39111328125,3052.041259765625,1217.0,1826.2691650390625,4346.5849609375,9020.7568359375,2506.347900390625,1512.4449462890625,4946.71728515625,9420.8564453125,3172.834716796875,1990.976806640625,6762.4638671875,18018.96484375,8532.7099609375,5985.15869140625,3798.6474609375,,20943.890625,11365.8056640625,11959.8154296875,1487.189208984375,2821.358642578125,223.8582305908203,2993.359130859375,188.88487243652344,,,1152.0975341796875,,,,,,,,,,,,,,,,,,,79551.15625,1512.379638671875,9323.685546875,,,278.2666931152344,,13023.9970703125,60.0,6928.67138671875,21.95719146728516,,,185.0,2895.35400390625,174.3283233642578,1271.615234375,,,,,,,,,16339.95703125
2024-02-29,309.7765808105469,,,448.8037414550781,,,1028.384521484375,9688.4189453125,12.104143142700195,658.1959228515625,6261.7421875,,,,,,,,,,104943.0,,,,,,,,36098.87109375,498.6990051269531,1460.0,,,56.0,19591.1171875,14650.2099609375,1817.9561767578125,,,,958.573486328125,,,,,,1049.6971435546875,2321.313232421875,,,,44834.1796875,,,359.7900390625,,,,468.8298950195313,,57334.52734375,764.0053100585938,13659.42578125,1124.42138671875,1010.62451171875,,,306739.9375,464.753662109375,447.60943603515625,,29991.580078125,2643.955322265625,3111.685791015625,,,,,201671.09375,1124.732666015625,,2882.99609375,,,429.0011596679688,,,1303.8836669921875,10070.08984375,13585.5576171875,4019.8193359375,,,,,,315.16729736328125,887.8056030273438,869.4489135742188,463.0,1306.186279296875,50952.0,2589.0,9978.98046875,3040.0,8741.2373046875,38215.0,16561.0,76460.0,3396.2138671875,1236.72216796875,6634.60302734375,1967.1429443359373,9115.0,17722.947265625,,,,,1658.6861572265625,29.937721252441406,9085.7802734375,,,2325.24072265625,,750.3152465820312,6624.98291015625,750.6415405273438,6468.35791015625,354.2541809082031,630.5519409179688,,25153.38671875,,36566.0,9155.5703125,1487.8924560546875,289.84521484375,8979.6669921875,284.9089660644531,839.0,1168.42919921875,,,11247.7998046875,17564.845703125,15979.8310546875,315.0,3132.204345703125,1020.152587890625,11064.89453125,9024.4189453125,106.0,138.6724853515625,,1085.552001953125,2710.250244140625,,,122.0,,,8745.1484375,4295.71875,230.0,53540.984375,15.0,51897.5703125,1517.9560546875,339.50830078125,4259.7099609375,1743.3466796875,,,,,,1258.59521484375,,11240.0,34116.80078125,2826.200439453125,124.31321716308594,17041.11328125,,,,1670.0,1245.0,9252.7802734375,2081.187744140625,8341.95703125,,,3960.591064453125,21866.001953125,2073.0,2424.0,,,1923.0,,,16390.0,,,10959.5556640625,16600.0,63097.98828125,8577.7890625,,,404.02386474609375,3915.259521484375,6.816500186920166,7129.380859375,982.3999633789062,,,,,4159.9658203125,,475.7735290527344,,,,2024.0,6495.6181640625,367.31256103515625,54.0,,,1866.2906494140625,,56349.83203125,,,,2326.1005859375,,2796.9736328125,1018.8463134765624,399.1133117675781,14537.345703125,4703.3525390625,,6509.6708984375,48402.8359375,,10288.0,245.4898834228516,4614.6748046875,,20143.08203125,,6813.74462890625,8765.7568359375,,199397.125,598.0,492.7185363769531,833.360107421875,181.0,102.0,25800.7578125,30231.1953125,715.0,14470.9404296875,12897.7568359375,2625.705810546875,,,,112.0,1397.5281982421875,524.5777587890625,1985.700927734375,6632.2001953125,10243.0,3616.0,5072.0,6061.0,7895.0,,1717.0894775390625,,801.5944213867188,749.4734497070312,,9996.39453125,1184.814453125,8707.0,19635.259765625,962.0220336914062,777.108154296875,2134.531005859375,5226.34814453125,9133.0,3928.283203125,2993.17529296875,1342.0,1871.177490234375,4752.95166015625,9905.5595703125,2807.70166015625,1655.9954833984375,5367.00537109375,10143.4208984375,3406.88818359375,2140.998291015625,6615.98974609375,18521.96484375,9150.99609375,6511.99267578125,3099.896240234375,,19908.072265625,10451.5458984375,10471.8193359375,1278.7835693359375,2887.296875,218.88360595703125,3038.27490234375,117.92811584472656,,,1147.105712890625,,,,,,,,,,,,,,,,,,,73554.3125,1474.445556640625,9389.5986328125,,,269.2903747558594,,12994.0224609375,45.0,6409.294921875,2196.7177734375,,,170.0,2595.83447265625,177.3168182373047,1146.9471435546875,,,,,,,,,16316.017578125
