Date,CEZ.PR,CPI.PR,CTPNV.PR,CZ0003527657.PR,CZ0003572695.PR,CZ0003573842.PR,CZ0003574014.PR,CZ0003574196.PR,CZ0003576480.PR,CZ0003577546.PR,CZ0003578510.PR,CZ0003580300.PR,CZ0003581746.PR,CZ0003582066.PR,CZ0003583742.PR,CZ0003584740.PR,CZ0003584864.PR,CZ0003586208.PR,DBK.PR,DSPW.PR,DTE.PR,EFORU.PR,EOAN.PR,ERBAG.PR,FILL.PR,FIXED.PR,FPXAA.PR,FTSHP.PR,GEN.PR,GEV.PR,JTINA.PR,JTINB.PR,JTINV.PR,KARIN.PR,KLIKY.PR,KOFOL.PR,KOMB.PR,M2C.PR,MMCTE.PR,MONET.PR,PEN.PR,PKO.PR,PRAB.PR,PVT.PR,SABFG.PR,TABAK.PR,TMR.PR,TOMA.PR,UQA.PR,VIG.PR,VOE.PR,VOLVB.PR,VOW.PR,WIE.PR,WPS.PR
2023-09-29,860.6306762695312,,,,,,,,,,,,,,,,,,252.673828125,,480.8268127441406,138.714111328125,277.2714233398437,796.5164184570312,180.0,190.0,,,423.8695068359375,238.0,,,,174.0,36000.0,239.5297393798828,508.0056762695313,,220.0,64.15690612792969,53.70000076293945,177.6031951904297,256.0,1.600000023841858,807.0819091796875,13963.98046875,610.0,1295.72900390625,185.31956481933597,632.2891235351562,632.84228515625,413.8571472167969,2686.95263671875,593.4144897460938,
2023-10-31,872.486328125,,306.2002868652344,,,,,,,,,,,,,,,,251.8767547607422,,499.5060119628906,137.9643096923828,276.97265625,823.4983520507812,190.0,169.0,,,393.9493103027344,242.0,,,,165.0,31400.0,240.4235382080078,514.0533447265625,,220.0,68.67391204833984,50.5,217.35501098632807,232.0,1.600000023841858,807.0819091796875,13003.7529296875,615.0,1249.452880859375,181.5436248779297,614.365966796875,585.1747436523438,461.5335388183594,2465.23046875,567.1113891601562,
2023-11-30,867.65625,,331.6249084472656,,,,,,,,,,,,,,,,275.1913146972656,,530.687744140625,,290.26617431640625,894.0897216796875,190.0,185.0,,,479.8585510253906,250.0,,,,169.0,31800.0,246.67990112304688,522.7468872070312,,214.0,66.83648681640625,48.400001525878906,258.2177429199219,238.0,1.600000023841858,825.6893920898438,12775.90234375,560.0,1258.7080078125,186.1145172119141,633.284912109375,626.2606201171875,461.5335388183594,2514.832763671875,629.2824096679688,26.55408096313477
2023-12-29,841.74951171875,,353.73321533203125,,,,,,,,,,,,,,,,301.8934020996094,,537.661376953125,134.965087890625,308.6878662109375,898.1718139648438,100.0,188.0,,,508.7897033691406,282.0,,,,180.0,32000.0,246.67990112304688,547.693603515625,,224.0,71.65973663330078,45.900001525878906,278.1178283691406,240.0,1.7999999523162842,825.6893920898438,12710.802734375,595.0,1249.452880859375,180.4506072998047,647.22509765625,704.0446166992188,461.5335388183594,2738.04296875,744.657470703125,27.153045654296875
2024-01-31,764.4684448242188,,365.7085571289063,,,,,,,,,,,,,,,,298.75494384765625,,559.9766845703125,133.46548461914062,310.6794128417969,991.6629638671876,150.0,171.0,,75.0,552.685302734375,276.0,,,,169.0,30200.0,246.67990112304688,570.7504272460938,,234.0,75.79395294189453,50.900001525878906,281.9992980957031,238.0,1.7400000095367432,825.6893920898438,13020.0283203125,580.0,1249.452880859375,189.8904571533203,652.2037963867188,686.2939453125,461.5335388183594,2876.928955078125,763.189208984375,26.753734588623047
2024-02-29,703.4338989257812,,348.0218505859375,,,,,,,,,,,,,,,,312.30523681640625,,556.2907104492188,,297.73443603515625,931.127685546875,150.0,165.0,,,495.4466857910156,272.0,,,,163.0,30000.0,242.2110748291016,616.8640747070312,,244.0,78.85633087158203,47.59999847412109,320.3302307128906,230.0,1.0800000429153442,817.8997802734375,12629.427734375,575.0,1295.72900390625,199.7277984619141,677.0969848632812,640.4213256835938,461.5335388183594,3115.515869140625,818.5851440429688,23.359603881835938
2024-03-28,735.0488891601562,,385.0533752441406,,,,,,,,,,,,,,,,371.6377868652344,,560.8733520507812,128.9666290283203,319.98980712890625,1037.4625244140625,152.0,158.0,,,518.8969116210938,258.0,,,,156.0,29600.0,241.3173065185547,635.007080078125,,238.0,78.09073638916016,45.400001525878906,335.1773986816406,232.0,1.590000033378601,825.6893920898438,12873.552734375,515.0,1258.7080078125,199.9265289306641,721.9049072265625,651.19140625,478.7692565917969,3045.080322265625,856.4456787109375,21.36305809020996
2024-04-30,764.0293579101562,,368.72406005859375,,,,,,,,,,,,,,,,378.71185302734375,,536.5072631835938,140.21372985839844,313.1190185546875,1105.16650390625,155.0,147.0,,65.0,488.96044921875,258.0,,,,145.0,29000.0,241.3173065185547,657.3079223632812,,320.0,79.74958038330078,44.900001525878906,349.7334289550781,240.0,1.100000023841858,872.1446533203125,13020.0283203125,520.0,1267.9632568359375,208.27337646484372,730.866455078125,636.8312377929688,478.7692565917969,2999.44677734375,846.8809814453125,20.165128707885746
2024-05-31,832.9675903320312,,384.5816040039063,,,,,,,,,,,,,,,,375.2482299804688,,530.5216674804688,161.95809936523438,301.8992614746094,1114.249755859375,155.0,160.0,,,563.92724609375,256.0,,,,164.0,30000.0,265.4490051269531,649.5330810546875,,340.0,83.52322387695312,45.150001525878906,320.2331848144531,234.0,1.100000023841858,863.9168090820312,13193.77734375,500.0,1277.218505859375,202.7088165283203,729.2138061523438,661.3631591796875,478.7692565917969,2849.736572265625,885.0491333007812,20.76409149169922
2024-06-28,818.7645874023438,,,,,,,,,,,,,,,,,,370.8094787597656,,576.6106567382812,160.45849609375,307.7337341308594,1101.77490234375,155.0,150.0,,,568.9176635742188,258.0,,,,171.0,32200.0,271.70538330078125,653.2900390625,,330.0,85.70353698730469,43.0,352.1594543457031,274.0,1.7699999809265137,855.68896484375,13475.9970703125,500.0,1309.481201171875,198.69200134277344,755.1502685546875,638.2273559570312,478.7692565917969,2651.230224609375,799.6759033203125,19.965473175048828
