Rank,Ticker,Name,Return (%),Risk,Volatility,Follows Market Direction ?,Industry,Sector,Rating
1,EG7.IR,FBD Holdings plc,46.65,0.106,0.537,Yes,Insurance - Property & Casualty,Financial Services,
2,A5G.IR,AIB Group plc,60.21,0.168,0.347,Yes,Banks - Regional,Financial Services,2.6 - Hold
3,GRP.IR,Greencoat Renewables,10.31,0.039,0.116,Yes,,,2.0 - Buy
4,GL9.IR,Glanbia plc,74.24,0.273,0.567,Yes,Packaged Foods,Consumer Defensive,2.0 - Buy
5,BIRG.IR,Bank of Ireland Group plc,48.64,0.194,0.952,Yes,Banks - Regional,Financial Services,1.9 - Buy
6,HMSO.IR,Hammerson Plc,37.96,0.172,0.476,No,REIT - Retail,Real Estate,
7,MIO.IR,Mincon Group plc,96.19,0.38,0.222,No,Tools & Accessories,Industrials,
8,C5H.IR,Cairn Homes plc,42.33,0.227,1.004,Yes,Residential Construction,Consumer Cyclical,
9,^ISEQ,ISEQ All Share Index,25.84,0.153,1.0,Yes,,,
10,OIZ.IR,Origin Enterprises plc,27.54,0.191,0.237,No,Agricultural Inputs,Basic Materials,1.0 - Strong Buy
11,GVR.IR,Glenveagh Properties PLC,33.86,0.279,1.153,Yes,Residential Construction,Consumer Cyclical,
12,IRES.IR,Irish Residential Properties REIT Plc,19.73,0.198,0.651,Yes,REIT - Residential,Real Estate,1.3 - Strong Buy
13,KRZ.IR,Kerry Group plc,14.38,0.177,0.748,Yes,Packaged Foods,Consumer Defensive,1.6 - Buy
14,UPR.IR,Uniphar plc,11.39,0.228,0.496,Yes,Medical Distribution,Healthcare,1.1 - Strong Buy
15,RYA.IR,Ryanair Holdings plc,-1.32,0.292,1.388,Yes,Airlines,Industrials,1.6 - Buy
16,KMR.IR,Kenmare Resources plc,-27.99,0.472,1.31,Yes,Other Industrial Metals & Mining,Basic Materials,
17,MLC.IR,Malin Corporation plc,-15.33,0.116,0.192,No,Drug Manufacturers - Specialty & Generic,Healthcare,
18,DQ7A.IR,Donegal Investment Group plc,-35.13,0.189,0.035,No,Farm Products,Consumer Defensive,
