Rank,Ticker,Name,Return (%),Risk,Volatility,Follows Market Direction ?,Industry,Sector,Rating
1,8381.T,"The San-in Godo Bank,Ltd.",110.44,0.176,0.173,Yes,Banks - Regional,Financial Services,
2,6360.T,"Tokyo Automatic Machinery Works, Ltd.",46.38,0.103,0.075,Yes,Specialty Industrial Machinery,Industrials,
3,8359.T,"Hachijuni Nagano Bank, Ltd.",91.78,0.186,0.256,Yes,Banks - Regional,Financial Services,3.0 - Hold
4,5844.T,"Kyoto Financial Group,Inc.",72.97,0.158,0.084,No,Banks - Regional,Financial Services,2.3 - Buy
5,8341.T,"The 77 Bank, Ltd.",113.51,0.22,0.176,Yes,Banks - Regional,Financial Services,3.0 - Hold
6,7327.T,"Daishi Hokuetsu Financial Group, Inc.",98.55,0.202,0.171,Yes,Banks - Regional,Financial Services,
7,546A.T,"Miraini Holdings Co., Ltd.",111.93,0.223,0.129,Yes,Electronic Components,Technology,
8,8707.T,"IwaiCosmo Holdings, Inc.",94.71,0.202,0.235,Yes,Capital Markets,Financial Services,
9,8358.T,Suruga Bank Ltd.,114.02,0.233,0.196,Yes,Banks - Regional,Financial Services,2.3 - Buy
10,9436.T,Okinawa Cellular Telephone Company,69.88,0.166,0.166,No,Telecom Services,Communication Services,
11,8309.T,"Sumitomo Mitsui Trust Group, Inc.",79.86,0.19,0.13,Yes,Banks - Regional,Financial Services,2.3 - Buy
12,2108.T,"Nippon Beet Sugar Manufacturing Co.,Ltd.",107.92,0.246,0.041,No,Confectioners,Consumer Defensive,
13,94345.T,SoftBank Corp.,2.41,0.008,0.005,Yes,Telecom Services,Communication Services,
14,7337.T,"Hirogin Holdings, Inc.",81.08,0.21,0.297,Yes,Banks - Regional,Financial Services,2.0 - Buy
15,8370.T,"The Kiyo Bank, Ltd.",90.32,0.228,0.325,Yes,Banks - Regional,Financial Services,
16,7167.T,"Mebuki Financial Group,Inc.",98.07,0.246,0.327,Yes,Banks - Regional,Financial Services,2.2 - Buy
17,7883.T,"Sun Messe Co., Ltd.",18.62,0.06,0.087,Yes,Specialty Business Services,Industrials,
18,6960.T,"Fukuda Denshi Co., Ltd.",99.31,0.251,0.367,Yes,Medical Devices,Healthcare,
19,5458.T,Takasago Tekko K.K.,64.29,0.187,0.067,Yes,Steel,Basic Materials,
20,4578.T,"Otsuka Holdings Co., Ltd.",67.99,0.196,0.109,Yes,Drug Manufacturers - General,Healthcare,1.6 - Buy
21,7213.T,LECIP Holdings Corporation,69.86,0.205,0.148,Yes,Electronic Components,Technology,
22,8334.T,"The Gunma Bank, Ltd.",88.37,0.247,0.148,Yes,Banks - Regional,Financial Services,2.7 - Hold
23,6178.T,"Japan Post Holdings Co., Ltd.",84.67,0.241,0.2,Yes,Banks - Regional,Financial Services,1.9 - Buy
24,8609.T,Okasan Securities Group Inc.,110.4,0.295,0.262,Yes,Capital Markets,Financial Services,
25,9678.T,"Kanamoto Co.,Ltd.",67.09,0.204,0.258,Yes,Rental & Leasing Services,Industrials,1.0 - Strong Buy
26,2207.T,"Meito Co., Ltd.",68.46,0.208,0.213,No,Confectioners,Consumer Defensive,
27,8418.T,"Yamaguchi Financial Group, Inc.",98.7,0.279,0.256,Yes,Banks - Regional,Financial Services,1.5 - Strong Buy
28,8331.T,"The Chiba Bank, Ltd.",101.23,0.285,0.301,Yes,Banks - Regional,Financial Services,2.1 - Buy
29,3107.T,"Daiwabo Holdings Co., Ltd.",35.38,0.122,0.058,Yes,Electronics & Computer Distribution,Technology,
30,7433.T,"Hakuto Co., Ltd.",46.02,0.153,0.069,Yes,Electronic Components,Technology,
31,8285.T,"Mitani Sangyo Co., Ltd.",91.09,0.266,0.101,Yes,Conglomerates,Industrials,
32,8411.T,"Mizuho Financial Group, Inc.",89.8,0.268,0.431,Yes,Banks - Regional,Financial Services,2.0 - Buy
33,8045.T,"Yokohama Maruuo Co., Ltd.",114.47,0.322,0.295,Yes,Packaged Foods,Consumer Defensive,
34,7381.T,"CCI Group, Inc.",110.56,0.315,0.114,Yes,Banks - Regional,Financial Services,
35,8354.T,"Fukuoka Financial Group, Inc.",96.83,0.286,0.363,Yes,Banks - Regional,Financial Services,2.6 - Hold
36,8714.T,"Senshu Ikeda Holdings, Inc.",85.05,0.259,0.232,Yes,Banks - Regional,Financial Services,
37,6250.T,Yamabiko Corporation,94.17,0.283,0.345,Yes,Tools & Accessories,Industrials,
38,3132.T,"Macnica Holdings, Inc.",101.64,0.302,0.628,Yes,Electronics & Computer Distribution,Technology,
39,8601.T,Daiwa Securities Group Inc.,66.75,0.219,0.002,Yes,Capital Markets,Financial Services,3.0 - Hold
40,9355.T,Rinko Corporation,30.13,0.112,0.108,No,Integrated Freight & Logistics,Industrials,
41,5355.T,"Nippon Crucible Co., Ltd.",16.54,0.065,0.002,Yes,Conglomerates,Industrials,
42,7698.T,Iceco Inc.,41.88,0.15,0.021,No,Food Distribution,Consumer Defensive,
43,5832.T,"Chugin Financial Group,Inc.",79.81,0.256,0.221,Yes,Banks - Regional,Financial Services,2.5 - Buy
44,6942.T,"Sophia Holdings Co.,Ltd.",23.1,0.089,0.053,Yes,Information Technology Services,Technology,
45,2810.T,House Foods Group Inc.,45.97,0.164,0.078,Yes,Packaged Foods,Consumer Defensive,2.0 - Buy
46,8316.T,"Sumitomo Mitsui Financial Group, Inc.",83.75,0.267,0.31,Yes,Banks - Diversified,Financial Services,
47,4972.T,"Soken Chemical & Engineering Co., Ltd.",108.73,0.325,0.346,Yes,Specialty Chemicals,Basic Materials,
48,3964.T,Aucnet Inc.,71.6,0.237,0.417,Yes,Internet Retail,Consumer Cyclical,1.0 - Strong Buy
49,7781.T,"HIRAYAMA HOLDINGS Co.,Ltd.",75.14,0.246,0.017,Yes,Staffing & Employment Services,Industrials,
50,9934.T,"Inaba Denki Sangyo Co.,Ltd.",57.64,0.199,0.221,Yes,Industrial Distribution,Industrials,
51,9366.T,Sanritsu Corporation,38.25,0.141,0.049,Yes,Integrated Freight & Logistics,Industrials,
52,2705.T,"OOTOYA Holdings Co., Ltd.",92.35,0.29,0.199,Yes,Restaurants,Consumer Cyclical,
