Rank,Ticker,Name,Return (%),Risk,Volatility,Follows Market Direction ?,Industry,Sector,Rating
85,CYDSASAA.MX,"Cydsa, S.A.B. de C.V.",81.58,0.607,0.524,No,Chemicals,Basic Materials,1.0 - Strong Buy
86,IBKR.MX,"Interactive Brokers Group, Inc.",34.93,0.302,0.37,No,Capital Markets,Financial Services,
87,APA.MX,APA Corporation,123.23,0.826,2.695,No,Oil & Gas E&P,Energy,
88,EXPE.MX,"Expedia Group, Inc.",61.45,0.487,2.918,No,Travel Services,Consumer Cyclical,
89,SWK.MX,"Stanley Black & Decker, Inc.",35.34,0.314,1.137,Yes,Tools & Accessories,Industrials,
90,C.MX,Citigroup Inc.,26.49,0.244,1.374,No,Banks - Diversified,Financial Services,
91,Q1.MX,"Qnity Electronics, Inc.",71.26,0.565,2.689,Yes,Semiconductor Equipment & Materials,Technology,
92,NVSN.MX,Novartis AG,17.84,0.17,0.982,Yes,Drug Manufacturers - General,Healthcare,
93,STORAGE18.MX,FIBRA Storage,9.86,0.097,1.11,No,,,
94,PBRN.MX,Petróleo Brasileiro S.A. - Petrobras,64.69,0.528,0.83,Yes,Oil & Gas Integrated,Energy,
95,AA1.MX,Alcoa Corporation,67.06,0.544,1.147,Yes,Aluminum,Basic Materials,
96,MUSA1.MX,Murphy USA Inc.,52.46,0.446,2.157,No,Specialty Retail,Consumer Cyclical,
97,PLD.MX,"Prologis, Inc.",18.59,0.18,0.767,Yes,REIT - Industrial,Real Estate,
98,COHR.MX,Coherent Corp.,117.57,0.845,4.439,No,Scientific & Technical Instruments,Technology,
99,DVN.MX,Devon Energy Corporation,35.73,0.327,0.219,No,Oil & Gas E&P,Energy,
100,GEV.MX,GE Vernova Inc.,54.06,0.468,0.661,Yes,Specialty Industrial Machinery,Industrials,
101,GCC.MX,"GCC, S.A.B. de C.V.",14.95,0.149,0.845,Yes,Building Materials,Basic Materials,
102,BKR.MX,Baker Hughes Company,35.45,0.329,1.268,Yes,Oil & Gas Equipment & Services,Energy,
103,JBL.MX,Jabil Inc.,49.81,0.441,0.713,Yes,Electronic Components,Technology,
104,TSCON.MX,Tesco PLC,108.23,0.812,4.643,Yes,Grocery Stores,Consumer Defensive,
105,MBLY.MX,Mobileye Global Inc.,64.32,0.547,,,,,
106,BN.MX,Barrick Mining Corp,50.76,0.458,1.481,Yes,,,
107,M.MX,"Macy's, Inc.",32.73,0.32,0.491,No,Department Stores,Consumer Cyclical,
108,ABEVN.MX,Ambev S.A.,25.38,0.256,1.951,Yes,Beverages - Brewers,Consumer Defensive,
109,FANUN.MX,Fanuc Corporation,53.46,0.491,2.107,Yes,Specialty Industrial Machinery,Industrials,
110,DDOG.MX,"Datadog, Inc.",103.79,0.833,1.146,No,Software - Application,Technology,
111,GOOGL.MX,Alphabet Inc.,43.19,0.429,0.401,No,Internet Content & Information,Communication Services,
112,VALEN.MX,Vale S.A.,33.65,0.352,2.357,Yes,Other Industrial Metals & Mining,Basic Materials,
113,TMO.MX,Thermo Fisher Scientific Inc.,36.71,0.38,1.139,No,Diagnostics & Research,Healthcare,
114,GOOG.MX,Alphabet Inc.,41.25,0.424,0.289,No,Internet Content & Information,Communication Services,
115,AAPL.MX,Apple Inc.,19.07,0.215,0.255,No,Consumer Electronics,Technology,
116,FIBRATC14.MX,Nacional Financiera Snc - Institucion De Banca De Desarrollo Fibratc14 ETF,13.57,0.158,1.02,Yes,,,
117,CVX.MX,Chevron Corporation,30.18,0.331,0.164,Yes,Oil & Gas Integrated,Energy,
118,ALPEKA.MX,"ALPEK, S.A.B. de C.V.",41.14,0.436,2.722,No,Specialty Chemicals,Basic Materials,2.3 - Buy
119,TXN.MX,Texas Instruments Incorporated,50.19,0.519,0.917,Yes,Semiconductors,Technology,
120,NET.MX,"Cloudflare, Inc.",53.05,0.546,3.152,No,Software - Infrastructure,Technology,
121,IQV.MX,IQVIA Holdings Inc.,46.39,0.49,0.53,No,Diagnostics & Research,Healthcare,
122,GFNORTEO.MX,"Grupo Financiero Banorte, S.A.B. de C.V.",19.17,0.227,0.964,Yes,Banks - Regional,Financial Services,1.9 - Buy
123,MPWR.MX,"Monolithic Power Systems, Inc.",60.55,0.622,1.679,Yes,Semiconductors,Technology,
124,NAFTRACISHRS.MX,iShares NAFTRAC,8.35,0.104,1.01,Yes,,,
125,DLTR.MX,"Dollar Tree, Inc.",27.87,0.322,0.389,Yes,Discount Stores,Consumer Defensive,
126,FMTY14.MX,"Fibra Mty, S.A.P.I. de C.V.",11.59,0.144,0.48,No,Banks - Regional,Financial Services,1.8 - Buy
127,CRDON.MX,Credo Technology Group Holding Ltd,117.73,1.056,2.912,No,Semiconductors,Technology,
128,CGNX.MX,Cognex Corporation,48.46,0.532,3.368,Yes,Scientific & Technical Instruments,Technology,
129,BCSN.MX,Barclays PLC,25.89,0.309,0.168,No,Banks - Diversified,Financial Services,
130,SUN.MX,Schneider Electric S.E.,23.46,0.283,0.718,Yes,Specialty Industrial Machinery,Industrials,
131,VINTE.MX,"Vinte Viviendas Integrales, S.A.B. de C.V.",14.98,0.19,1.08,Yes,Real Estate - Development,Real Estate,
132,TTMI.MX,"TTM Technologies, Inc.",123.06,1.123,2.697,Yes,Electronic Components,Technology,
133,ORBIA.MX,"Orbia Advance Corporation, S.A.B. de C.V.",27.75,0.34,1.886,Yes,Conglomerates,Industrials,2.2 - Buy
134,ANET.MX,"Arista Networks, Inc.",41.51,0.488,1.481,No,Computer Hardware,Technology,
135,COP.MX,ConocoPhillips,29.44,0.363,0.161,No,Oil & Gas E&P,Energy,
136,MDB.MX,"MongoDB, Inc.",63.95,0.706,1.435,No,Software - Infrastructure,Technology,
137,ON.MX,ON Semiconductor Corporation,65.22,0.725,1.307,Yes,Semiconductors,Technology,
138,PATH.MX,"UiPath, Inc.",60.55,0.701,3.783,No,Software - Infrastructure,Technology,
139,VESTA.MX,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",16.64,0.226,1.117,Yes,Real Estate - Diversified,Real Estate,1.8 - Buy
140,PAASN.MX,Pan American Silver Corp.,44.86,0.555,2.321,Yes,Gold,Basic Materials,
141,SNOW.MX,Snowflake Inc.,94.28,1.008,1.44,No,Software - Application,Technology,
142,EOG.MX,"EOG Resources, Inc.",29.74,0.39,0.807,No,Oil & Gas E&P,Energy,
143,BAC.MX,Bank of America Corporation,15.93,0.22,1.383,No,Banks - Diversified,Financial Services,
144,SHEL1N.MX,Shell plc,22.7,0.309,0.184,No,Oil & Gas Integrated,Energy,
145,MEXTRAC09.MX,MEXTRAC 09 ETF,6.8,0.099,0.857,Yes,,,
146,SIEN.MX,Siemens Aktiengesellschaft,19.7,0.276,0.145,Yes,Specialty Industrial Machinery,Industrials,
147,MCK.MX,McKesson Corporation,22.38,0.311,0.686,Yes,Medical Distribution,Healthcare,
148,PM.MX,Philip Morris International Inc.,12.25,0.179,1.218,Yes,Tobacco,Consumer Defensive,
149,AEP.MX,"American Electric Power Company, Inc.",16.34,0.235,1.243,Yes,Utilities - Regulated Electric,Utilities,
150,CRSR.MX,"Corsair Gaming, Inc.",119.02,1.256,0.448,Yes,Computer Hardware,Technology,
151,GFSN.MX,GLOBALFOUNDRIES Inc.,54.98,0.692,0.134,Yes,Semiconductors,Technology,
152,HWM.MX,Howmet Aerospace Inc.,21.69,0.311,1.811,Yes,Aerospace & Defense,Industrials,
153,BWXT.MX,"BWX Technologies, Inc.",56.08,0.718,1.416,Yes,,,
154,CVS.MX,CVS Health Corporation,21.3,0.309,0.543,No,Healthcare Plans,Healthcare,
155,FRES.MX,Fresnillo plc,52.07,0.68,2.707,Yes,Other Precious Metals & Mining,Basic Materials,
156,CEMEXCPO.MX,"CEMEX, S.A.B. de C.V.",16.46,0.253,1.013,Yes,Building Materials,Basic Materials,
157,ASTS.MX,"AST SpaceMobile, Inc.",109.73,1.26,1.405,Yes,Communication Equipment,Technology,
158,KIMBERA.MX,"Kimberly-Clark de México, S. A. B. de C. V.",11.73,0.186,0.998,Yes,Household & Personal Products,Consumer Defensive,2.4 - Buy
159,KIMBERB.MX,"Kimberly-Clark de México, S. A. B. de C. V.",10.89,0.174,0.595,No,Household & Personal Products,Consumer Defensive,
160,LUV.MX,Southwest Airlines Co.,31.08,0.459,1.979,Yes,Airlines,Industrials,
161,TEAM.MX,Atlassian Corporation,105.52,1.26,4.604,No,Software - Application,Technology,
162,AUTLANB.MX,"Compañía Minera Autlán, S.A.B. de C.V.",9.76,0.162,0.3,Yes,Other Industrial Metals & Mining,Basic Materials,
163,OXY1.MX,Occidental Petroleum Corporation,30.14,0.462,0.307,Yes,Oil & Gas E&P,Energy,
164,VMEX19.MX,Vanguard FTSE Biva Mexico Equity ETF,5.96,0.101,1.119,Yes,,,
165,UBSN.MX,UBS Group AG,25.82,0.406,0.617,No,Banks - Diversified,Financial Services,
166,PNC.MX,"The PNC Financial Services Group, Inc.",13.71,0.229,0.493,Yes,Banks - Regional,Financial Services,
167,CIFR.MX,Cipher Digital Inc.,65.95,0.925,0.442,Yes,Information Technology Services,Technology,
168,ARCON.MX,Arcos Dorados Holdings Inc.,12.03,0.207,0.738,Yes,Restaurants,Consumer Cyclical,
169,SOLS.MX,Solstice Advanced Materials Inc,33.72,0.545,2.881,Yes,,,
170,SIMECB.MX,"Grupo Simec, S.A.B. de C.V.",6.57,0.124,0.388,No,Steel,Basic Materials,
171,CULTIBAB.MX,"Organización Cultiba, S.A.B. de C.V.",11.92,0.219,0.47,Yes,Beverages - Non-Alcoholic,Consumer Defensive,
172,SPORTS.MX,"Grupo Sports World, S.A.B. de C.V.",21.78,0.39,1.235,No,Entertainment,Communication Services,
173,SAFN.MX,Safran SA,15.31,0.282,0.006,Yes,Aerospace & Defense,Industrials,
174,CRUS.MX,"Cirrus Logic, Inc.",19.5,0.356,0.459,No,Semiconductors,Technology,
175,BEAM.MX,Beam Therapeutics Inc.,28.93,0.511,0.145,No,Biotechnology,Healthcare,
176,FIBRAPL14.MX,FIBRA Prologis,9.85,0.189,1.468,Yes,REIT - Industrial,Real Estate,2.2 - Buy
177,EL.MX,The Estée Lauder Companies Inc.,29.78,0.538,1.123,Yes,Household & Personal Products,Consumer Defensive,
178,NVDA.MX,NVIDIA Corporation,14.77,0.289,1.036,No,Semiconductors,Technology,
179,DDD.MX,3D Systems Corporation,44.33,0.778,0.144,No,Computer Hardware,Technology,
180,MCHP.MX,Microchip Technology Incorporated,37.67,0.677,1.252,Yes,Semiconductors,Technology,
181,XYZ.MX,"Block, Inc.",14.96,0.296,1.003,No,Software - Infrastructure,Technology,
182,BOLSAA.MX,"Bolsa Mexicana de Valores, S.A.B. de C.V.",9.71,0.199,0.29,Yes,Financial Data & Stock Exchanges,Financial Services,2.5 - Buy
183,^MXX,IPC Mexico,4.86,0.102,1.0,Yes,,,
184,PE&OLES.MX,"Industrias Peñoles, S.A.B. de C.V.",27.7,0.541,2.693,Yes,Other Industrial Metals & Mining,Basic Materials,
185,IOT.MX,Samsara Inc.,38.17,0.725,4.953,No,Software - Infrastructure,Technology,
186,SY1N.MX,Symrise AG,9.06,0.193,0.146,No,Specialty Chemicals,Basic Materials,
187,FVIA16.MX,"Infraestructura Viable, S.A. de C.V.",5.31,0.115,0.393,Yes,Banks - Regional,Financial Services,
188,FINN13.MX,Fideicomiso Irrevocable db/1616,12.41,0.262,0.279,No,REIT - Hotel & Motel,Real Estate,
189,HCITY.MX,"Promotora de Hoteles Norte 19, S.A.B. de C.V.",18.77,0.391,0.515,Yes,Lodging,Consumer Cyclical,3.7 - Underperform
190,EDUCA18.MX,"Fideicomiso Irrevocable No. F/3277 en Banco Invex, S. A. Institución de Banca Múltiple, INVEX Grupo",8.87,0.193,1.005,No,REIT - Specialty,Real Estate,
191,U.MX,Unity Software Inc.,43.18,0.83,6.303,No,Software - Application,Technology,
192,AMZN.MX,"Amazon.com, Inc.",18.28,0.395,1.086,No,Internet Retail,Consumer Cyclical,
193,VZ.MX,Verizon Communications Inc.,11.33,0.252,1.084,Yes,Telecom Services,Communication Services,
194,PINFRA.MX,"Promotora y Operadora de Infraestructura, S. A. B. de C. V.",5.77,0.134,0.618,Yes,Infrastructure Operations,Industrials,1.7 - Buy
195,JPM.MX,JPMorgan Chase & Co.,8.24,0.19,1.22,No,Banks - Diversified,Financial Services,
196,SORIANAB.MX,"Organización Soriana, S. A. B. de C. V.",21.74,0.48,1.216,Yes,Department Stores,Consumer Cyclical,
197,AC.MX,"Arca Continental, S.A.B. de C.V.",7.42,0.175,0.807,Yes,Beverages - Non-Alcoholic,Consumer Defensive,1.6 - Buy
198,RRX.MX,Regal Rexnord Corporation,2.9,0.07,0.432,Yes,Specialty Industrial Machinery,Industrials,
199,SCHW.MX,The Charles Schwab Corporation,9.45,0.225,1.262,No,Capital Markets,Financial Services,
200,S1.MX,"SentinelOne, Inc.",24.54,0.558,1.062,No,Software - Infrastructure,Technology,
201,RBRK.MX,"Rubrik, Inc.",28.84,0.669,1.892,No,Software - Infrastructure,Technology,
202,FMX23.MX,"Fibra Infraestructura y Energía México, S.A. de",15.92,0.397,1.896,No,,,
203,ELV.MX,"Elevance Health, Inc.",11.84,0.306,0.007,No,Healthcare Plans,Healthcare,
204,LUMN.MX,"Lumen Technologies, Inc.",41.28,0.962,0.288,No,Telecom Services,Communication Services,
205,KEEL.MX,Keel Infrastructure Corp.,73.37,1.583,14.761,Yes,Information Technology Services,Technology,
206,MMM.MX,3M Company,10.11,0.274,0.099,Yes,Conglomerates,Industrials,
207,LMT.MX,Lockheed Martin Corporation,14.03,0.376,2.157,Yes,Aerospace & Defense,Industrials,
208,KIM.MX,Kimco Realty Corporation,5.03,0.145,0.171,No,REIT - Retail,Real Estate,
209,HPQ.MX,HP Inc.,18.36,0.511,1.492,No,Computer Hardware,Technology,
210,GPRO.MX,"GoPro, Inc.",101.55,2.232,8.937,No,,,
211,ETN1N.MX,Eaton Corporation plc,9.43,0.28,0.122,Yes,Specialty Industrial Machinery,Industrials,
212,NVAX.MX,"Novavax, Inc.",26.6,0.744,3.077,Yes,Biotechnology,Healthcare,
213,UNH.MX,UnitedHealth Group Incorporated,14.51,0.43,1.312,No,Healthcare Plans,Healthcare,
214,GNRC.MX,Generac Holdings Inc.,21.79,0.645,3.231,Yes,Specialty Industrial Machinery,Industrials,
215,HAS.MX,"Hasbro, Inc.",10.25,0.318,1.146,Yes,Leisure,Consumer Cyclical,
216,USAR.MX,"USA Rare Earth, Inc.",45.94,1.25,1.959,Yes,Other Industrial Metals & Mining,Basic Materials,
217,AGUA.MX,Grupo Rotoplas S.A.B. de C.V.,5.16,0.167,0.847,No,Building Products & Equipment,Industrials,
218,AVGO.MX,Broadcom Inc.,14.94,0.464,0.736,No,,,
219,GIGANTE.MX,"Grupo Gigante, S. A. B. de C. V.",3.08,0.101,0.074,Yes,Specialty Retail,Consumer Cyclical,
220,NDAQ.MX,"Nasdaq, Inc.",12.91,0.408,1.514,No,Financial Data & Stock Exchanges,Financial Services,
221,ARGXN.MX,argenx SE,9.46,0.303,0.106,Yes,Biotechnology,Healthcare,
222,ABBV.MX,AbbVie Inc.,6.91,0.224,0.689,No,Drug Manufacturers - General,Healthcare,
223,QUREN.MX,uniQure N.V.,35.65,1.035,2.078,No,Biotechnology,Healthcare,
224,CRM.MX,"Salesforce, Inc.",19.33,0.612,2.435,No,Software - Application,Technology,
225,VASCONI.MX,"Grupo Vasconia, S.A.B.",43.76,1.272,0.201,No,"Furnishings, Fixtures & Appliances",Consumer Cyclical,
226,AMXB.MX,"América Móvil, S.A.B. de C.V.",10.3,0.342,1.236,Yes,Telecom Services,Communication Services,
227,AGNC.MX,AGNC Investment Corp.,4.87,0.168,0.192,Yes,REIT - Mortgage,Real Estate,
228,GAP1.MX,"The Gap, Inc.",11.52,0.396,0.612,Yes,Apparel Retail,Consumer Cyclical,
229,V.MX,Visa Inc.,5.08,0.181,1.094,No,Credit Services,Financial Services,
230,RIOT.MX,"Riot Platforms, Inc.",27.39,0.904,1.77,Yes,Capital Markets,Financial Services,
231,CTVA.MX,"Corteva, Inc.",9.08,0.325,0.901,No,Agricultural Inputs,Basic Materials,
232,AMKR.MX,"Amkor Technology, Inc.",30.9,1.016,2.293,No,Semiconductor Equipment & Materials,Technology,
233,EBAY.MX,eBay Inc.,8.92,0.323,0.708,No,Internet Retail,Consumer Cyclical,
234,DBX.MX,"Dropbox, Inc.",7.04,0.284,1.451,No,Software - Infrastructure,Technology,
235,PLTR.MX,Palantir Technologies Inc.,18.29,0.719,2.96,No,,,
236,KMI.MX,"Kinder Morgan, Inc.",5.62,0.242,0.935,Yes,Oil & Gas Midstream,Energy,
237,ESENTIAII.MX,"Esentia Energy Development, S. de R. L. de C. V.",5.05,0.23,0.777,No,Oil & Gas Midstream,Energy,1.8 - Buy
238,CSIQN.MX,Canadian Solar Inc.,17.8,0.844,0.918,Yes,Solar,Technology,
239,URI.MX,"United Rentals, Inc.",8.73,0.438,0.184,Yes,Rental & Leasing Services,Industrials,
240,COO.MX,"The Cooper Companies, Inc.",5.2,0.266,0.123,Yes,Medical Instruments & Supplies,Healthcare,
241,VEEV.MX,Veeva Systems Inc.,10.85,0.593,3.184,No,Health Information Services,Healthcare,
242,SITES1A-1.MX,"Operadora de Sites Mexicanos, S.A.B. de C.V.",3.6,0.209,0.566,No,Engineering & Construction,Industrials,
