Rank,Ticker,Name,Return (%),Risk,Industry,Sector,Rating
1,4347.SR,Bonyan REIT Fund,17.98,0.096,REIT - Diversified,Real Estate,
2,4190.SR,Jarir Marketing Company,37.17,0.211,Specialty Retail,Consumer Cyclical,2.9 - Hold
3,4333.SR,Taleem REIT Fund,14.48,0.101,REIT - Diversified,Real Estate,
4,8313.SR,Rasan Information Technology Company,43.21,0.316,Insurance Brokers,Financial Services,1.5 - Strong Buy
5,3040.SR,Qassim Cement Company,12.45,0.103,Building Materials,Basic Materials,
6,9540.SR,National Environmental Recycling Company,38.71,0.329,Waste Management,Industrials,
7,4348.SR,Alkhabeer REIT Fund,6.05,0.062,REIT - Diversified,Real Estate,
8,8250.SR,Gulf Insurance Group,35.63,0.329,Insurance - Diversified,Financial Services,
9,4144.SR,Raoom trading Company,23.8,0.233,Building Products & Equipment,Industrials,
10,1150.SR,Alinma Bank,23.66,0.232,Banks - Regional,Financial Services,2.6 - Hold
11,4334.SR,Al Maather Reit Fund,6.23,0.069,REIT - Diversified,Real Estate,
12,4345.SR,Alinma Retail REIT Fund,12.89,0.141,REIT - Retail,Real Estate,
13,4344.SR,SEDCO Capital REIT Fund,14.58,0.16,REIT - Diversified,Real Estate,
14,2286.SR,Fourth Milling Company,15.75,0.175,Farm Products,Consumer Defensive,
15,6015.SR,Americana Restaurants International PLC,38.07,0.412,Restaurants,Consumer Cyclical,1.5 - Strong Buy
16,2190.SR,Sustained Infrastructure Holding Company,35.36,0.399,Marine Shipping,Industrials,1.5 - Strong Buy
17,2222.SR,Saudi Arabian Oil Company,14.01,0.177,Oil & Gas Integrated,Energy,2.1 - Buy
18,2382.SR,ADES Holding Company,20.07,0.249,Oil & Gas Drilling,Energy,2.1 - Buy
19,1833.SR,Almawarid Manpower Company,22.67,0.28,Staffing & Employment Services,Industrials,
20,1060.SR,Saudi Awwal Bank,15.93,0.204,Banks - Regional,Financial Services,1.5 - Buy
21,5110.SR,Saudi Energy Company,27.88,0.342,Utilities - Regulated Electric,Utilities,
22,2083.SR,Power and Water Utility Company for Jubail and Yanbu,28.93,0.354,Utilities - Diversified,Utilities,
23,9645.SR,National Signage Industrial Company,23.26,0.301,Electrical Equipment & Parts,Industrials,
24,7010.SR,Saudi Telecom Company,7.94,0.109,Telecom Services,Communication Services,2.1 - Buy
