Date,ACL.JO,ACS.JO,ACT.JO,ADETNC.JO,ADETNQ.JO,ADH.JO,ADR.JO,ADXOPP.JO,ADXWWE.JO,AEG.JO,AEL.JO,AFE.JO,AFEP.JO,AFH.JO,AFT.JO,AGL.JO,AGOGB.JO,AGOGE.JO,ALETNC.JO,ALETNQ.JO,AMC001.JO,AMC002.JO,AMC004.JO,AMC005.JO,AMC006.JO,AMC007.JO,AMC009.JO,AMC011.JO,AMC012.JO,AMC018.JO,AMC021.JO,AME.JO,AMETNC.JO,AMETNQ.JO,AMPSTI.JO,ANG.JO,ANH.JO,ANI.JO,AON.JO,AOO.JO,APACXJ.JO,APETNC.JO,APETNQ.JO,APF.JO,APH.JO,APN.JO,AQUA.JO,ARI.JO,ARL.JO,ART.JO,ASETNC.JO,ASETNQ.JO,ASIETF.JO,ATT.JO,AVETNC.JO,AVETNQ.JO,AVI.JO,AXX.JO,BAC.JO,BAMGCF.JO,BAMHUM.JO,BAT.JO,BBETNC.JO,BBETNQ.JO,BCETNC.JO,BCETNQ.JO,BCF.JO,BEL.JO,BGFMAI.JO,BHETNC.JO,BHETNQ.JO,BHG.JO,BID.JO,BIK.JO,BKETNC.JO,BKETNQ.JO,BLU.JO,BOX.JO,BRETNC.JO,BRETNQ.JO,BRN.JO,BRNDZ.JO,BRT.JO,BTI.JO,BTN.JO,BVT.JO,BWN.JO,BYI.JO,CAA.JO,CARTBL.JO,CAT.JO,CATP.JO,CCC.JO,CCD.JO,CCMGCZ.JO,CFR.JO,CGR.JO,CHP.JO,CKS.JO,CLH.JO,CLPASI.JO,CLS.JO,CMH.JO,CML.JO,CNP.JO,COETNC.JO,COETNQ.JO,COGCAP.JO,COGEM.JO,COGES.JO,COGMAN.JO,COGOE.JO,COOPTI.JO,COUSDI.JO,CPI.JO,CPIP.JO,CPP.JO,CPR.JO,CSB.JO,CSGOVI.JO,CSP500.JO,CSPROP.JO,CSYSB.JO,CTOP50.JO,DCCUS2.JO,DCCUSD.JO,DCP.JO,DIB.JO,DLT.JO,DNB.JO,DNKGLO.JO,DNKOPP.JO,DRD.JO,DSBP.JO,DSY.JO,DTC.JO,EASY3.JO,EASY5.JO,EASY7.JO,EASYAI.JO,EASYBF.JO,EASYGE.JO,EGETNC.JO,EGETNQ.JO,EMH.JO,EMI.JO,EMN.JO,ENX.JO,EPE.JO,EQU.JO,ETF500.JO,ETF5IT.JO,ETFBND.JO,ETFEMA.JO,ETFGGB.JO,ETFGLD.JO,ETFGRE.JO,ETFPLD.JO,ETFPLT.JO,ETFRHO.JO,ETFSAB.JO,ETFSAP.JO,ETFSRI.JO,ETFSWX.JO,ETFT40.JO,ETFUSD.JO,ETFWLD.JO,EUZ.JO,EXX.JO,FAETNC.JO,FAETNQ.JO,FBR.JO,FDETNC.JO,FDETNQ.JO,FFB.JO,FGL.JO,FNB500.JO,FNBEMG.JO,FNBEQF.JO,FNBGEG.JO,FNBGSE.JO,FNBINF.JO,FNBLSP.JO,FNBMID.JO,FNBT40.JO,FNBWDM.JO,FNBWGB.JO,FSR.JO,FTA.JO,FTB.JO,FTH.JO,GCT.JO,GFI.JO,GIMLPC.JO,GLD.JO,GLN.JO,GLOBAL.JO,GLODIV.JO,GLPROP.JO,GML.JO,GND.JO,GNDP.JO,GPL.JO,GRSP.JO,GRT.JO,GSETNC.JO,GSETNQ.JO,HAR.JO,HCI.JO,HDC.JO,HLM.JO,HMN.JO,HUG.JO,HYP.JO,IMP.JO,INCOME.JO,INL.JO,INP.JO,INPP.JO,INPR.JO,IOC.JO,ISA.JO,ISB.JO,ISO.JO,ITE.JO,IVT.JO,IVYAI.JO,J203.L,JBL.JO,JPETNC.JO,JPETNQ.JO,JSE.JO,KAL.JO,KAP.JO,KIO.JO,KP2.JO,KRO.JO,KST.JO,LBR.JO,LEW.JO,LHC.JO,LLETNC.JO,LLETNQ.JO,LSK.JO,LTE.JO,LVETNC.JO,LVETNQ.JO,MCETNC.JO,MCETNQ.JO,MCZ.JO,MDI.JO,MERGE.JO,MHB.JO,MKR.JO,MMP.JO,MNP.JO,MPT.JO,MRF.JO,MRP.JO,MRPWMB.JO,MSETNC.JO,MSETNQ.JO,MSP.JO,MST.JO,MTA.JO,MTH.JO,MTM.JO,MTN.JO,MTU.JO,MWETNC.JO,MWETNQ.JO,N91.JO,NED.JO,NEWEUR.JO,NEWGBP.JO,NEWPLT.JO,NEWSLV.JO,NEWUSD.JO,NFETNC.JO,NFETNQ.JO,NGPLD.JO,NGPLT.JO,NNETNC.JO,NNETNQ.JO,NPH.JO,NPK.JO,NPN.JO,NRP.JO,NTC.JO,NTCP.JO,NTU.JO,NVETNC.JO,NVETNQ.JO,NVS.JO,NWL.JO,NY1.JO,OAO.JO,OAS.JO,OCE.JO,OCT.JO,OILGAS.JO,OMN.JO,OMU.JO,OPA.JO,ORBIGG.JO,ORBT30.JO,ORN.JO,OUT.JO,OYSTER.JO,PAETNC.JO,PAETNQ.JO,PAN.JO,PANDA.JO,PBLNCD.JO,PBT.JO,PCMCOP.JO,PCWGE.JO,PHP.JO,PIK.JO,PIPETF.JO,PMR.JO,PMXINC.JO,PPC.JO,PPE.JO,PPETNC.JO,PPETNQ.JO,PPH.JO,PPR.JO,PREGIP.JO,PROWWF.JO,PRX.JO,PTETNC.JO,PTETNQ.JO,PWMEXI.JO,PWR.JO,QFH.JO,QLT.JO,RBO.JO,RBX.JO,RCL.JO,RDF.JO,REM.JO,RES.JO,RFFI.JO,RHB.JO,RLO.JO,RMH.JO,RNG.JO,RNI.JO,RWAGP.JO,RWDVF.JO,RWGPR.JO,RWINC.JO,S32.JO,SAAGG.JO,SAALG.JO,SAC.JO,SAP.JO,SBCOP.JO,SBK.JO,SBOIL.JO,SBP.JO,SBPP.JO,SBTGFP.JO,SCD.JO,SDL.JO,SDO.JO,SEA.JO,SEB.JO,SEP.JO,SHC.JO,SHG.JO,SHP.JO,SKA.JO,SLG.JO,SLM.JO,SNT.JO,SNV.JO,SOH.JO,SOL.JO,SOLBE1.JO,SPG.JO,SPP.JO,SQRL.JO,SRE.JO,SRETNC.JO,SRI.JO,SSK.JO,SSS.JO,SSU.JO,SSW.JO,STX40.JO,STX500.JO,STXACW.JO,STXCAP.JO,STXCHN.JO,STXDIV.JO,STXEME.JO,STXEMG.JO,STXESG.JO,STXEUR.JO,STXFIN.JO,STXGBD.JO,STXGLB.JO,STXGLP.JO,STXGOV.JO,STXGVI.JO,STXIFR.JO,STXILB.JO,STXINC.JO,STXIND.JO,STXJGE.JO,STXJPN.JO,STXLVL.JO,STXMMT.JO,STXNAM.JO,STXNDA.JO,STXNDQ.JO,STXPRO.JO,STXQUA.JO,STXRAF.JO,STXRES.JO,STXSAI.JO,STXSHA.JO,STXTRA.JO,STXVEQ.JO,STXWDM.JO,STXWIS.JO,SUI.JO,SUR.JO,SYFANG.JO,SYG.JO,SYG4IR.JO,SYG500.JO,SYGCN.JO,SYGEMF.JO,SYGESG.JO,SYGEU.JO,SYGH.JO,SYGJP.JO,SYGP.JO,SYGT40.JO,SYGUK.JO,SYGUS.JO,SYGWD.JO,SZK.JO,TBIGTF.JO,TBIMAI.JO,TBS.JO,TEX.JO,TFG.JO,TGA.JO,THA.JO,TKG.JO,TMT.JO,TPC.JO,TRL.JO,TRU.JO,TSETNC.JO,TSETNQ.JO,TSG.JO,UA8GRO.JO,UABSPA.JO,UBFAMU.JO,UBRAND.JO,UBROBO.JO,UBSSXF.JO,UBSUKX.JO,UCIGEP.JO,UEFPCA.JO,UEFPCL.JO,UMMIEA.JO,UMMIES.JO,UNICRN.JO,UNPWGP.JO,UOMWPA.JO,UPCHPA.JO,USPACE.JO,UUQUAD.JO,VAL.JO,VKE.JO,VOD.JO,VSETNC.JO,VSETNQ.JO,VUN.JO,VUNGLE.JO,WBC.JO,WBO.JO,WEZ.JO,WHL.JO,WNXT40.JO,WTOP20.JO,WVR.JO,WWETNC.JO,WWETNQ.JO,XII.JO,YRK.JO,YYLBEE.JO,ZED.JO,ZZD.JO,27FGMF.JO,27FGSE.JO,27FLCE.JO,27FSMF.JO,4SI.JO,91DINC.JO,91GINC.JO,AAGEET.JO,AASAET.JO,ABAM1.JO,ABAM2.JO,ABG.JO
2023-09-29,157.0,546.2061157226562,382.7239990234375,,,2106.005126953125,488.500244140625,,,685.0,798.5510864257812,11292.330078125,12.412278175354004,623.10302734375,5272.72705078125,51603.28125,,,,,,,,,,,99249.0,,,,,3190.812255859375,,,,30470.19921875,104779.4609375,443.6146240234375,1500.0,16.25,9.215285301208496,,,76.0,1259.7335205078125,17175.087890625,,16968.546875,13683.384765625,1547.69287109375,,,,848.4440307617188,,,7447.9560546875,115.89563751220703,,,,263.0,,,,,988.5166625976562,1765.717041015625,,,,54076.96484375,42191.2890625,0.17000000178813934,,,296.8267822265625,,,,503.74273681640625,,544.1490478515625,59227.07421875,747.5848388671875,27246.2421875,230.0,11449.205078125,884.5448608398438,,1081.875732421875,70.08466339111328,,,,231916.390625,416.7790832519531,69.95243072509766,2996.537109375,429.6251220703125,,25845.7734375,2851.961669921875,3087.15673828125,,,,,,,,,,,171528.046875,9974.58984375,5.415423393249512,3.6500000953674316,15518.4013671875,7.525795936584473,8128.85009765625,1007.2952270507812,,2930.233642578125,,,2370.959716796875,396.8199462890625,32.0,229.67251586914062,,,1564.660400390625,9272.458984375,13710.416015625,3590.372802734375,,,,,,,,,324.9934997558594,804.4580078125,318.9368591308594,777.9383544921875,410.0,1255.6085205078125,42004.8359375,1975.5889892578125,9707.3076171875,2837.9208984375,8287.0234375,34294.0,2002.221923828125,22963.0,16240.0,73515.0,,2914.97119140625,14544.8876953125,1219.9434814453125,6689.623046875,1936.28466796875,7616.82421875,562.8186645507812,17190.423828125,,,6484.66845703125,,,1284.433837890625,39.916961669921875,,,7712.060546875,,,2244.08447265625,,743.6181640625,6744.56494140625,,708.89111328125,6374.5869140625,1435.460693359375,319.1484069824219,527.629638671875,,20509.298828125,,32820.67578125,10812.494140625,1256.36328125,1814.889404296875,4128.10693359375,309.83453369140625,1151.3997802734375,8873.978515625,339.7742004394531,950.0,1052.0035400390625,,,7098.0751953125,19939.1484375,15384.236328125,305.0,5744.82666015625,227.0,3186.749267578125,9877.029296875,1014.2335815429688,10871.083984375,11099.19921875,11501.296875,8685.6884765625,155.0,123.6351318359375,105.9740219116211,,1060.6312255859375,2597.364501953125,,,176.0,,,9208.1513671875,3445.5234375,240.0,45348.54296875,15.0,42198.0234375,1308.9775390625,349.49383544921875,3913.72119140625,2012.240234375,,,7600.0,539.9450073242188,,,,,209.0,1304.5439453125,,437.0537109375,17850.0,2847.982666015625,34730.94921875,2907.12060546875,121.32969665527344,13877.064453125,,,,1561.0,1548.95263671875,1490.0,9385.3076171875,1972.6260986328125,11274.1298828125,112.0,,,3947.326171875,20184.078125,2005.552001953125,2309.00390625,,,1900.1080322265625,,,23441.572265625,16723.7578125,,,11473.1591796875,21200.0,60504.83984375,10408.7880859375,1347.92626953125,8174.3330078125,420.0,,,413.5545959472656,2446.41162109375,3896.01953125,11.928899765014648,1891.1337890625,7536.58935546875,900.8866577148438,,5619.38232421875,1203.39111328125,,,,24.0,4270.9716796875,,,,334.698486328125,,,690.3864135742188,,,,3700.0,,6045.9208984375,,304.4302673339844,85.0,,,1723.908447265625,341.0475769042969,,,55799.7578125,,,,,499.6968994140625,1982.5286865234375,,2821.28564453125,879.004638671875,353.98211669921875,14839.4716796875,3902.166748046875,,219.77267456054688,6005.85009765625,48.733009338378906,72.0,41572.0,9.786340713500977,9.244697570800781,,,4161.48388671875,,10452.0,204.45542907714844,4399.12158203125,,18336.572265625,,6398.8818359375,8874.45703125,,199396.515625,675.0,515.7053833007812,748.1544799804688,200.75,93.0,24.800182342529297,979.3864135742188,23964.271484375,,0.5,6556.07763671875,30137.158203125,840.0,100.88665008544922,26098.287109375,15997.216796875,3288.0322265625,11628.0,,1985.739501953125,,,134.0,1227.253173828125,494.60186767578125,2921.0888671875,6740.28125,8396.2001953125,,31.511852264404297,3858.610107421875,263.7013244628906,4663.77001953125,5519.0,6591.02978515625,,1635.3797607421875,3921.767822265625,,,776.868408203125,53.89814376831055,5238.71728515625,723.1564331054688,,9765.6728515625,,,9.333013534545898,1171.4361572265625,14.818243980407715,7237.6298828125,15693.0712890625,846.6439819335938,772.8989868164062,2164.880126953125,6025.78173828125,1232.140380859375,3.298691987991333,23.788984298706055,11.215169906616211,7620.58984375,,4170.560546875,2693.85791015625,1017.0,1795.1551513671875,3986.43359375,8106.79248046875,2995.879638671875,1532.2833251953125,4497.6103515625,8346.11328125,2969.90673828125,1795.873779296875,4245.47705078125,6692.5068359375,17567.4921875,7650.69189453125,5410.6494140625,4148.5224609375,,,15307.5966796875,264.2221984863281,9879.6357421875,17318.392578125,1727.89599609375,2321.826416015625,297.0633544921875,3094.16943359375,208.8726806640625,7632.88330078125,,,1234.6685791015625,,,,,,,,,,,,,,,,,,,70465.0390625,1307.259521484375,10558.9599609375,,,279.1736755371094,,,12456.4765625,66.0,6774.85595703125,9.219704627990723,8.783037185668945,19.97016143798828,,,0.009999999776482582,162.0,2794.65673828125,165.26890563964844,1156.9205322265625,,,,,44.968711853027344,,,,,,,17440.26171875
2023-10-31,132.0,505.2656555175781,358.74127197265625,,,2119.991943359375,442.6409912109375,,,590.0,852.4532470703125,11033.5048828125,12.412278175354004,638.0574951171875,5189.7626953125,46820.87890625,,,,,,,,,,,99339.0,,,,,3041.242919921875,,,,34447.96875,106046.421875,423.6768798828125,1800.0,16.25,8.791802406311035,,,75.0,1243.7369384765625,16922.19140625,,15332.7666015625,14587.287109375,1438.85498046875,,,,803.8038330078125,,,6949.0146484375,106.1565170288086,,,,243.0,,,,,1033.716796875,1978.562255859375,,,,53013.39453125,39507.43359375,0.1599999964237213,,,323.8110656738281,,,,498.7552185058594,,449.2973937988281,55720.34375,737.6170043945312,26350.287109375,220.0,11487.1640625,915.5289306640625,,1084.866943359375,70.08466339111328,,,,221720.734375,424.7748718261719,66.95447540283203,2846.710205078125,418.63470458984375,,27443.583984375,2607.650146484375,3010.4267578125,,,,,,,,,,,165402.15625,9775.099609375,4.7587738037109375,4.039999961853027,15378.587890625,7.6596856117248535,7793.82177734375,958.4924926757812,,2795.222900390625,,,2439.929443359375,385.8525695800781,24.0,205.70668029785156,,,1640.595458984375,9670.2783203125,12853.796875,3520.463134765625,,,,,,,,,353.9039611816406,825.3919677734375,331.8936462402344,837.0223388671875,430.0,1142.5386962890625,40562.82421875,1938.3070068359375,9634.0400390625,2688.60498046875,8004.97607421875,36427.0,1871.9451904296875,21351.0,16705.0,79298.0,,2812.903564453125,13679.1171875,1167.1224365234375,6358.33837890625,1876.837158203125,7297.0751953125,838.2405395507812,18644.3984375,,,5731.98291015625,,,1306.39013671875,28.939796447753906,,,7462.05029296875,,,2199.933349609375,,708.6031494140625,6412.58544921875,,696.6375122070312,6134.85546875,1445.4364013671875,312.16705322265625,567.450927734375,,24820.73828125,,34700.75390625,9849.5400390625,1203.302978515625,1739.4564208984375,3892.62255859375,317.83026123046875,1083.4940185546875,8772.275390625,339.7742004394531,950.0,966.872802734375,,,8633.0087890625,19496.279296875,15414.1865234375,290.0,4985.51025390625,185.0,2828.67626953125,7760.95166015625,1002.6189575195312,10177.419921875,10311.4619140625,10970.4677734375,8686.6865234375,140.0,124.6321792602539,97.97598266601562,,1146.3587646484375,2698.26220703125,,,122.0,,,8830.96484375,3330.6728515625,223.0,49240.35546875,14.0,46497.8203125,1444.871337890625,307.5545959472656,3868.850341796875,1844.38818359375,,,8530.0,530.9458618164062,,,,,175.0,1264.5885009765625,,404.1250305175781,18400.0,2574.1767578125,33065.4921875,2798.228271484375,116.3571548461914,13453.6103515625,,,,1520.0,1409.7852783203125,1476.0,9239.796875,2094.170166015625,9089.236328125,110.0,,,3633.8564453125,20008.501953125,1984.1590576171875,2267.613037109375,,,1881.155029296875,,,20459.1640625,16866.931640625,,,11240.3388671875,17600.0,58180.6796875,10064.8271484375,1289.0169677734375,8712.6435546875,484.0,,,389.63818359375,2606.17724609375,3634.55517578125,10.224800109863281,1891.1337890625,6907.70751953125,881.9521484375,,5771.9853515625,1182.74365234375,,,,22.0,4028.09375,,,,362.67327880859375,,,724.7150268554688,,,4999.56103515625,2500.0,,6015.94140625,,278.47882080078125,70.0,,,1698.92431640625,320.5315856933594,,,52528.7734375,,,,,430.73870849609375,1813.7392578125,,2438.78955078125,819.0724487304688,348.9964599609375,14397.7861328125,3706.609375,,214.77783203125,5859.0986328125,49.72756576538086,56.0,38725.06640625,9.49753475189209,8.922821998596191,,,4012.57373046875,,10199.0,190.60394287109375,3916.656494140625,,18253.734375,,6597.81591796875,8252.177734375,,199396.8125,500.0,460.7367858886719,758.1298828125,204.0,100.0,22.15171241760254,947.4390258789062,23863.3515625,,0.5,6526.1279296875,27273.98828125,740.0,116.86869049072266,23614.640625,16997.04296875,3159.59619140625,11250.0,,1823.8421630859375,,,127.0,1197.3203125,465.625244140625,2388.4375,6408.77490234375,8176.35009765625,,30.923269271850586,3674.360107421875,246.6508331298828,4488.25,5233.0,6345.64990234375,,1578.3162841796875,3854.975830078125,,,757.3070068359375,55.46394348144531,5130.1640625,713.2009887695312,,9253.359375,,,9.26257038116455,1143.680908203125,15.557390213012695,6981.64013671875,15290.8759765625,806.7822875976562,754.83740234375,2066.597412109375,5714.0078125,1179.4935302734375,3.1345279216766357,24.515092849731445,11.026962280273438,7361.97021484375,,3738.847900390625,2693.85791015625,989.0,1795.1551513671875,3697.5537109375,7895.54736328125,2875.2373046875,1477.001953125,4358.2509765625,8065.291015625,2834.249755859375,1705.50830078125,4063.429443359375,6451.04443359375,16602.626953125,7431.62353515625,5226.5478515625,3998.576171875,,,17196.98046875,254.61134338378906,10061.4638671875,16589.359375,1398.2972412109375,2182.956298828125,272.22528076171875,3142.078857421875,204.8751220703125,7533.1064453125,,,1203.7269287109375,,,,,,,,,,,,,,,,,,,62284.24609375,1240.3995361328125,10129.6533203125,,,279.1736755371094,,,11812.021484375,75.0,6930.66845703125,8.953042984008789,8.461068153381348,22.855850219726562,,,0.019999999552965164,175.0,2694.847412109375,174.22926330566406,1072.146240234375,,,,,43.96940612792969,,,,,,,16950.462890625
2023-11-30,122.0,649.0565795898438,329.7621765136719,,,2447.68115234375,447.625732421875,,,728.0,978.462890625,10324.9853515625,12.412278175354004,573.254638671875,5643.96435546875,50261.3046875,,,,,,,,,,,98871.0,,,,,3488.953857421875,,,,36426.8515625,118171.1328125,398.75469970703125,1800.0,16.25,9.51504135131836,,,70.0,1259.7335205078125,18505.552734375,9.869619369506836,18142.142578125,15965.61328125,1503.75830078125,,,,863.7146606445312,,,7819.513671875,108.10433959960938,,,,186.0,,,,,948.822265625,2348.293701171875,,,,57386.4921875,41294.0078125,0.1599999964237213,,,374.78131103515625,,,,458.85479736328125,,488.23651123046875,60010.4453125,738.61376953125,23549.55078125,225.0,13407.6943359375,969.5010986328125,,1103.8125,70.08466339111328,,,,235217.28125,389.79339599609375,59.959224700927734,3342.1376953125,466.59283447265625,,29492.060546875,2673.465087890625,3145.9501953125,,,,,,,,,,,195968.109375,9813.0029296875,5.793961524963379,3.9000000953674316,16777.732421875,7.9964599609375,8599.435546875,1040.07666015625,,3021.7412109375,,,2840.98291015625,390.8377685546875,27.0,207.70382690429688,,,1759.49365234375,9472.8642578125,13299.6513671875,3495.495361328125,,,,,,,,,395.7743225097656,824.3950805664062,314.95013427734375,837.904296875,485.0,1172.4742431640625,44737.265625,2216.827880859375,10084.7568359375,2925.637939453125,8473.18359375,37436.0,2091.77685546875,19860.0,16989.0,80740.0,,3059.74658203125,15283.658203125,1266.7061767578125,6930.6240234375,1906.759765625,8070.52197265625,946.0143432617188,18723.181640625,,,5890.70654296875,,,1366.270263671875,29.937721252441406,,,8192.08203125,,,2305.708251953125,,745.5263061523438,6992.4208984375,,735.7687377929688,6732.96337890625,1444.438720703125,344.0818786621094,627.1824340820312,,28450.892578125,,35737.890625,10659.5009765625,1325.4241943359375,1885.8350830078125,4318.544921875,309.83453369140625,1033.5634765625,8963.7138671875,297.8020935058594,899.0,1057.6729736328125,,,11687.5966796875,19294.33984375,16292.7158203125,290.0,6394.24169921875,210.0,2558.083251953125,7656.046875,1025.4969482421875,12021.8701171875,12207.4228515625,10976.375,8382.8818359375,142.0,130.6145477294922,98.0,,1146.3587646484375,2696.26416015625,,,128.0,,,8815.99609375,3645.263916015625,243.0,59057.11328125,12.0,49994.65625,1513.958740234375,309.5516662597656,4138.07421875,1797.707275390625,,,5887.0,595.9392700195312,,,,,199.0,1248.6063232421875,,482.9543151855469,17100.0,2696.090087890625,36542.4296875,2850.177001953125,120.33518981933594,15331.1845703125,,,,1699.0,1308.8006591796875,1669.0,9295.7236328125,2008.2860107421875,10284.0849609375,100.0,,,4083.096435546875,21328.306640625,2072.416015625,2381.666015625,,,1910.0150146484375,,,18650.89453125,16987.021484375,,,12156.6328125,16400.0,69463.9296875,11598.6474609375,1379.8773193359375,8572.802734375,698.0,,,433.4849548339844,2895.75244140625,4099.6025390625,6.816500186920166,1891.650146484375,6785.92431640625,887.6506958007812,,5940.546875,1147.810302734375,,,,18.0,4145.9794921875,,,,409.804931640625,,,677.036376953125,,,2473.783203125,2380.0,,6269.77001953125,,364.3182067871094,59.0,,,1860.82177734375,313.6700439453125,,,62699.8125,,,,,434.7362976074219,2257.186279296875,,2629.155029296875,859.0272216796875,346.2308044433594,14512.361328125,3991.96337890625,,309.6796875,6164.58203125,53.70576858520508,64.0,44247.93359375,10.514845848083496,10.110536575317383,5.15674352645874,,3846.67431640625,,10835.0,207.56869506835938,3946.623291015625,,19983.388671875,,7097.65087890625,8376.8330078125,,199396.8125,500.0,499.7145080566406,767.48974609375,200.0,88.0,26.868425369262695,968.4044799804688,25693.84765625,,0.5,6779.705078125,28936.853515625,745.0,103.88328552246094,20947.01953125,15097.3740234375,2890.165283203125,11650.0,,2148.635986328125,,,130.0,1227.8282470703125,514.5858154296875,2078.64013671875,6988.673828125,9015.4296875,,33.51131057739258,3806.6201171875,258.2283935546875,4877.9501953125,5716.0,7049.4501953125,,1713.8995361328125,4050.994384765625,,,793.4835815429688,58.065181732177734,5579.18896484375,750.3530883789062,,10182.19140625,,,9.770487785339355,1239.6270751953125,16.083826065063477,7523.0,17119.296875,872.7260131835938,811.9638671875,2206.16650390625,6047.77392578125,1286.65625,3.3570969104766846,24.653858184814453,11.71506118774414,8138.81982421875,,3978.13427734375,2793.63037109375,1128.0,1846.017822265625,4215.955078125,8703.013671875,2998.432373046875,1618.875732421875,4805.3779296875,9087.03515625,3025.974853515625,1868.975341796875,4506.5419921875,6912.2001953125,17907.443359375,8209.51953125,5773.7353515625,3698.68310546875,,,18250.408203125,249.71493530273438,10926.64453125,14397.2548828125,1498.175537109375,2526.634765625,224.53619384765625,3094.16943359375,234.85684204101562,7641.8623046875,,,1218.6986083984375,,,,,,,,,,,,,,,,,,,79615.046875,1323.2259521484375,9687.2060546875,,,279.26409912109375,,,12589.3642578125,48.0,6741.8955078125,9.665437698364258,9.250382423400879,21.957191467285156,,,0.019999999552965164,174.0,2994.275146484375,182.297607421875,1301.53564453125,,,,,41.97079849243164,,,,,,,17333.5234375
