Date,ALVO.IC,AMRQ.IC,ARION.IC,ASAR.IC,BERA.IC,BRIM.IC,EIK.IC,EIM.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICEAIR.IC,ICESEA.IC,ISB.IC,ISF.IC,JBTM.IC,KALD.IC,KVIKA.IC,NOVA.IC,OCS.IC,REITIR.IC,SJOVA.IC,SKAGI.IC,SKEL.IC,SVN.IC,SYN.IC,^XIPI
2023-09-29,1285.0,,114.00090789794922,8.85008716583252,12.300000190734863,68.39271545410156,10.56124210357666,440.5564270019531,174.54849243164062,62.012916564941406,136.07838439941406,22.760099411010742,1.4500000476837158,5.75,94.27046966552734,,,15.797812461853027,9.546228408813477,3.8529152870178223,,71.69985961914062,28.27116584777832,,9.812405586242676,104.1792221069336,45.29999923706055,
2023-10-31,1225.0,,105.73997497558594,8.374277114868164,12.600000381469727,63.56062316894531,10.071057319641113,422.57452392578125,177.4415740966797,63.16987609863281,124.10739135742188,21.88095474243164,1.3700000047683716,6.25,87.08393859863281,,,15.316171646118164,8.905542373657227,3.7570717334747314,,70.10652923583984,29.318246841430664,,8.755685806274414,93.03446197509766,44.20000076293945,
2023-11-30,1350.0,,111.52263641357422,8.469438552856445,13.050000190734863,72.29557037353516,10.249306678771973,406.3908386230469,171.65542602539062,61.550132751464844,122.15294647216797,22.271684646606445,1.2699999809265137,5.599999904632568,90.04309844970703,,,15.759282112121582,9.28995418548584,3.737902879714966,,73.29319763183594,30.103553771972656,,9.133085250854492,95.74797821044922,42.599998474121094,
2023-12-29,1585.0,,125.56621551513672,9.468642234802246,15.25,77.68521118164062,10.427556037902832,435.161865234375,197.69305419921875,74.04527282714844,136.81129455566406,23.443880081176758,1.3350000381469727,5.699999809265137,93.84774017333984,151.4885711669922,,16.895954132080078,11.115912437438965,3.8433310985565186,,76.93508911132812,34.90267562866211,,11.774887084960938,100.78733825683594,47.5,
2024-01-31,2180.0,,127.63145446777344,10.182357788085938,17.350000381469727,77.68521118164062,11.318799018859863,415.38177490234375,195.7643280029297,76.82197570800781,147.56076049804688,26.374366760253906,1.4800000190734863,5.5,98.49784851074219,148.64816284179688,,17.791805267333984,11.179980278015137,4.1596150398254395,,82.85316467285156,38.916481018066406,,13.812847137451172,100.30278015136719,48.0,
2024-02-29,2170.0,,126.80535888671875,9.992033958435059,17.649999618530273,73.96820831298828,9.803685188293457,346.1514587402344,190.9425506591797,70.34300994873047,141.6974334716797,24.61607551574707,1.1699999570846558,5.75,90.04309844970703,146.18646240234375,,16.62623405456543,9.930641174316406,3.9870963096618652,,74.65890502929688,38.305686950683594,,13.133526802062988,91.6777114868164,44.0,
2024-03-28,1750.0,,123.5623779296875,9.799844741821289,17.700000762939453,73.40105438232422,9.625435829162598,343.9459533691406,184.54940795898438,67.7977066040039,139.84146118164062,22.467052459716797,1.065000057220459,5.849999904632568,91.54466247558594,147.7013702392578,,16.0867977142334,9.321990013122559,3.8337464332580566,,75.14928436279297,36.12778854370117,,12.511458396911621,90.22404479980469,41.599998474121094,
2024-04-30,2080.0,,125.31503295898438,9.654301643371582,18.399999618530273,73.97301483154297,8.64506721496582,314.4104309082031,186.99700927734375,68.95466613769531,138.85665893554688,21.88095474243164,1.0099999904632568,5.599999904632568,92.89090728759766,147.85238647460938,,14.545547485351562,8.969611167907715,3.8337464332580566,,70.0148696899414,34.66066360473633,16.32159423828125,12.974843978881836,88.67347717285156,45.599998474121094,
2024-05-31,1885.0,,116.5517578125,9.169160842895508,18.0,66.15628051757812,8.600504875183105,310.5993957519531,188.95509338378906,73.95477294921875,121.1302719116211,22.662418365478516,0.9459999799728394,5.25,87.05717468261719,145.7346954345703,,15.508829116821289,9.802504539489746,3.6995651721954346,1610.0,73.74899291992188,33.560325622558594,15.344252586364746,12.048069953918457,81.88970947265625,35.599998474121094,
2024-06-28,1630.0,,110.8556137084961,9.04787540435791,17.700000762939453,67.30018615722656,9.090688705444336,316.3159484863281,199.72454833984375,77.77178955078125,118.1758804321289,24.127660751342773,0.9340000152587891,5.300000190734863,86.15967559814453,150.35508728027344,,15.990469932556152,9.129782676696777,3.5270469188690186,1670.0,77.94988250732422,33.92710876464844,14.562379837036133,11.97083854675293,89.64258575439453,32.599998474121094,
2024-07-31,1665.0,,116.5517578125,9.120647430419922,17.600000381469727,68.25344848632812,8.823315620422363,333.4656066894531,199.72454833984375,80.63455963134766,117.19107818603516,24.61607551574707,0.8640000224113464,5.150000095367432,92.4421615600586,145.92723083496094,,16.13496208190918,9.834538459777832,3.6228902339935303,1610.0,80.28370666503906,33.92710876464844,,11.739145278930664,89.15802764892578,33.79999923706055,
2024-08-30,1625.0,,122.24788665771484,9.702816009521484,17.600000381469727,71.87583923339844,9.803685188293457,333.4656066894531,197.76646423339844,76.34040832519531,120.14547729492188,28.328020095825195,0.8740000128746033,4.960000038146973,91.54466247558594,149.1999969482422,,18.206016540527344,10.507259368896484,3.6037216186523438,1670.0,84.48460388183594,34.47727584838867,14.366911888122559,12.511458396911621,92.54991149902344,30.600000381469727,
2024-09-30,1610.0,,127.50586700439453,10.090928077697754,17.5,74.54496765136719,10.784052848815918,337.2766418457031,213.43113708496094,82.0659408569336,116.20628356933594,30.08631134033203,1.184999942779541,5.099999904632568,99.62213134765625,146.5047607421875,,20.51789093017578,11.340152740478516,3.5270469188690186,1655.0,87.75196075439453,37.59490203857422,17.103466033935547,13.901619911193848,94.97268676757812,31.799999237060547,
2024-10-31,1800.0,,138.0218048095703,11.352294921875,17.200000762939453,70.9225845336914,12.210043907165527,342.9931945800781,242.80239868164062,90.65423583984375,117.19107818603516,32.626068115234375,1.100000023841858,4.800000190734863,113.08457946777344,146.31224060058594,,22.059141159057617,12.141010284423828,3.6612277030944824,2360.0,91.01932525634766,41.8128662109375,18.667211532592773,13.438231468200684,89.15802764892578,30.200000762939453,
2024-11-29,1620.0,,137.14547729492188,12.710689544677734,17.799999237060547,70.35062408447266,12.4774169921875,371.57598876953125,276.0898132324219,95.4255142211914,110.29749298095703,34.38435745239258,1.2300000190734863,4.599999904632568,111.73833465576172,148.429931640625,,23.50406265258789,12.173044204711914,3.8912527561187744,2220.0,105.48905944824219,41.30854415893555,18.960412979125977,12.588688850402832,90.6116943359375,33.0,
2024-12-30,1775.0,,146.34693908691406,13.098801612854004,18.700000762939453,70.54127502441406,12.566540718078613,365.85943603515625,278.04791259765625,101.15104675292969,100.94189453125,38.09630584716797,1.4600000381469727,5.050000190734863,111.28958892822266,144.00205993652344,,26.008594512939453,13.134074211120605,4.1596150398254395,2380.0,109.22319030761719,44.013545989990234,21.110565185546875,14.982855796813965,90.6116943359375,32.20000076293945,
2025-01-31,1800.0,,153.35757446289062,13.195830345153809,18.600000381469727,72.25714874267578,12.031793594360352,424.93048095703125,289.7964172363281,99.24253845214844,108.8202896118164,37.11948013305664,1.3899999856948853,5.099999904632568,110.39208984375,144.57960510253906,18699.220703125,24.948984146118164,13.518486022949219,4.1596150398254395,3260.0,105.48905944824219,47.681339263916016,19.937755584716797,15.600706100463867,91.58080291748047,30.200000762939453,
2025-02-28,1585.0,,145.47061157226562,13.680971145629883,18.450000762939453,69.7786636352539,11.407923698425293,434.45806884765625,293.71258544921875,97.33402252197266,108.32788848876953,36.924110412597656,1.274999976158142,5.275000095367432,107.6996078491211,138.61160278320312,18199.23828125,24.948984146118164,12.877799987792969,4.207536697387695,2760.0,103.15523529052734,46.993629455566406,19.546817779541016,14.905624389648438,88.18891906738281,21.799999237060547,
2025-03-31,1265.0,,143.8180694580078,14.070667266845703,18.200000762939453,65.06815338134766,10.873177528381348,414.8046875,289.5516662597656,95.4255142211914,106.46802520751953,35.38850402832031,1.0750000476837158,4.940000057220459,110.39208984375,130.71844482421875,15999.4208984375,23.793048858642578,12.981668472290039,4.419485569000244,2480.0,97.08727264404297,44.712249755859375,,14.427952766418457,82.1193618774414,30.799999237060547,
2025-04-30,990.0,,145.232666015625,13.578685760498047,18.200000762939453,58.44444274902344,11.608641624450684,355.8277282714844,293.71258544921875,102.10529327392578,104.47796630859375,35.38850402832031,1.0149999856948853,4.559999942779541,101.82898712158203,123.71957397460938,13099.525390625,23.889375686645508,11.145033836364746,4.390217304229736,2200.0,101.50819396972656,42.3692512512207,18.080806732177734,13.752960205078125,78.67723083496094,25.5,
2025-05-30,1450.0,,166.45172119140625,13.185099601745605,19.299999237060547,63.80185317993164,13.280285835266113,379.41851806640625,279.0269470214844,99.5373764038086,114.42825317382812,37.76091766357422,1.0475000143051147,5.199999809265137,111.77507019042969,124.70147705078125,14499.5732421875,24.371015548706055,14.67220687866211,4.585338115692139,2500.0,112.46916961669922,48.8125,19.058147430419922,14.849822998046875,78.923095703125,24.200000762939453,
2025-06-30,1110.0,,156.54949951171875,12.693119049072266,18.5,56.49629592895508,12.723071098327637,367.62310791015625,279.0269470214844,102.4649429321289,114.42825317382812,35.586204528808594,1.1200000047683716,4.920000076293945,109.88057708740234,116.84626770019531,14499.5732421875,20.999530792236328,14.567852973937988,4.643874645233154,2330.0,106.75039672851562,44.907501220703125,17.934206008911133,14.259204864501953,69.33431243896484,24.799999237060547,
