Date,ARC1T.TL,CPA1T.TL,EFCUPFFT.TL,EFT1T.TL,HAE1T.TL,HPR1T.TL,INF1T.TL,LHV1T.TL,LVN1T.TL,MRK1T.TL,NCN1T.TL,NHCBHFFT.TL,PKG1T.TL,PRF1T.TL,SFG1T.TL,SKN1T.TL,TAL1T.TL,TKM1T.TL,TPD1T.TL,TSM1T.TL,TVE1T.TL,^OMXT
2023-09-29,1.535757064819336,2.306217908859253,,15.893600463867188,4.520256996154785,7.319479465484619,,3.285263776779175,,12.278806686401367,0.753000020980835,0.335999995470047,0.6959999799728394,0.22200000286102295,1.121999979019165,1.0,0.554600715637207,8.024005889892578,0.8379999995231628,1.004103422164917,9.46677303314209,
2023-10-31,1.521795392036438,2.2835192680358887,,15.851442337036133,4.5564188957214355,6.970932483673096,,3.1645805835723877,,12.278806686401367,0.7099999785423279,0.37389999628067017,0.8240000009536743,0.21699999272823334,1.0540000200271606,1.0499999523162842,0.5158340930938721,8.155010223388672,0.8199999928474426,0.9570886492729187,9.293864250183105,
2023-11-30,1.563679814338684,2.151864528656006,,15.851442337036133,4.511216163635254,6.567352771759033,,3.088594913482666,,12.696453094482422,0.6200000047683716,0.33869999647140503,0.9900000095367432,0.20000000298023224,1.1119999885559082,1.059999942779541,0.5379863977432251,8.10588264465332,0.7860000133514404,0.9402974843978882,9.293864250183105,
2023-12-29,1.6060112714767456,2.1427853107452393,,15.935758590698242,4.49313497543335,6.420596122741699,21.99770164489746,3.1243526935577393,,12.77998161315918,0.621999979019165,0.3149999976158142,1.0549999475479126,0.17900000512599945,1.1299999952316284,0.8999999761581421,0.5458980202674866,8.10588264465332,0.6100000143051147,0.9470139741897583,9.164183616638184,
2024-01-31,1.5636239051818848,2.188183546066284,,16.10439109802246,4.438891887664795,5.9803266525268555,21.98079490661621,3.1690502166748047,,13.180922508239746,0.5860000252723694,0.32249999046325684,0.9599999785423279,0.16599999368190765,1.1299999952316284,0.8100000023841858,0.5387775897979736,8.204137802124023,0.621999979019165,0.9470139741897583,9.077728271484375,
2024-02-29,1.5636239051818848,2.1427853107452393,,16.27302360534668,4.411770820617676,6.549007892608643,28.44822120666504,3.1243526935577393,,13.381392478942871,0.5270000100135803,0.3199999928474426,0.9300000071525574,0.15700000524520874,1.156000018119812,0.8199999928474426,0.5538095831871033,8.48252010345459,0.6480000019073486,0.9621258974075317,9.120955467224121,
2024-03-28,1.5068200826644897,2.1427853107452393,,16.230867385864258,4.32588529586792,5.92529296875,28.025514602661133,3.1645805835723877,,13.782333374023438,0.5199999809265137,0.3109999895095825,0.9700000286102295,0.13699999451637268,1.0880000591278076,0.7900000214576721,0.5498538017272949,8.744528770446777,0.6800000071525574,0.9621258974075317,8.90481948852539,
2024-04-30,1.4783895015716553,2.188183546066284,,16.923477172851562,4.357527732849121,5.943637847900391,32.04123306274414,3.225250720977783,,14.433862686157227,0.5099999904632568,0.30000001192092896,1.0299999713897705,0.10999999940395355,1.1100000143051147,0.9279999732971191,0.5727972984313965,8.542596817016602,0.7059999704360962,1.0124989748001099,9.120955467224121,
2024-05-31,1.4404821395874023,2.044062614440918,,16.745803833007812,4.526706695556641,5.906948566436768,34.6949577331543,3.267016649246216,,14.818096160888672,0.5170000195503235,0.2919999957084656,1.1100000143051147,0.10400000214576721,1.0850000381469727,1.0299999713897705,0.5909939408302307,8.498698234558105,0.6200000047683716,0.990157961845398,9.293864250183105,
2024-06-28,1.416725993156433,1.9875447750091553,,16.745803833007812,4.396842002868652,5.6134352684021,34.519287109375,3.1649224758148193,,14.83554744720459,0.5130000114440918,0.26980000734329224,1.0099999904632568,0.10000000149011612,1.0700000524520874,0.9700000286102295,0.5553919076919556,8.340664863586426,0.6100000143051147,0.9740723371505737,9.30294132232666,
