Date,4IG.BD,ADID.BD,AKKO.BD,ALLZ.BD,ALTEO.BD,AMIXA.BD,ANY.BD,APPEN.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CHOME.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DELTA.BD,DHGS.BD,DMKER.BD,DTEL.BD,ENEFI.BD,EON.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FORRB.BD,FUTUR.BD,GLIA.BD,GLSTR.BD,GRNT.BD,GSP.BD,GWPH.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,MULTI.BD,NAP.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,O3PNR.BD,OPUS.BD,ORM.BD,OTP.BD,PERGY.BD,PLYDR.BD,RABA.BD,RICHT.BD,SAP.BD,SIEME.BD,SPPC.BD,STRT.BD,SUND.BD,THYSS.BD,UBM.BD,VERTI.BD,VIG.BD,VVT.BD,VWPR.BD,WABS.BD,WIZZ.BD,ZWACK.BD,^BUX.BD
2023-09-29,840.0,,225.0,,2585.00927734375,364.39215087890625,1457.5936279296875,,,16519.25390625,17851.46875,,410.0862731933594,38113.58984375,150.0,,,,,37.70000076293945,,33.5,,140.0,,,,,,,,,,,,,,,,,,,,,2199.244140625,,,927.9366455078125,,,,11.850000381469727,,330.54107666015625,,12096.82421875,,,1285.0,,48560.0546875,,,,,,1370.0,,10577.052734375,129.10345458984375,,,,15526.6923828125,
2023-10-31,811.0,,222.0,,2530.588134765625,367.0980529785156,1532.1298828125,,,16559.236328125,15547.537109375,,426.6368408203125,34485.15234375,120.0,,,,,37.5,,33.70000076293945,,140.0,,,,,,,,,,,,,,,,,,,,,2263.788818359375,,,909.1143188476562,,,,13.0,,342.68341064453125,,12233.25390625,,,1550.0,,48995.01171875,,,,,,1460.0,,10577.052734375,130.0965576171875,,,,15657.169921875,
2023-11-30,794.0,,237.0,,2539.658203125,386.9411926269531,1755.7379150390625,,,16193.38671875,11925.6455078125,,437.6705627441406,36459.30078125,102.0,,,,,36.599998474121094,,30.5,,200.0,4528.7578125,,,,,,,,,,,,,,,,,,,,2188.224365234375,,,922.2899169921875,,,,14.449999809265137,,346.7308349609375,,13201.9091796875,,,1440.0,,54394.4609375,,,,,,1450.0,,10577.052734375,197.62757873535156,,,,15613.67578125,
2023-12-29,795.0,,240.0,,2585.00927734375,351.76470947265625,2062.163818359375,,,18652.3828125,12949.61328125,,464.3353576660156,38753.3125,150.0,,,,,35.099998474121094,,30.5,,159.0,4650.72412109375,,,,,,,,,,,,,,,,,,,,2224.432373046875,,,909.1143188476562,,,,14.199999809265137,,343.58282470703125,,14370.6640625,,,1520.0,,52744.6328125,,,1519.0,,,1470.0,,10996.935546875,197.62757873535156,,,,15874.6279296875,
2024-01-31,794.0,,264.0,,2548.728515625,528.5490112304688,2136.69970703125,,,17530.83984375,11137.66796875,,450.543212890625,35304.796875,80.0,,,,,38.29999923706055,,30.700000762939453,,187.0,4998.62890625,,,,,,,,,,,,,,,,,,,,2290.551513671875,,,1105.8067626953125,,,,15.149999618530273,,378.2109680175781,,14961.861328125,,,1490.0,,61993.6875,,,1230.0,,,1480.0,,11096.9072265625,178.7586212158203,,,,16744.47265625,
2024-02-29,854.0,,250.0,,2566.868896484375,405.8823547363281,2327.180908203125,,,18442.46875,11105.66796875,,430.31475830078125,42156.84765625,100.0,,,,,35.29999923706055,,29.200000762939453,,191.0,4580.74365234375,,,,,,,,,,,,,,,,,,,,2274.808837890625,,,964.6399536132812,,,,15.0,,380.45953369140625,,15839.564453125,,,1450.0,,65293.3515625,,,1088.0,,,1480.0,,9897.2412109375,178.7586212158203,,,,17744.791015625,
2024-03-28,816.0,,255.0,,3111.081298828125,421.2156982421875,2815.80615234375,,,20821.494140625,11263.6650390625,,652.8279418945312,41866.97265625,100.0,,,,,38.20000076293945,,29.0,,197.0,4992.63037109375,,,,,,,,,,,,,,,,,,,,2329.907958984375,,,964.6399536132812,,,,14.699999809265137,,362.4709167480469,,15280.1982421875,,,1365.0,,70972.7734375,,,1110.0,,,1450.0,,11476.8017578125,178.7586212158203,,,,18440.666015625,
2024-04-30,810.0,,245.0,,3355.97705078125,423.92156982421875,3031.13232421875,,,19175.421875,10789.7890625,,536.9739379882812,41482.140625,100.0,,,,,37.400001525878906,,30.200000762939453,,189.0,4922.64990234375,,,,,,,,,,,,,,,,,,,,2369.2646484375,,,988.167724609375,,,,14.149999618530273,,339.985107421875,,16553.548828125,,,1305.0,,65993.2890625,,,1070.0,,,1430.0,,11556.779296875,178.7586212158203,,,,20876.2265625,
2024-05-31,804.0,,275.0,,3790.0,396.8627624511719,3519.7578125,,,18917.482421875,10907.787109375,,450.543212890625,35689.97265625,100.0,,,,,72.19999694824219,,31.799999237060547,,216.0,4763.181640625,,,,,,,,,,,,,,,,,,,,2392.5966796875,,,1251.67919921875,,,,14.350000381469727,,342.2336730957031,,16230.2099609375,,,1345.0,,64805.5625,,,976.0,,,1480.0,,11798.11328125,173.79310607910156,,,,20441.302734375,
2024-06-28,785.0,,280.0,,4200.0,420.313720703125,3577.72998046875,,,17995.701171875,10439.7958984375,,468.9327392578125,35490.03125,98.0,,,,,80.19999694824219,,34.599998474121094,,242.0,4801.17529296875,,,,,,,,,,,,,,,,,,,,2468.062255859375,,,1270.50146484375,,,,14.300000190734863,,400.5506896972656,,17181.896484375,,,1305.0,,64805.5625,,,1100.0,,,1500.0,,11658.1357421875,158.89654541015625,,,,21485.115234375,
