Date,AKO1L.VS,AMG1L.VS,APG1L.VS,AUG1L.VS,GRG1L.VS,IGN1L.VS,INC1L.VS,INL1L.VS,INR1L.VS,IVL1L.VS,KNE1L.VS,KNR1L.VS,LGD1L.VS,NTU1L.VS,PZV1L.VS,ROE1L.VS,RSU1L.VS,TEL1L.VS,UTR1L.VS,VBL1L.VS,VLP1L.VS,ZMP1L.VS,^OMXV
2023-09-29,1.115410566329956,0.9887489080429077,2.097705841064453,0.33500000834465027,0.8008334040641785,16.42849349975586,1.909999966621399,7.0384392738342285,1.887607216835022,9.248088836669922,0.17385762929916382,0.8958863615989685,0.5553660988807678,,0.9097741842269897,0.5190661549568176,2.505998373031616,1.3408564329147339,0.5699999928474426,5.8541083335876465,4.099108695983887,1.5979139804840088,
2023-10-31,1.110876441001892,0.9557905793190002,2.1135377883911133,0.3240000009536743,0.7957541346549988,16.425315856933594,1.940000057220459,6.802249431610107,1.869629979133606,8.978726387023926,0.172217458486557,0.9155761003494263,0.5553660988807678,,0.9250644445419312,0.5033368468284607,2.471432685852051,1.3158714771270752,0.574999988079071,5.550561904907227,4.081440448760986,1.67355477809906,
2023-11-30,1.0982004404067993,0.9475510120391846,2.1056220531463623,0.3190000057220459,0.8296160101890564,15.745363235473633,1.8200000524520874,6.802249431610107,1.8156983852386475,8.933833122253418,0.16975721716880798,0.9057312607765198,0.5553660988807678,,0.9556450843811035,0.589434027671814,2.4368669986724854,1.4324676990509033,0.49799999594688416,5.420470237731934,4.169783115386963,1.6073689460754395,
2023-12-29,1.0518629550933838,0.9063531756401062,2.1056220531463623,0.3100000023841858,0.9269689321517944,15.434062004089355,1.899999976158142,6.802249431610107,1.887607216835022,10.684683799743652,0.16565681993961334,0.8958863615989685,0.5594496130943298,,1.0244516134262085,0.573704719543457,2.5232808589935303,1.3866618871688843,0.47999998927116394,6.5045647621154785,4.629166126251221,1.5979139804840088,
2024-01-31,1.0333279371261597,0.9475510120391846,2.248107671737671,0.3009999990463257,0.9058052897453308,15.515986442565918,1.8600000143051147,6.6132988929748535,1.869629979133606,10.954046249389648,0.18041831254959106,0.9204985499382019,0.5594496130943298,,1.1161935329437256,0.5902618765830994,2.505998373031616,1.4324676990509033,0.5,6.5045647621154785,4.6821722984313965,1.5884586572647095,
2024-02-29,0.9777228236198425,0.9063531756401062,2.3351821899414062,0.296999990940094,0.9481325149536133,15.25383472442627,1.8600000143051147,6.518823146820068,1.869629979133606,11.223407745361328,0.18123836815357208,0.9352658987045288,0.5553660988807678,,1.1391290426254272,0.5811554789543152,2.609694480895996,1.4199751615524292,0.550000011920929,6.6780195236206055,4.947200775146484,1.6357343196868896,
2024-03-28,0.9267514944076538,0.9475510120391846,2.3510138988494873,0.2980000078678131,0.9523652791976929,15.237451553344727,1.840000033378601,6.046444416046143,1.869629979133606,10.684683799743652,0.18779906630516052,0.9352658987045288,0.5471989512443542,,1.0703225135803223,0.5852947235107422,2.505998373031616,1.3949902057647705,0.5400000214576721,7.545294761657715,4.558492183685303,1.6924649477005005,
2024-04-30,0.9406527876853943,0.9557905793190002,2.3905930519104004,0.28999999165534973,0.9438997507095337,15.59987735748291,2.2799999713897705,5.776001930236816,1.8156983852386475,10.954046249389648,0.18615888059139252,0.9204985499382019,0.5594496130943298,,1.1085484027862549,0.5993860363960266,2.5232808589935303,1.4074827432632446,0.46000000834465027,7.848841667175293,4.770514965057373,1.65464448928833,
2024-05-31,1.037961721420288,1.0288565158843994,2.353935480117798,0.2879999876022339,0.9887669086456299,15.413357734680176,2.5199999809265137,6.257335662841797,1.9568147659301758,11.133621215820312,0.19136540591716766,0.9352658987045288,0.6103885173797607,,1.0703225135803223,0.6171720027923584,2.8178648948669434,1.4114141464233398,0.4300000071525574,7.632022857666016,5.157124042510986,1.7133333683013916,
2024-06-28,1.0935667753219604,1.0379613637924194,2.3711493015289307,0.2939999997615814,0.9300728440284729,15.59987735748291,2.5999999046325684,6.161068916320801,1.9568147659301758,12.58189582824707,0.1974543035030365,0.9648006558418274,0.6014778017997742,,1.095806360244751,0.6127254962921143,2.8905842304229736,1.3586509227752686,0.4300000071525574,7.805477619171143,5.5321879386901855,1.7620075941085815,
