Date,ACL.JO,ACS.JO,ACT.JO,ADETNC.JO,ADETNQ.JO,ADH.JO,ADXOPP.JO,ADXWWE.JO,AEL.JO,AFE.JO,AFEP.JO,AFH.JO,AFT.JO,AGL.JO,AGOGB.JO,ALETNC.JO,ALETNQ.JO,AMC001.JO,AMC002.JO,AMC004.JO,AMC005.JO,AMC006.JO,AMC007.JO,AMC009.JO,AMC011.JO,AMC012.JO,AMC018.JO,AMC021.JO,AME.JO,AMETNC.JO,AMETNQ.JO,AMPSTI.JO,ANH.JO,ANI.JO,APACXJ.JO,APETNC.JO,APETNQ.JO,APF.JO,APH.JO,APN.JO,ARI.JO,ARL.JO,ART.JO,ASETNC.JO,ASETNQ.JO,ASIETF.JO,AVETNC.JO,AVETNQ.JO,AVI.JO,AXX.JO,BAMGCF.JO,BAMHUM.JO,BAT.JO,BCETNC.JO,BCETNQ.JO,BCF.JO,BEL.JO,BGFMAI.JO,BHETNC.JO,BHETNQ.JO,BHG.JO,BID.JO,BKETNC.JO,BKETNQ.JO,BLU.JO,BOX.JO,BRETNC.JO,BRNDZ.JO,BTI.JO,BWN.JO,BYI.JO,CAA.JO,CAT.JO,CCC.JO,CCD.JO,CCMGCZ.JO,CFR.JO,CGR.JO,CLH.JO,CLPASI.JO,CLS.JO,CMH.JO,CML.JO,CNP.JO,COETNC.JO,COETNQ.JO,COGCAP.JO,COGEM.JO,COGES.JO,COGMAN.JO,COGOE.JO,COOPTI.JO,COUSDI.JO,CPI.JO,CPP.JO,CPR.JO,CSB.JO,CSGOVI.JO,CSP500.JO,CSYSB.JO,DCCUS2.JO,DCCUSD.JO,DCP.JO,DLT.JO,DNKGLO.JO,DNKOPP.JO,DRD.JO,DSY.JO,EASY3.JO,EASY5.JO,EASY7.JO,EASYAI.JO,EASYBF.JO,EASYGE.JO,EGETNC.JO,EGETNQ.JO,EMN.JO,ENX.JO,EPE.JO,EQU.JO,ETF500.JO,ETF5IT.JO,ETFEMA.JO,ETFGGB.JO,ETFGLD.JO,ETFPLD.JO,ETFPLT.JO,ETFRHO.JO,ETFSAB.JO,ETFSRI.JO,ETFUSD.JO,ETFWLD.JO,EXX.JO,FAETNC.JO,FAETNQ.JO,FBR.JO,FDETNC.JO,FDETNQ.JO,FGL.JO,FNB500.JO,FNBEQF.JO,FNBGEG.JO,FNBGSE.JO,FNBINF.JO,FNBLSP.JO,FNBWGB.JO,FSR.JO,FTH.JO,GIMLPC.JO,GLD.JO,GLN.JO,GLOBAL.JO,GLODIV.JO,GLPROP.JO,GML.JO,GND.JO,GNDP.JO,GPL.JO,GRT.JO,GSETNC.JO,GSETNQ.JO,HAR.JO,HLM.JO,HMN.JO,HUG.JO,INCOME.JO,INL.JO,INP.JO,INPR.JO,IOC.JO,ISA.JO,ISO.JO,IVT.JO,IVYAI.JO,J203.L,JPETNC.JO,JPETNQ.JO,JSE.JO,KAL.JO,KAP.JO,LBR.JO,LHC.JO,LLETNC.JO,LLETNQ.JO,LTE.JO,LVETNQ.JO,MCETNC.JO,MCETNQ.JO,MCZ.JO,MDI.JO,MERGE.JO,MRF.JO,MRP.JO,MRPWMB.JO,MSETNC.JO,MSETNQ.JO,MST.JO,MTH.JO,MTM.JO,MTN.JO,MTU.JO,MWETNC.JO,MWETNQ.JO,N91.JO,NEWEUR.JO,NEWGBP.JO,NEWPLT.JO,NEWSLV.JO,NEWUSD.JO,NFETNC.JO,NFETNQ.JO,NGPLD.JO,NGPLT.JO,NNETNC.JO,NPK.JO,NPN.JO,NRP.JO,NTC.JO,NTCP.JO,NTU.JO,NVETNC.JO,NVETNQ.JO,NVS.JO,NWL.JO,NY1.JO,OAS.JO,OCT.JO,OILGAS.JO,OMN.JO,OPA.JO,ORBIGG.JO,ORBT30.JO,ORN.JO,OYSTER.JO,PAETNC.JO,PAETNQ.JO,PAN.JO,PANDA.JO,PBLNCD.JO,PBT.JO,PCMCOP.JO,PCWGE.JO,PIK.JO,PIPETF.JO,PMXINC.JO,PPC.JO,PPE.JO,PPETNC.JO,PPETNQ.JO,PPH.JO,PPR.JO,PREGIP.JO,PROWWF.JO,PRX.JO,PTETNC.JO,PTETNQ.JO,PWMEXI.JO,PWR.JO,QFH.JO,RBO.JO,RBX.JO,RCL.JO,REM.JO,RFFI.JO,RHB.JO,RLO.JO,RNI.JO,RWAGP.JO,RWDVF.JO,RWGPR.JO,RWINC.JO,S32.JO,SAAGG.JO,SAC.JO,SAP.JO,SBCOP.JO,SBK.JO,SBOIL.JO,SBP.JO,SBPP.JO,SBTGFP.JO,SCD.JO,SDL.JO,SDO.JO,SEA.JO,SEP.JO,SHC.JO,SHG.JO,SHP.JO,SKA.JO,SLG.JO,SNT.JO,SNV.JO,SOL.JO,SOLBE1.JO,SPP.JO,SQRL.JO,SRETNC.JO,SRI.JO,SSK.JO,SSS.JO,STX500.JO,STXACW.JO,STXCAP.JO,STXCHN.JO,STXEME.JO,STXEMG.JO,STXESG.JO,STXEUR.JO,STXGBD.JO,STXGLB.JO,STXGLP.JO,STXGOV.JO,STXGVI.JO,STXIFR.JO,STXILB.JO,STXINC.JO,STXIND.JO,STXJGE.JO,STXLVL.JO,STXNAM.JO,STXNDA.JO,STXNDQ.JO,STXRAF.JO,STXRES.JO,STXSHA.JO,STXTRA.JO,STXVEQ.JO,STXWDM.JO,STXWIS.JO,SUI.JO,SUR.JO,SYFANG.JO,SYG4IR.JO,SYG500.JO,SYGCN.JO,SYGEMF.JO,SYGESG.JO,SYGEU.JO,SYGH.JO,SYGJP.JO,SYGUK.JO,SYGUS.JO,SYGWD.JO,TBIMAI.JO,TBS.JO,TEX.JO,TFG.JO,TGA.JO,THA.JO,TKG.JO,TPC.JO,TRL.JO,TRU.JO,TSETNC.JO,TSETNQ.JO,TSG.JO,UA8GRO.JO,UABSPA.JO,UBFAMU.JO,UBRAND.JO,UBROBO.JO,UBSSXF.JO,UBSUKX.JO,UCIGEP.JO,UEFPCA.JO,UEFPCL.JO,UMMIEA.JO,UMMIES.JO,UNICRN.JO,UNPWGP.JO,UOMWPA.JO,UPCHPA.JO,USPACE.JO,UUQUAD.JO,VKE.JO,VOD.JO,VSETNC.JO,VSETNQ.JO,VUN.JO,VUNGLE.JO,WBC.JO,WNXT40.JO,WTOP20.JO,WVR.JO,WWETNC.JO,WWETNQ.JO,XII.JO,YRK.JO,YYLBEE.JO,ZED.JO,ZZD.JO,27FGMF.JO,27FGSE.JO,27FLCE.JO,4SI.JO,91DINC.JO,91GINC.JO,AAGEET.JO,AASAET.JO,ABAM1.JO,ABAM2.JO
2025-09-30,145.0,872.6036376953125,165.0,,,3147.1357421875,,,1823.36767578125,9711.828125,12.24935531616211,768.4307861328125,3804.648681640625,64647.5234375,,,,,,,,,,128301.0,,,,,4493.171875,,,,102669.09375,379.5635986328125,12.873163223266602,,,39.0,1188.8734130859375,9685.8896484375,18541.13671875,20510.392578125,2838.906982421875,1229.0,1170.0,1006.4794311523438,,,9885.64453125,179.47357177734375,,,213.0,1471.0,1572.0,1388.2449951171875,4279.64794921875,,,,47644.35546875,43212.32421875,1374.0,1512.0,1198.30078125,6914.75341796875,1162.0,,91166.1171875,292.0,9227.69921875,1749.6497802734375,1372.4090576171875,3.950000047683716,,,326921.875,488.9061584472656,405.8394165039063,,35233.5078125,3297.893798828125,4446.521484375,,,,11.15999984741211,12.538805961608888,14.82718563079834,13.489999771118164,12.380000114440918,12.979999542236328,1005.0,347334.59375,10.269221305847168,0.699999988079071,13892.8486328125,10.762959480285645,11531.5986328125,,,,3273.56982421875,25.0,,,4811.302734375,19697.2734375,,,,83.98999786376953,12.649747848510742,14.390000343322754,,,179.75360107421875,396.3387756347656,685.0,1604.7086181640625,60925.0,3512.0,3905.0,7931.794921875,64319.0,20697.0,26291.0,117749.0,11.885703086853027,17738.6953125,1744.334228515625,10736.0,18001.6328125,,,5346.39013671875,,,99.91343688964844,112.1167984008789,10702.2255859375,,,2542.321044921875,,703.847900390625,7761.30517578125,674.28515625,,61525.0,7969.84326171875,1716.998046875,1993.34033203125,4733.53662109375,152.0,1502.3367919921875,9691.9765625,240.0,1471.8514404296875,,,31478.693359375,265.0,6698.1689453125,80.0,1069.291015625,12803.5498046875,12808.6123046875,9840.8310546875,395.0,184.83901977539065,168.52999877929688,3673.669921875,,,,,12740.0751953125,4181.048828125,165.0,478.7205810546875,1158.388671875,877.0,964.0,784.9711303710938,757.0,,,168.0,1574.6063232421875,,106.80902862548828,20360.150390625,,,,1339.86767578125,10394.3466796875,3277.1484375,14496.283203125,57.0,,,4694.62646484375,2036.0,2336.0,,,1736.0,,,20774.0,26019.0,581.0,45806.0,125087.578125,13828.453125,1419.243896484375,9490.2421875,1.0,1954.0,2149.0,629.4749755859375,2998.31884765625,4544.14306640625,2097.975830078125,1135.99951171875,,7152.97119140625,,,,20.0,,1341.0,1475.0,2030.5784912109373,,,641.0806274414062,,10.013657569885254,2539.0,9.98265552520752,10.575429916381836,539.8009033203125,249.0,,,2430.5166015625,4.384367942810059,9.851900100708008,,121070.796875,1871.0,1999.0,,8628.0,730.556884765625,412.9137268066406,4258.1650390625,962.4678955078124,16767.251953125,,199.0,5378.689453125,50499.49609375,10.661478996276855,10.996498107910156,9.579303741455078,0.9392523765563964,3111.590576171875,,309.7694702148437,2312.0,,23626.08984375,,11797.921875,9460.1220703125,,199398.859375,1199.0,1049.840087890625,1033.2926025390625,140.0,32.20244216918945,849.2741088867188,27393.0546875,0.9900000095367432,0.5,37771.76171875,860.0,10746.0,6500.0,9860.0,,,,400.0,1548.990478515625,12213.0,90.6500015258789,52.369873046875,5725.0,6432.0,7396.0,9204.0,,3902.250732421875,56.41104888916016,,927.2670288085938,77.30475616455078,6191.73095703125,829.7809448242188,,13593.306640625,89.80175018310547,13.905350685119627,23.39215660095215,8000.0,24175.421875,3213.149658203125,11878.0634765625,5.67163610458374,35.384254455566406,17.76097869873047,10790.0,47.70365524291992,4030.46533203125,3408.40234375,1907.0,5736.94189453125,11632.9970703125,3908.0,2374.999267578125,6127.99853515625,11360.9990234375,2829.9990234375,2216.99951171875,21707.990234375,10813.0,7415.99853515625,10242.234375,30839.439453125,349.36981201171875,10906.7734375,8746.5048828125,2419.39453125,5114.67333984375,3398.06884765625,190.0,5464.86181640625,,,650.6017456054688,,,,,,,,,,,,,,,,,,,2072.788818359375,13322.2939453125,,,175.93333435058594,10.65999984741211,5537.12060546875,12.275956153869627,14.61781120300293,4749.05029296875,,,0.0099999997764825,216.0,3848.481201171875,134.92440795898438,1255.20068359375,11.510682106018066,,13.925172805786133,64.97562408447266,,,,,,
2025-10-31,149.0,716.6744995117188,152.0,,,3533.02978515625,,,1838.3543701171875,8947.0,1264.1683349609375,822.3908081054688,4551.57958984375,65664.484375,,,,,,,,,,134204.0,,,,,4167.44970703125,,,,105296.078125,449.4832153320313,13.38092041015625,,,46.0,1307.86083984375,9812.0,17246.40625,22377.880859375,2940.867431640625,1348.0,1302.0,997.6133422851562,,,9647.69140625,1.5899018049240112,,,213.0,1689.0,1799.0,1389.7198486328125,4308.638671875,,,,49315.69921875,42876.421875,1297.0,1421.0,1237.2779541015625,7603.62890625,1080.0,,88675.265625,280.0,8530.8720703125,1647.6702880859375,1327.4937744140625,4.900000095367432,,,341323.6875,502.9034729003906,409.9286804199219,,36493.12890625,3607.69580078125,4923.04150390625,,,,11.1899995803833,12.778782844543455,15.12712860107422,13.630000114440918,12.479999542236328,13.06999969482422,1014.0,383209.65625,10.221721649169922,0.699999988079071,13784.9033203125,11.024109840393066,11907.9970703125,11.90866470336914,,,3390.554443359375,26.0,,,4391.45068359375,21778.02734375,,,,92.4000015258789,13.289735794067385,15.970000267028809,,,195.73171997070312,428.2052001953125,730.0,1689.304931640625,62934.0,3785.0,4219.0,7891.9033203125,67342.0,24264.0,26407.0,127381.0,12.10340690612793,18274.970703125,1723.6807861328125,11219.0,17677.205078125,,,5422.3388671875,,,113.9013214111328,116.11135864257812,11050.201171875,,,2569.551513671875,,699.8488159179688,8220.5322265625,650.310546875,,64448.0,8307.8359375,1752.9996337890625,1981.3443603515625,4673.99755859375,130.0,1694.252197265625,9841.8525390625,220.0,1630.3798828125,,,29114.677734375,255.0,6927.1064453125,145.0,1059.4791259765625,13032.3994140625,13103.5107421875,9941.748046875,420.0,179.84336853027344,179.69000244140625,3815.61865234375,,,,,14083.240234375,4497.9013671875,164.0,449.7374877929688,1186.3740234375,1021.0,1119.0,807.9702758789062,894.0,,,220.0,1574.6063232421875,,109.80367279052734,20676.99609375,,,,1302.0,10433.4365234375,3339.0029296875,17288.56640625,59.0,,,5267.45947265625,2010.0,2294.0,,,1748.0,,,24274.0,26419.0,527.0,48101.0,121997.125,14039.4443359375,1458.22314453125,9589.1513671875,0.959999978542328,2166.0,2373.0,708.4091796875,2997.3193359375,5156.75830078125,2098.975341796875,1273.8780517578125,,7613.64697265625,,,,20.0,,1449.0,1588.0,1923.6007080078125,,,565.6032104492188,,10.401860237121582,2830.0,10.06402587890625,10.793852806091309,550.7968139648438,223.0,,,2639.47509765625,444.9358825683594,9.945899963378906,,119640.0,2104.0,2240.0,,8102.0,774.5301513671875,435.9089050292969,4145.2138671875,974.8377075195312,17213.494140625,10.46849250793457,2.25,5580.5654296875,55448.44921875,10.572020530700684,10.897187232971191,9.86444091796875,0.9206390380859376,3563.531005859375,,328.8827209472656,2268.0,,25442.09765625,,12497.8583984375,9621.9873046875,,199399.15625,1350.0,1110.830810546875,1139.219970703125,150.0,31.5820255279541,847.2758178710938,28996.58984375,1.3200000524520874,0.5,41341.2265625,733.0,10770.0,6700.0,10921.0,,,,490.0,1689.8988037109375,12677.0,93.31999969482422,53.3814697265625,5525.0,6658.0,7667.0,9474.0,,3853.79833984375,57.564449310302734,,911.6278076171876,79.02796936035156,6171.15625,840.856689453125,,13864.0107421875,91.33780670166016,14.239033699035645,23.699434280395508,8411.0,25762.71484375,3191.385986328125,11134.9599609375,5.578754425048828,36.13349914550781,18.17302131652832,11160.0,49.61458587646485,3878.635986328125,3609.249267578125,2021.0,6053.93896484375,11997.9970703125,3783.0,2512.999267578125,6362.99853515625,11529.9990234375,2967.9990234375,2332.99951171875,22138.990234375,11178.0,7619.99853515625,10090.541015625,32801.11328125,334.0,9206.431640625,7651.0673828125,2209.447265625,4850.79345703125,3408.063232421875,180.0,5180.12939453125,,,706.5674438476562,,,,,,,,,,,,,,,,,,,2260.678955078125,13996.955078125,,,199.9242401123047,11.039999961853027,4599.26953125,12.36769676208496,14.778894424438477,4998.00048828125,,,0.0199999995529651,222.0,3819.49267578125,123.9305648803711,1228.2393798828125,12.165935516357422,1019.0800170898438,14.013679504394531,74.97187805175781,,,,,,
2025-11-28,131.0,915.5841674804688,135.0,,,3698.984375,,,1920.77197265625,8825.0263671875,12.641683578491213,853.3678588867188,3716.846435546875,64069.54296875,,,,,,,,,,134256.0,,,,,4496.16943359375,,,,105579.2109375,4.0952911376953125,12.843295097351074,,,55.0,1329.8978271484375,9500.0,17922.265625,25204.59375,3118.799072265625,1286.0,1269.0,1003.6110229492188,,,10368.5185546875,1.6094098091125488,,,230.0,1779.0,1925.0,1340.729736328125,4286.64599609375,,,,46448.8203125,40837.01953125,1237.0,1378.0,986.4243774414062,7271.689453125,1027.0,,99278.8671875,262.0,7811.708984375,1639.671875,1392.371337890625,2.789999961853028,31.0,,360546.4375,519.9002075195312,472.917724609375,,34709.6640625,3747.6064453125,4814.1513671875,,,,11.079999923706056,11.998857498168944,14.337278366088867,13.0,11.949999809265137,12.399999618530272,1006.0,388285.03125,10.094164848327637,0.5,12693.4658203125,11.397321701049805,11631.9970703125,12.463000297546388,,,3479.8349609375,33.0,,,5087.20556640625,21951.01953125,,,,83.43000030517578,12.769745826721191,14.18000030517578,,,192.73580932617188,348.53912353515625,774.0,1828.247802734375,61730.0,3523.0,3995.0,7807.9150390625,69330.0,23341.0,26965.0,120555.0,12.203104972839355,17828.01953125,1717.681884765625,10791.0,17384.333984375,,,5641.19091796875,,,114.94801330566406,113.87840270996094,10796.5556640625,,,2646.538330078125,,687.8878173828125,8144.5556640625,689.2692260742188,,66389.0,8156.83935546875,1710.9996337890625,2011.3343505859373,4665.99755859375,125.0,1675.260498046875,9802.884765625,227.0,1749.3345947265625,,,33393.89453125,241.0,7294.00634765625,120.0,1067.4752197265625,12229.9287109375,12223.8115234375,9661.033203125,402.0,240.790283203125,104.95999908447266,3648.678955078125,,,,,13291.732421875,4652.82861328125,167.0,425.7514953613281,1079.430419921875,1269.0,1413.0,829.9694213867188,917.0,,,250.0,1504.623779296875,,108.80545806884766,20992.84375,,,,1348.0,11378.2041015625,3627.916748046875,15783.9521484375,50.0,,,4814.591796875,1987.0,2282.0,,,1726.0,,,23616.0,27454.0,511.0,53500.0,107000.84375,14658.419921875,1531.184326171875,9158.8837890625,0.8899999856948853,1846.0,2056.0,647.4600219726562,2798.430908203125,4661.06982421875,2198.9267578125,1473.7020263671875,,7644.62548828125,19.21999931335449,9.670000076293944,,20.0,,1222.0,1361.0,2267.92236328125,,9.90999984741211,6.840741157531738,,10.103241920471191,2617.0,10.149493217468262,11.071599960327148,543.7994384765625,211.0,,,2613.480224609375,350.9494323730469,9.857000350952148,,106283.0,1705.0,1845.0,,8000.0,899.4544067382812,499.8955383300781,4029.07373046875,969.8385009765624,17384.48046875,10.538416862487791,2.25,6186.19287109375,57899.421875,10.611802101135254,10.887252807617188,9.993973731994627,0.9470162987709044,3559.531494140625,,363.8702697753906,2231.0,,26347.603515625,,12498.857421875,9767.8662109375,,199399.15625,1030.0,1255.8087158203125,1149.6351318359375,183.0,32.17289352416992,937.198974609375,27448.0390625,1.3200000524520874,0.5,41790.03515625,699.0,11130.0,8500.0,10400.0,,,,451.0,1869.377197265625,12401.0,91.79000091552734,54.592681884765625,5325.0,6435.0,7422.0,9293.0,,3810.8115234375,56.66811752319336,,945.614013671875,81.6561508178711,6222.14892578125,866.8521728515625,,13323.087890625,92.82040405273438,14.405858993530272,23.728103637695312,8367.0,24632.73046875,3315.362060546875,12284.7509765625,5.914466857910156,36.35612487792969,18.844633102416992,10949.0,48.38044357299805,3907.603515625,3724.161376953125,1938.0,5823.94091796875,11664.9970703125,3651.0,2379.999267578125,6274.99853515625,11322.9990234375,3168.998779296875,2272.99951171875,22051.990234375,10942.0,7488.99853515625,10134.5166015625,35889.44921875,301.0,8351.763671875,8108.83251953125,2149.4619140625,5014.71875,3598.954345703125,185.0,5527.80224609375,,,704.5686645507812,,,,,,,,,,,,,,,,,,,2437.57568359375,13414.3916015625,,,199.9242401123047,11.039999961853027,4750.24560546875,12.767622947692873,15.038874626159668,5498.89990234375,,,0.0199999995529651,220.0,4898.0673828125,125.929443359375,1354.0589599609375,12.067234992980955,994.989990234375,14.209253311157228,73.97225189208984,973.6015625,1008.9000244140624,,,,
2025-12-31,127.0,999.7837524414062,133.0,,,3721.977783203125,,,1987.7291259765625,8930.00390625,13.209928512573242,779.4226684570312,4116.830078125,68507.375,,,,,,,,,,141449.0,,,,,4446.21240234375,,,,107049.203125,489.7060241699219,12.763646125793455,,,60.0,1479.88623046875,11679.0,19885.857421875,26648.423828125,3277.408447265625,,,1008.6090698242188,,,10547.4755859375,1.849229097366333,,,223.0,,,1398.718017578125,4198.67333984375,,,,50692.1640625,42174.625,,,1053.3853759765625,7134.1669921875,,,94096.4765625,290.0,8145.65380859375,1483.7030029296875,1316.174560546875,2.150000095367432,28.5,,362699.40625,476.908447265625,517.909912109375,,33646.98046875,3687.9990234375,4673.75048828125,,,,10.880000114440918,11.818873405456545,14.197304725646973,13.06999969482422,11.979999542236328,12.279999732971191,980.0,415528.6875,10.054187774658203,0.699999988079071,13493.0546875,11.703545570373535,11430.9970703125,12.864415168762209,,,3499.833984375,39.0,,,5234.15380859375,22756.982421875,,,,80.63999938964844,12.929742813110352,13.729999542236328,,,215.8442230224609,397.3345947265625,700.0,1834.245361328125,60395.0,3445.0,3932.0,7581.9462890625,69415.0,24880.0,32616.0,140001.0,12.452351570129396,17718.033203125,1659.692626953125,10730.0,17892.109375,,,5345.994140625,,,124.94349670410156,111.523193359375,10639.5615234375,,,2738.5224609375,,669.8908081054688,9072.27734375,624.61669921875,,66481.0,9114.8212890625,1688.999755859375,1961.3509521484373,4519.998046875,132.0,1699.2498779296875,10290.4814453125,193.0,1715.3475341796875,,,33701.83984375,245.0,7304.00341796875,150.0,1071.4732666015625,12213.9716796875,12216.82421875,9845.95703125,424.0,231.89675903320312,97.5,3698.660888671875,,,,,14334.083984375,4997.66796875,192.0,472.72406005859375,1138.750732421875,,,844.9688720703125,926.0,,,235.0,1599.5999755859375,,108.80545806884766,17492.23046875,,,,1460.0,12190.0048828125,3822.858642578125,16945.654296875,51.0,,,4827.9267578125,1962.0,2270.0,,,1685.0,,,24754.0,31817.0,537.0,54016.0,110451.0,14584.4228515625,1582.1571044921875,9612.6796875,1.0499999523162842,1976.0,2151.0,589.5083618164062,2760.0,4779.36376953125,2199.55322265625,1483.435302734375,,7874.4638671875,20.46999931335449,9.710000038146973,,22.0,,,,2692.907958984375,,10.039999961853027,6.496793270111084,,9.963887214660645,2490.0,10.215524673461914,11.29188346862793,558.7938842773438,224.0,,,2644.47412109375,598.9136962890625,9.56089973449707,,102352.0,,2047.0,,8564.0,810.5083618164062,499.8955383300781,4454.97607421875,1009.8318481445312,18159.412109375,10.73819637298584,225.0,6228.1669921875,57999.421875,10.29354763031006,10.479974746704102,10.721352577209473,9.413585662841797,3933.482177734375,,359.8716735839844,2455.0,,29024.140625,,12297.8759765625,9720.9052734375,,199399.15625,2101.0,1329.7974853515625,1180.625244140625,177.0,31.82822036743164,948.1895751953124,27015.1640625,1.3200000524520874,0.5,42726.6328125,710.0,10620.0,5100.0,9550.0,,,,438.0,1792.40283203125,12176.0,90.61000061035156,56.95986557006836,5077.0,6421.0,7378.0,9180.0,,3701.845458984375,55.4929313659668,,968.6045532226562,84.12127685546875,5974.18310546875,891.8479614257812,,13504.0625,96.60596466064452,14.85726833343506,24.00523376464844,8101.0,23972.736328125,3501.326171875,12898.6376953125,6.161314487457275,36.62714767456055,19.496490478515625,10787.0,47.67379760742188,3860.65625,3823.0859375,1803.0,5695.9423828125,11524.9970703125,3471.0,2410.999267578125,6226.99853515625,11357.9990234375,3073.998779296875,2231.99951171875,22266.990234375,10731.0,7406.99853515625,10214.47265625,36574.640625,375.0,8393.0400390625,9595.0693359375,2679.329345703125,5898.31689453125,3797.84130859375,188.0,5687.65234375,,,699.7307739257812,,,,,,,,,,,,,,,,,,,2499.16357421875,14127.19921875,,,268.8981018066406,10.75,4782.54248046875,13.217538833618164,15.658827781677246,6472.70556640625,,,0.0199999995529651,221.0,4899.07666015625,124.93000030517578,1407.981689453125,11.734037399291992,978.0800170898438,14.867467880249023,74.97187805175781,9.944194793701172,9.880000114440918,,,,
2026-01-30,135.0,940.7965087890624,128.0,,,3923.922607421875,,,1935.7623291015625,9505.875,1279.99658203125,854.623779296875,4254.82421875,74633.140625,,,,,,,,,,149567.0,,,,,4496.369140625,,,,114755.1484375,487.7072143554688,13.409438133239746,,,60.0,1611.8760986328125,10752.0,23987.001953125,27366.765625,3320.400634765625,1691.0,1724.0,997.7546997070312,,,10747.427734375,1.9691791534423828,,,222.0,1398.0,1623.0,1423.7130126953125,3906.765625,,,,56076.0546875,40418.14453125,1181.0,1411.0,957.4413452148438,7357.140625,1026.0,,95754.0234375,300.0,7369.7822265625,1499.6998291015625,1368.1024169921875,2.0,29.989999771118164,,309999.09375,494.9049987792969,491.9144287109375,,32544.30859375,3701.991455078125,5059.56494140625,,,,10.43000030517578,11.428911209106444,13.507436752319336,12.520000457763672,11.359999656677246,11.949999809265137,944.0,435068.25,10.094164848327637,0.8999999761581421,14492.5390625,11.92652988433838,11088.9970703125,13.235968589782717,,,3624.828125,39.0,,,5298.130859375,23519.94921875,,,,82.62999725341797,13.469732284545898,14.039999961853027,,,219.84133911132807,357.5015563964844,760.0,1796.260986328125,58708.0,3274.0,4115.0,7318.98291015625,78411.0,28130.0,35449.0,152433.0,12.591838836669922,17545.84375,1599.7037353515625,10524.0,18430.873046875,,,5797.82470703125,,,116.94711303710938,108.29974365234376,10519.5673828125,,,2766.636474609375,,649.89404296875,9251.2236328125,619.6197509765625,,75062.0,10994.7841796875,1679.999755859375,1935.553466796875,4465.998046875,122.0,1721.240234375,10091.646484375,215.0,1769.3270263671875,,,36365.3515625,234.0,7825.86083984375,135.0,1058.6629638671875,13140.666015625,13282.80859375,9930.921875,448.0,235.8949737548828,114.6500015258789,3598.697021484375,,,,,14827.77734375,4877.72412109375,223.0,469.725830078125,1111.756591796875,1134.0,1355.0,855.9684448242188,801.0,,,205.0,1759.56005859375,,113.7965316772461,17844.115234375,,,,1450.0,12743.869140625,3765.87548828125,18088.361328125,47.0,,,5584.91552734375,1916.0,2204.0,,,1625.0,,,28151.0,34941.0,579.0,52000.0,99150.0,14761.416015625,1549.631591796875,9495.732421875,1.190000057220459,1851.0,2212.0,536.552490234375,2800.0,5524.10888671875,2299.53271484375,1419.459716796875,,8447.0615234375,22.15999984741211,9.289999961853027,,45.0,,1062.0,1270.0,2921.900146484375,,10.390000343322754,6.986551284790039,,9.739999771118164,2407.0,10.267337799072266,11.520099639892578,612.7739868164062,221.0,,,2648.0,5.999135494232178,9.273099899291992,,93017.0,1413.0,1638.0,,8000.0,988.8002319335938,574.8798828125,5172.81103515625,963.8395385742188,18344.396484375,11.197691917419434,165.0,6169.07666015625,55527.44921875,9.935510635375977,10.214194297790527,10.350069046020508,9.129952430725098,5119.326171875,,364.8699035644531,1794.0,,29856.685546875,,13238.7900390625,9541.0546875,,199399.453125,2450.0,1219.814208984375,1184.6240234375,229.0,31.119176864624023,919.21435546875,26634.275390625,0.9700000286102296,0.5,43011.5078125,693.0,11427.0,6200.0,8866.0,,,18.135831832885746,438.0,1767.4111328125,11742.0,89.69000244140625,59.60017013549805,5062.0,6695.0,7776.0,9008.0,,3589.88037109375,54.67713165283203,36.92919158935547,990.6118774414062,85.31069946289062,5929.46875,895.8870239257812,5013.3486328125,13166.5693359375,100.80563354492188,15.536590576171877,25.081743240356445,7420.0,23421.79296875,3767.390625,14807.4599609375,6.894193649291992,37.478736877441406,20.583965301513672,10576.0,48.0376205444336,4295.16748046875,4061.904052734375,1671.0,5536.9697265625,11151.9990234375,3508.0,2598.999755859375,6168.99951171875,11386.9990234375,2944.999755859375,2270.999755859375,22342.99609375,10405.0,7268.99951171875,10129.5341796875,33745.09765625,316.0,8441.0283203125,9995.8623046875,2969.2568359375,5907.3125,3897.78466796875,192.0,6004.3544921875,,,796.6934204101562,,,,,,,,,,,,,,,,,,,2479.17041015625,15051.951171875,,,268.8981018066406,10.489999771118164,4592.56103515625,13.53932762145996,16.469608306884766,7198.56005859375,,,0.1000000014901161,221.0,4905.0751953125,116.93447875976562,1375.02880859375,11.694136619567873,983.489990234375,15.35784149169922,73.97225189208984,10.011974334716797,9.479999542236328,,,,
