Date,ARION.IC,ASAR.IC,BERA.IC,BRIM.IC,EIK.IC,FESTI.IC,HAGA.IC,HAMP.IC,HEIMAR.IC,ICESEA.IC,ISB.IC,ISF.IC,JBTM.IC,KVIKA.IC,NOVA.IC,OCS.IC,REITIR.IC,SKEL.IC,SVN.IC,^XIPI
2025-09-30,166.9232635498047,12.791515350341797,17.799999237060547,60.8796272277832,13.290604591369627,295.670654296875,104.41665649414062,121.39344787597656,34.39999771118164,5.0,115.56405639648438,122.73767852783205,16899.603515625,14.985270500183104,4.702410697937012,2110.0,112.05030822753906,14.09045696258545,85.06975555419922,
2025-10-31,165.98019409179688,13.677081108093262,16.5,59.41851806640625,13.675838470458984,309.37725830078125,108.32008361816406,116.41830444335938,37.365516662597656,4.860000133514404,115.0904312133789,117.8281707763672,15499.63671875,14.609594345092772,4.6048502922058105,2480.0,120.74386596679688,14.09045696258545,83.59455871582031,
2025-11-28,168.8094024658203,13.77547836303711,17.149999618530273,72.08148193359375,13.483222007751465,315.2514953613281,110.27179718017578,106.46802520751952,35.685054779052734,4.820000171661377,124.56289672851562,124.70147705078124,17999.578125,13.941726684570312,4.2731451988220215,2420.0,120.74386596679688,14.09045696258545,99.33000183105467,
2025-12-30,190.5,14.365856170654297,17.799999237060547,71.59444427490234,13.290604591369627,317.2095947265625,114.17522430419922,101.49288177490234,36.77241516113281,4.860000133514404,139.71884155273438,132.5566864013672,19299.64453125,15.360944747924805,4.214609146118164,2570.0,124.607666015625,15.583486557006836,96.37960815429688,
2026-01-30,188.6138610839844,15.34981918334961,17.5,82.79629516601562,13.290604591369627,340.70660400390625,121.9820785522461,111.4431610107422,36.37701034545898,5.050000190734863,137.35072326660156,145.3214111328125,19099.650390625,15.569652557373049,4.409729480743408,3480.0,123.64171600341795,15.116914749145508,103.26386260986328,
2026-02-27,188.14231872558597,13.972270011901855,16.700000762939453,84.50092315673828,13.77214813232422,332.874267578125,116.12693786621094,101.49288177490234,36.17930603027344,5.25,130.2463836669922,141.393798828125,18699.65625,15.820104598999023,4.156072616577148,3590.0,124.607666015625,16.329999923706055,108.91879272460938,
2026-03-31,176.5,12.800000190734863,16.100000381469727,77.0,13.483222007751465,320.0,112.2235107421875,87.5,34.20000076293945,4.840000152587891,135.0,137.46620178222656,15549.798828125,14.483465194702148,4.079999923706055,3305.0,109.42831420898438,16.299999237060547,98.25,
2026-04-30,191.5,12.100000381469728,15.300000190734863,82.0,14.0,331.0,117.10279083251952,89.5,34.400001525878906,4.380000114440918,143.60000610351562,150.0,14599.8115234375,13.205512046813965,3.869999885559082,3300.0,111.89291381835938,16.299999237060547,105.0,
2026-05-29,198.0,11.800000190734863,15.0,88.0,14.899999618530272,326.0,126.0,87.0,35.20000076293945,4.5,146.8000030517578,152.0,16199.888671875,13.844488143920898,3.660000085830689,3650.0,119.2867202758789,16.350000381469727,112.0,
2026-06-30,189.5,11.949999809265137,15.199999809265137,89.5,14.399999618530272,311.0,119.0,85.0,33.79999923706055,4.199999809265137,141.39999389648438,155.0,17999.876953125,13.199999809265137,3.7200000286102295,1690.0,114.3575210571289,16.399999618530273,123.0,
2026-07-31,193.5,12.75,14.899999618530272,89.5,14.800000190734863,310.0,119.0,88.0,34.29999923706055,4.260000228881836,146.0,163.0,17399.880859375,13.600000381469728,3.839999914169312,1370.0,112.38583374023438,17.100000381469727,117.0,
2026-08-31,188.0,12.199999809265137,14.800000190734863,92.0,14.699999809265137,304.0,122.0,90.0,35.20000076293945,3.9800000190734863,142.60000610351562,168.0,14200.0,13.25,3.5199999809265137,1470.0,113.3716812133789,17.100000381469727,122.0,
