Date,8GW.IR,A5G.IR,BIRG.IR,C5H.IR,DQ7A.IR,EG7.IR,GL9.IR,GRP.IR,GVR.IR,HMSO.IR,IRES.IR,KMR.IR,KRZ.IR,MIO.IR,MLC.IR,OIZ.IR,RYA.IR,UPR.IR,^ISEQ
2025-09-30,0.0115000000223517,7.197792530059815,13.398820877075195,1.8351175785064695,18.899999618530277,12.702919006347656,13.684686660766602,0.7051226496696472,1.9359999895095823,2.6077823638916016,0.9339967966079712,3.4800000190734863,75.23438262939453,0.4150513708591461,8.199999809265137,3.7433135509490967,24.343957901000977,3.920219659805298,11624.6796875
2025-10-31,0.0240000002086162,7.449692249298096,13.80196762084961,1.8466109037399288,18.200000762939453,13.10977268218994,14.339128494262695,0.7051226496696472,1.9079999923706052,2.6077823638916016,0.885341227054596,2.900000095367432,77.9699935913086,0.4343560636043548,8.300000190734863,3.599339723587036,25.87161445617676,3.810771942138672,11877.9501953125
2025-11-28,0.0240000002086162,8.25670337677002,15.529037475585938,1.9490941762924197,18.39800071716309,14.01389503479004,14.446574211120604,0.7210445404052734,1.9539999961853027,2.6077823638916016,0.9225484728813172,3.0199999809265137,78.80785369873047,0.5218161344528198,7.849999904632568,3.6473309993743896,27.813217163085938,3.751073122024536,12836.2900390625
2025-12-31,0.0240000002086162,8.583239555358887,15.932830810546877,1.9921942949295044,18.39800071716309,14.2399263381958,14.251218795776367,0.7210445404052734,1.9299999475479128,2.6077823638916016,0.894881546497345,2.819999933242798,76.88571166992188,0.541507363319397,7.699999809265137,3.925680160522461,29.124046325683597,3.502328395843506,13099.349609375
2026-01-30,0.0240000002086162,8.816479682922363,16.682039260864258,2.001772165298462,16.0,14.64678192138672,15.853137969970703,0.7210445404052734,1.9579999446868896,2.6077823638916016,0.9635717868804932,3.0199999809265137,73.73143005371094,0.4922794103622436,8.0,4.140481948852539,28.3908748626709,3.8057971000671382,13147.759765625
2026-02-27,0.0201999992132186,8.25670337677002,16.088510513305664,2.2843191623687744,15.600000381469728,15.370079040527344,17.093647003173828,0.7373259663581848,2.255000114440918,2.6077823638916016,1.0496352910995483,3.220000028610229,74.22428894042969,0.6005808711051941,7.599999904632568,4.209986209869385,27.20998764038086,4.069467067718506,13128.5400390625
2026-03-31,0.0201999992132186,8.852372169494629,15.018214225769045,2.011350154876709,15.89799976348877,14.82760524749756,16.805932998657227,0.7373259663581848,1.9359999895095823,2.9671530723571777,0.9890417456626892,2.259999990463257,67.42285919189453,0.7088823914527893,7.699999809265137,4.45325231552124,23.687179565429688,3.7809226512908936,12056.0302734375
2026-04-30,0.0375000014901161,9.62124729156494,16.739999771118164,2.144327402114868,15.800000190734863,15.418109893798828,19.611879348754883,0.7373259663581848,2.109999895095825,2.9671530723571777,1.0476806163787842,2.680000066757202,72.19999694824219,0.7088823914527893,7.949999809265137,4.627013206481934,22.24828338623047,4.152398586273193,12593.3603515625
2026-05-29,0.0379999987781047,9.91779899597168,17.434999465942383,2.3164637088775635,15.800000190734863,16.33070945739746,20.68269920349121,0.7539750337600708,2.2799999713897705,3.2687325477600098,1.0906825065612793,2.440000057220459,73.44999694824219,0.6800000071525574,7.75,4.53000020980835,24.93752670288086,4.551668167114258,13206.8095703125
2026-06-30,0.0379999987781047,10.089641571044922,17.424999237060547,2.429581880569458,15.600000381469728,16.426773071289062,24.252099990844727,0.7539750337600708,2.505000114440918,3.4632999897003174,1.1395481824874878,2.1600000858306885,80.3499984741211,0.6700000166893005,7.449999809265137,4.159999847412109,27.14052391052246,4.441868782043457,13828.740234375
2026-07-31,0.0379999987781047,10.070002555847168,18.09000015258789,2.3951544761657715,14.5,16.811023712158203,22.7846794128418,0.7539750337600708,2.384999990463257,3.4632999897003174,1.0594083070755005,2.319999933242798,82.80000305175781,0.6399999856948853,7.099999904632568,4.150000095367432,24.074190139770508,4.242234706878662,13535.330078125
2026-08-31,0.0419999994337558,10.96500015258789,18.98500061035156,2.483681917190552,12.5,17.963781356811523,22.13999938964844,0.7710000276565552,2.450000047683716,3.4632999897003174,1.0839999914169312,2.319999933242798,84.0,0.7300000190734863,7.0,4.610000133514404,23.200000762939453,4.23724365234375,14212.83984375
