Date,4IG.BD,ADID.BD,AKKO.BD,ALLZ.BD,ALTEO.BD,ANY.BD,APPEN.BD,AUTOW.BD,BASF.BD,BAYER.BD,BET.BD,BIF.BD,BMW.BD,CHOME.BD,CIG.BD,CIVTA.BD,COMMB.BD,DBANK.BD,DHGS.BD,DMKER.BD,DTEL.BD,ENEFI.BD,EON.BD,EPDUF.BD,EPROI.BD,ESENT.BD,FORRB.BD,FUTUR.BD,GLSTR.BD,GRNT.BD,GSP.BD,GWPH.BD,HENK.BD,INFIN.BD,KERMN.BD,LUFTH.BD,MAST.BD,MBH.BD,MBHJ.BD,MERC.BD,MGKR.BD,MOL.BD,MTEL.BD,MULTI.BD,NATUR.BD,NAVIG.BD,NORD.BD,NUTEX.BD,O3PNR.BD,OPUS.BD,ORM.BD,OTP.BD,PERGY.BD,PLYDR.BD,RABA.BD,RICHT.BD,SAP.BD,SIEME.BD,SPPC.BD,STRT.BD,SUND.BD,THYSS.BD,UBM.BD,VERTI.BD,VIG.BD,VWPR.BD,WABS.BD,WIZZ.BD,^BUX.BD
2025-09-30,2600.0,,268.0,,4500.0,7052.4140625,,,16453.138671875,10983.9140625,7064.20166015625,363.7799987792969,33624.8984375,45.0,,,,,,37.400001525878906,,255.0,6251.49951171875,,,,,,,14450.0,,,,,,,,,,,,2538.29248046875,,,,,,16.450000762939453,,533.81591796875,,27901.837890625,,,2270.0,,89995.828125,,,1000.0,,,1220.0,,17858.65625,,,,
2025-10-31,4015.0,,263.0,,4670.0,6530.01318359375,,,16598.123046875,10371.9189453125,6715.96630859375,374.1199951171875,31515.216796875,60.0,,,,,,37.0,,254.0,6349.49169921875,,,,,,,13750.0,,,,,,,,,,,,2784.783447265625,,,,,,17.0,,519.5681762695312,,31208.43359375,,,3600.0,,92345.7265625,,,990.0,,,1100.0,,17418.689453125,,,,
2025-11-28,4730.0,,264.0,,4390.0,6641.9560546875,,,17103.06640625,11657.9091796875,6467.22705078125,356.260009765625,33874.859375,60.0,,,,,,36.79999923706055,,235.0,5835.53271484375,,,,,,,12850.0,,,,,,,,,,,,2737.7431640625,,,,,,15.800000190734863,,511.9693603515625,,33270.1953125,,,3700.0,,80236.28125,,,1090.0,,,1160.0,,18698.59375,,,,
2025-12-30,4170.0,,249.0,,4410.0,6623.298828125,,,17208.0546875,14169.8896484375,6516.974609375,324.29998779296875,36194.5078125,48.0,,,,,,32.0,,223.0,6249.49951171875,,,,,,,12500.0,,,,,,,,,,,,2765.96728515625,,,,,,14.0,,521.4678344726562,,34135.74609375,,,2990.0,,79656.3125,,,1140.0,,,1180.0,,25498.08203125,,,,
2026-01-30,3955.0,,270.0,,4640.0,7145.7001953125,,,17483.0234375,17221.865234375,8307.8994140625,317.7200012207031,33454.921875,56.0,,,,,,31.0,,228.0,6807.455078125,,,,,,,12450.0,,,,,,,,,,,,3697.364501953125,,,,,,13.699999809265137,,522.417724609375,,39426.30078125,,,3980.0,,64996.98828125,,,1100.0,,,1180.0,,25598.07421875,,,,
2026-02-27,3515.0,,255.0,,4530.0,7015.099609375,,,18197.94140625,15799.876953125,8407.39453125,328.0599975585937,33534.91015625,46.0,,,,,,32.900001525878906,,239.0,7403.4072265625,,,,,,,10700.0,,,,,,,,,,,,3319.16064453125,,,,,,15.600000381469728,,515.7687377929688,,38230.08984375,,,3720.0,,64077.03125,,,1060.0,,,1100.0,,24798.134765625,,,,
2026-03-31,2600.0,,229.0,,4080.0,6343.44140625,,,20207.71484375,15077.8818359375,7561.6806640625,264.1399841308594,30415.3828125,42.79999923706055,,,,,,31.5,,228.0,7389.408203125,,,,,,,9200.0,,,,,,,,,,,,3721.825439453125,,,,,,15.0,,445.0049133300781,,34446.953125,,,3410.0,,56887.3671875,,,1000.0,,,925.0,,23348.244140625,,,,
2026-04-30,2320.0,,250.0,,4130.0,6884.49951171875,,,19901.75,13695.0,13730.419921875,267.8999938964844,28285.70703125,38.400001525878906,,,,,,32.599998474121094,,222.0,6810.0,,,,,,,9080.0,,,,,,,,,,,,3891.17041015625,,,,,,14.800000190734863,,311.5509338378906,,40457.1796875,,,3080.0,,53407.52734375,,,980.0,,,1020.0,,23098.26171875,,,,
2026-05-28,2156.0,,234.0,,3620.0,7453.54345703125,,,18152.0,13370.0,10944.5380859375,276.0,26540.0,20.0,,,,,,29.200000762939453,,220.0,6500.0,,,,,,,8700.0,,,,,,,,,,,,3560.0068359375,,,,,,13.199999809265137,,316.3001708984375,,40460.0,,,2540.0,,53500.0,,,980.0,,,1000.0,,22500.0,,,,
2026-06-30,1821.0,,234.0,,3550.0,7350.9287109375,,,16680.0,17000.0,10845.0419921875,256.0,20580.0,15.0,,,,,,30.600000381469727,,212.0,6410.0,,,,,,,8780.0,,,,,,,,,,,,3480.979248046875,,,,,,13.449999809265137,,359.0,,45950.0,,,2245.0,,49100.0,,,920.0,,,930.0,,23050.0,,,,
2026-07-31,1753.0,,238.0,,3830.0,6720.0,,,18494.0,16965.0,11840.0,281.0,22130.0,18.0,,,,,,30.0,,228.0,6814.0,,,,,,,9060.0,,,,,,,,,,,,4261.84765625,,,,,,13.199999809265137,,358.0,,46820.0,,,2205.0,,57280.0,,,860.0,,,950.0,,23950.0,,,,
2026-08-31,1581.0,,248.0,,4170.0,6650.0,,,19406.0,17850.0,12100.0,276.0,22610.0,26.0,,,,,,34.79999923706055,,220.0,6482.0,,,,,,,8720.0,,,,,,,,,,,,4755.7705078125,,,,,,13.0,,319.5,,45240.0,,,3460.0,,69420.0,,,910.0,,,900.0,,26500.0,,,,
